yearID,lgID,teamID,franchID,divID,Rank,G,Ghome,W,L,DivWin,WCWin,LgWin,WSWin,R,AB,H,2B,3B,HR,BB,SO,SB,CS,HBP,SF,RA,ER,ERA,CG,SHO,SV,IPouts,HA,HRA,BBA,SOA,E,DP,FP,name,park,attendance,BPF,PPF,teamIDBR,teamIDlahman45,teamIDretro
2000,NL,ARI,ARI,W,3,162,81.0,85,77,N,N,N,N,792,5527.0,1466.0,282.0,44.0,179.0,535.0,975.0,97.0,44.0,59.0,58.0,754.0,698.0,4.35,16.0,8.0,38.0,4331.0,1441.0,190.0,500.0,1220.0,107.0,138.0,0.982,Arizona Diamondbacks,Bank One Ballpark,2942251.0,105.0,103.0,ARI,ARI,ARI
2001,NL,ARI,ARI,W,1,162,81.0,92,70,Y,N,Y,Y,818,5595.0,1494.0,284.0,35.0,208.0,587.0,1052.0,71.0,38.0,57.0,36.0,677.0,627.0,3.87,12.0,13.0,34.0,4379.0,1352.0,195.0,461.0,1297.0,84.0,148.0,0.986,Arizona Diamondbacks,Bank One Ballpark,2736451.0,108.0,107.0,ARI,ARI,ARI
2002,NL,ARI,ARI,W,1,162,81.0,98,64,Y,N,N,N,819,5508.0,1471.0,283.0,41.0,165.0,643.0,1016.0,92.0,46.0,50.0,53.0,674.0,630.0,3.92,14.0,10.0,40.0,4340.0,1361.0,170.0,421.0,1303.0,89.0,116.0,0.985,Arizona Diamondbacks,Bank One Ballpark,3198977.0,111.0,111.0,ARI,ARI,ARI
2003,NL,ARI,ARI,W,3,162,81.0,84,78,N,N,N,N,717,5570.0,1467.0,303.0,47.0,152.0,531.0,1006.0,76.0,38.0,45.0,52.0,685.0,621.0,3.84,7.0,11.0,42.0,4365.0,1379.0,150.0,526.0,1291.0,107.0,132.0,0.983,Arizona Diamondbacks,Bank One Ballpark,2805542.0,108.0,109.0,ARI,ARI,ARI
2004,NL,ARI,ARI,W,5,162,81.0,51,111,N,N,N,N,615,5544.0,1401.0,295.0,38.0,135.0,441.0,1022.0,53.0,32.0,35.0,37.0,899.0,794.0,4.98,5.0,6.0,33.0,4308.0,1480.0,197.0,668.0,1153.0,139.0,144.0,0.977,Arizona Diamondbacks,Bank One Ballpark,2519560.0,105.0,107.0,ARI,ARI,ARI
2005,NL,ARI,ARI,W,2,162,81.0,77,85,N,N,N,N,696,5550.0,1419.0,291.0,27.0,191.0,606.0,1094.0,67.0,26.0,55.0,45.0,856.0,783.0,4.84,6.0,10.0,45.0,4369.0,1580.0,193.0,537.0,1038.0,94.0,159.0,0.985,Arizona Diamondbacks,Bank One Ballpark,2059424.0,103.0,105.0,ARI,ARI,ARI
2006,NL,ARI,ARI,W,4,162,81.0,76,86,N,N,N,N,773,5645.0,1506.0,331.0,38.0,160.0,504.0,965.0,76.0,30.0,67.0,53.0,788.0,727.0,4.48,8.0,9.0,34.0,4379.0,1503.0,168.0,536.0,1115.0,104.0,172.0,0.983,Arizona Diamondbacks,Chase Field,2091685.0,105.0,105.0,ARI,ARI,ARI
2007,NL,ARI,ARI,W,1,162,81.0,90,72,Y,N,N,N,712,5398.0,1350.0,286.0,40.0,171.0,532.0,1111.0,109.0,24.0,57.0,58.0,732.0,662.0,4.13,7.0,12.0,51.0,4323.0,1446.0,169.0,546.0,1088.0,106.0,157.0,0.983,Arizona Diamondbacks,Chase Field,2325249.0,107.0,107.0,ARI,ARI,ARI
2008,NL,ARI,ARI,W,2,162,81.0,82,80,N,N,N,N,720,5409.0,1355.0,318.0,47.0,159.0,587.0,1287.0,58.0,23.0,49.0,43.0,706.0,635.0,3.98,6.0,9.0,39.0,4304.0,1403.0,147.0,451.0,1229.0,113.0,137.0,0.981,Arizona Diamondbacks,Chase Field,2509924.0,108.0,108.0,ARI,ARI,ARI
2009,NL,ARI,ARI,W,5,162,81.0,70,92,N,N,N,N,720,5565.0,1408.0,307.0,45.0,173.0,571.0,1298.0,102.0,40.0,37.0,41.0,782.0,711.0,4.42,4.0,12.0,36.0,4343.0,1470.0,168.0,525.0,1158.0,124.0,133.0,0.98,Arizona Diamondbacks,Chase Field,2128765.0,105.0,106.0,ARI,ARI,ARI
