yearID,lgID,teamID,franchID,divID,Rank,G,Ghome,W,L,DivWin,WCWin,LgWin,WSWin,R,AB,H,2B,3B,HR,BB,SO,SB,CS,HBP,SF,RA,ER,ERA,CG,SHO,SV,IPouts,HA,HRA,BBA,SOA,E,DP,FP,name,park,attendance,BPF,PPF,teamIDBR,teamIDlahman45,teamIDretro
2000,NL,ATL,ATL,E,1,162,81.0,95,67,Y,N,N,N,810,5489.0,1490.0,274.0,26.0,179.0,595.0,1010.0,148.0,56.0,59.0,45.0,714.0,648.0,4.05,13.0,9.0,53.0,4321.0,1428.0,165.0,484.0,1093.0,129.0,138.0,0.979,Atlanta Braves,Turner Field,3234304.0,101.0,99.0,ATL,ATL,ATL
2001,NL,ATL,ATL,E,1,162,81.0,88,74,Y,N,N,N,729,5498.0,1432.0,263.0,24.0,174.0,493.0,1039.0,85.0,46.0,45.0,52.0,643.0,578.0,3.59,5.0,13.0,41.0,4342.0,1363.0,153.0,499.0,1133.0,103.0,133.0,0.983,Atlanta Braves,Turner Field,2823530.0,103.0,102.0,ATL,ATL,ATL
2002,NL,ATL,ATL,E,1,161,81.0,101,59,Y,N,N,N,708,5495.0,1428.0,280.0,25.0,164.0,558.0,1028.0,76.0,39.0,54.0,49.0,565.0,511.0,3.13,3.0,15.0,57.0,4402.0,1302.0,123.0,554.0,1058.0,114.0,170.0,0.982,Atlanta Braves,Turner Field,2603484.0,102.0,101.0,ATL,ATL,ATL
2003,NL,ATL,ATL,E,1,162,81.0,101,61,Y,N,N,N,907,5670.0,1608.0,321.0,31.0,235.0,545.0,933.0,68.0,22.0,49.0,49.0,740.0,663.0,4.1,4.0,7.0,51.0,4369.0,1425.0,147.0,555.0,992.0,121.0,166.0,0.981,Atlanta Braves,Turner Field,2401084.0,101.0,100.0,ATL,ATL,ATL
2004,NL,ATL,ATL,E,1,162,81.0,96,66,Y,N,N,N,803,5570.0,1503.0,304.0,37.0,178.0,587.0,1158.0,86.0,32.0,59.0,48.0,668.0,603.0,3.74,4.0,13.0,48.0,4350.0,1475.0,154.0,523.0,1025.0,116.0,171.0,0.981,Atlanta Braves,Turner Field,2327565.0,101.0,100.0,ATL,ATL,ATL
2005,NL,ATL,ATL,E,1,162,81.0,90,72,Y,N,N,N,769,5486.0,1453.0,308.0,37.0,184.0,534.0,1084.0,92.0,32.0,45.0,46.0,674.0,639.0,3.98,8.0,12.0,38.0,4331.0,1487.0,145.0,520.0,929.0,86.0,170.0,0.986,Atlanta Braves,Turner Field,2521167.0,101.0,100.0,ATL,ATL,ATL
2006,NL,ATL,ATL,E,3,162,81.0,79,83,N,N,N,N,849,5583.0,1510.0,312.0,26.0,222.0,526.0,1169.0,52.0,35.0,52.0,44.0,805.0,736.0,4.6,6.0,6.0,38.0,4324.0,1529.0,183.0,572.0,1049.0,99.0,146.0,0.984,Atlanta Braves,Turner Field,2550524.0,100.0,99.0,ATL,ATL,ATL
2007,NL,ATL,ATL,E,3,162,81.0,84,78,N,N,N,N,810,5689.0,1562.0,328.0,27.0,176.0,534.0,1149.0,64.0,30.0,49.0,47.0,733.0,665.0,4.11,1.0,6.0,36.0,4369.0,1442.0,172.0,537.0,1106.0,107.0,141.0,0.983,Atlanta Braves,Turner Field,2745207.0,98.0,98.0,ATL,ATL,ATL
2008,NL,ATL,ATL,E,4,162,81.0,72,90,N,N,N,N,753,5604.0,1514.0,316.0,33.0,130.0,618.0,1023.0,58.0,27.0,42.0,34.0,778.0,714.0,4.46,2.0,7.0,26.0,4322.0,1439.0,156.0,586.0,1076.0,107.0,149.0,0.983,Atlanta Braves,Turner Field,2532834.0,98.0,98.0,ATL,ATL,ATL
2009,NL,ATL,ATL,E,3,162,81.0,86,76,N,N,N,N,735,5539.0,1459.0,300.0,20.0,149.0,602.0,1064.0,58.0,26.0,52.0,47.0,641.0,581.0,3.57,3.0,10.0,38.0,4388.0,1399.0,119.0,530.0,1232.0,96.0,159.0,0.985,Atlanta Braves,Turner Field,2373631.0,99.0,98.0,ATL,ATL,ATL
2010,NL,ATL,ATL,E,2,162,81.0,91,71,N,Y,N,N,738,5463.0,1411.0,312.0,25.0,139.0,634.0,1140.0,63.0,29.0,51.0,35.0,629.0,569.0,3.56,2.0,9.0,41.0,4318.0,1326.0,126.0,505.0,1241.0,126.0,166.0,0.98,Atlanta Braves,Turner Field,2510119.0,98.0,97.0,ATL,ATL,ATL
2011,NL,ATL,ATL,E,2,162,81.0,89,73,N,N,N,N,641,5528.0,1345.0,244.0,16.0,173.0,504.0,1260.0,77.0,44.0,28.0,30.0,605.0,572.0,3.48,3.0,16.0,52.0,4439.0,1332.0,125.0,521.0,1332.0,83.0,131.0,0.987,Atlanta Braves,Turner Field,2372940.0,98.0,98.0,ATL,ATL,ATL
