yearID,lgID,teamID,franchID,divID,Rank,G,Ghome,W,L,DivWin,WCWin,LgWin,WSWin,R,AB,H,2B,3B,HR,BB,SO,SB,CS,HBP,SF,RA,ER,ERA,CG,SHO,SV,IPouts,HA,HRA,BBA,SOA,E,DP,FP,name,park,attendance,BPF,PPF,teamIDBR,teamIDlahman45,teamIDretro
2000,AL,BAL,BAL,E,4,162,81.0,74,88,N,N,N,N,794,5549.0,1508.0,310.0,22.0,184.0,558.0,900.0,126.0,65.0,49.0,54.0,913.0,855.0,5.37,14.0,6.0,33.0,4300.0,1547.0,202.0,665.0,1017.0,116.0,151.0,0.981,Baltimore Orioles,Oriole Park at Camden Yards,3297031.0,95.0,96.0,BAL,BAL,BAL
2001,AL,BAL,BAL,E,4,162,80.0,63,98,N,N,N,N,687,5472.0,1359.0,262.0,24.0,136.0,514.0,989.0,133.0,53.0,77.0,49.0,829.0,744.0,4.67,10.0,6.0,31.0,4297.0,1504.0,194.0,528.0,938.0,125.0,137.0,0.979,Baltimore Orioles,Oriole Park at Camden Yards,3094841.0,95.0,96.0,BAL,BAL,BAL
2002,AL,BAL,BAL,E,4,162,81.0,67,95,N,N,N,N,667,5491.0,1353.0,311.0,27.0,165.0,452.0,993.0,110.0,48.0,64.0,49.0,773.0,719.0,4.46,8.0,3.0,31.0,4352.0,1491.0,208.0,549.0,967.0,91.0,173.0,0.985,Baltimore Orioles,Oriole Park at Camden Yards,2682439.0,95.0,96.0,BAL,BAL,BAL
2003,AL,BAL,BAL,E,4,163,81.0,71,91,N,N,N,N,743,5665.0,1516.0,277.0,24.0,152.0,431.0,902.0,89.0,36.0,54.0,40.0,820.0,767.0,4.76,9.0,3.0,41.0,4349.0,1579.0,198.0,526.0,981.0,105.0,164.0,0.983,Baltimore Orioles,Oriole Park at Camden Yards,2454523.0,99.0,99.0,BAL,BAL,BAL
2004,AL,BAL,BAL,E,3,162,81.0,78,84,N,N,N,N,842,5736.0,1614.0,319.0,18.0,169.0,528.0,949.0,101.0,41.0,57.0,62.0,830.0,760.0,4.7,8.0,10.0,27.0,4366.0,1488.0,159.0,687.0,1090.0,110.0,161.0,0.982,Baltimore Orioles,Oriole Park at Camden Yards,2744018.0,98.0,99.0,BAL,BAL,BAL
2005,AL,BAL,BAL,E,4,162,81.0,74,88,N,N,N,N,729,5551.0,1492.0,296.0,27.0,189.0,447.0,902.0,83.0,37.0,54.0,42.0,800.0,724.0,4.56,2.0,9.0,38.0,4283.0,1458.0,180.0,580.0,1052.0,107.0,154.0,0.982,Baltimore Orioles,Oriole Park at Camden Yards,2624740.0,99.0,99.0,BAL,BAL,BAL
2006,AL,BAL,BAL,E,4,162,81.0,70,92,N,N,N,N,768,5610.0,1556.0,288.0,20.0,164.0,474.0,878.0,121.0,32.0,73.0,41.0,899.0,843.0,5.35,5.0,9.0,35.0,4257.0,1579.0,216.0,613.0,1016.0,102.0,156.0,0.983,Baltimore Orioles,Oriole Park at Camden Yards,2153139.0,99.0,100.0,BAL,BAL,BAL
2007,AL,BAL,BAL,E,4,162,81.0,69,93,N,N,N,N,756,5631.0,1529.0,306.0,30.0,142.0,500.0,939.0,144.0,42.0,47.0,47.0,868.0,827.0,5.17,4.0,9.0,30.0,4316.0,1491.0,161.0,696.0,1087.0,79.0,155.0,0.987,Baltimore Orioles,Oriole Park at Camden Yards,2164822.0,101.0,102.0,BAL,BAL,BAL
2008,AL,BAL,BAL,E,5,161,81.0,68,93,N,N,N,N,782,5559.0,1486.0,322.0,30.0,172.0,533.0,990.0,81.0,37.0,42.0,48.0,869.0,810.0,5.13,4.0,4.0,35.0,4266.0,1538.0,184.0,687.0,922.0,100.0,163.0,0.983,Baltimore Orioles,Oriole Park at Camden Yards,1950075.0,101.0,102.0,BAL,BAL,BAL
2009,AL,BAL,BAL,E,5,162,81.0,64,98,N,N,N,N,741,5618.0,1508.0,307.0,19.0,160.0,517.0,1013.0,76.0,37.0,39.0,46.0,876.0,817.0,5.15,2.0,3.0,31.0,4287.0,1633.0,218.0,546.0,933.0,90.0,151.0,0.985,Baltimore Orioles,Oriole Park at Camden Yards,1907163.0,101.0,102.0,BAL,BAL,BAL
