yearID,lgID,teamID,franchID,divID,Rank,G,Ghome,W,L,DivWin,WCWin,LgWin,WSWin,R,AB,H,2B,3B,HR,BB,SO,SB,CS,HBP,SF,RA,ER,ERA,CG,SHO,SV,IPouts,HA,HRA,BBA,SOA,E,DP,FP,name,park,attendance,BPF,PPF,teamIDBR,teamIDlahman45,teamIDretro
2000,AL,BOS,BOS,E,2,162,81.0,85,77,N,N,N,N,792,5630.0,1503.0,316.0,32.0,167.0,611.0,1019.0,43.0,30.0,42.0,48.0,745.0,683.0,4.23,7.0,12.0,46.0,4358.0,1433.0,173.0,498.0,1121.0,109.0,120.0,0.982,Boston Red Sox,Fenway Park II,2585895.0,104.0,103.0,BOS,BOS,BOS
2001,AL,BOS,BOS,E,2,161,81.0,82,79,N,N,N,N,772,5605.0,1493.0,316.0,29.0,198.0,520.0,1131.0,46.0,35.0,70.0,41.0,745.0,667.0,4.15,3.0,9.0,48.0,4344.0,1412.0,146.0,544.0,1259.0,113.0,129.0,0.981,Boston Red Sox,Fenway Park II,2625333.0,102.0,101.0,BOS,BOS,BOS
2002,AL,BOS,BOS,E,2,162,81.0,93,69,N,N,N,N,859,5640.0,1560.0,348.0,33.0,177.0,545.0,944.0,80.0,28.0,72.0,53.0,665.0,603.0,3.75,5.0,17.0,51.0,4338.0,1339.0,146.0,430.0,1157.0,104.0,140.0,0.983,Boston Red Sox,Fenway Park II,2650862.0,103.0,102.0,BOS,BOS,BOS
2003,AL,BOS,BOS,E,2,162,81.0,95,67,N,Y,N,N,961,5769.0,1667.0,371.0,40.0,238.0,620.0,943.0,88.0,35.0,53.0,64.0,809.0,729.0,4.48,5.0,6.0,36.0,4394.0,1503.0,153.0,488.0,1141.0,113.0,130.0,0.982,Boston Red Sox,Fenway Park II,2724165.0,105.0,103.0,BOS,BOS,BOS
2004,AL,BOS,BOS,E,2,162,81.0,98,64,N,Y,Y,Y,949,5720.0,1613.0,373.0,25.0,222.0,659.0,1189.0,68.0,30.0,69.0,55.0,768.0,674.0,4.18,4.0,12.0,36.0,4354.0,1430.0,159.0,447.0,1132.0,118.0,129.0,0.981,Boston Red Sox,Fenway Park II,2837294.0,106.0,105.0,BOS,BOS,BOS
2005,AL,BOS,BOS,E,2,162,81.0,95,67,N,Y,N,N,910,5626.0,1579.0,339.0,21.0,199.0,653.0,1044.0,45.0,12.0,47.0,63.0,805.0,752.0,4.74,6.0,8.0,38.0,4287.0,1550.0,164.0,440.0,959.0,109.0,135.0,0.982,Boston Red Sox,Fenway Park II,2847888.0,104.0,104.0,BOS,BOS,BOS
2006,AL,BOS,BOS,E,3,162,81.0,86,76,N,N,N,N,820,5619.0,1510.0,327.0,16.0,192.0,672.0,1056.0,51.0,23.0,66.0,56.0,825.0,773.0,4.83,3.0,6.0,46.0,4324.0,1570.0,181.0,509.0,1070.0,66.0,174.0,0.989,Boston Red Sox,Fenway Park II,2930588.0,105.0,104.0,BOS,BOS,BOS
2007,AL,BOS,BOS,E,1,162,81.0,96,66,Y,N,Y,Y,867,5589.0,1561.0,352.0,35.0,166.0,689.0,1042.0,96.0,24.0,64.0,54.0,657.0,618.0,3.87,5.0,13.0,45.0,4316.0,1350.0,151.0,482.0,1149.0,81.0,145.0,0.986,Boston Red Sox,Fenway Park II,2970755.0,106.0,105.0,BOS,BOS,BOS
2008,AL,BOS,BOS,E,2,162,81.0,95,67,N,Y,N,N,845,5596.0,1565.0,353.0,33.0,173.0,646.0,1068.0,120.0,35.0,70.0,62.0,694.0,645.0,4.01,5.0,16.0,47.0,4339.0,1369.0,147.0,548.0,1185.0,85.0,149.0,0.986,Boston Red Sox,Fenway Park II,3048250.0,108.0,106.0,BOS,BOS,BOS
2009,AL,BOS,BOS,E,2,162,81.0,95,67,N,Y,N,N,872,5543.0,1495.0,335.0,25.0,212.0,659.0,1120.0,126.0,39.0,70.0,51.0,736.0,695.0,4.35,8.0,11.0,41.0,4310.0,1494.0,167.0,530.0,1230.0,82.0,121.0,0.986,Boston Red Sox,Fenway Park II,3062699.0,106.0,105.0,BOS,BOS,BOS
