yearID,lgID,teamID,franchID,divID,Rank,G,Ghome,W,L,DivWin,WCWin,LgWin,WSWin,R,AB,H,2B,3B,HR,BB,SO,SB,CS,HBP,SF,RA,ER,ERA,CG,SHO,SV,IPouts,HA,HRA,BBA,SOA,E,DP,FP,name,park,attendance,BPF,PPF,teamIDBR,teamIDlahman45,teamIDretro
2000,NL,CHN,CHC,C,6,162,81.0,65,97,N,N,N,N,764,5577.0,1426.0,272.0,23.0,183.0,632.0,1120.0,93.0,37.0,54.0,45.0,904.0,849.0,5.25,10.0,5.0,39.0,4364.0,1505.0,231.0,658.0,1143.0,100.0,139.0,0.983,Chicago Cubs,Wrigley Field,2789511.0,97.0,98.0,CHC,CHN,CHN
2001,NL,CHN,CHC,C,3,162,81.0,88,74,N,N,N,N,777,5406.0,1409.0,268.0,32.0,194.0,577.0,1077.0,67.0,36.0,66.0,53.0,701.0,643.0,4.03,8.0,6.0,41.0,4311.0,1357.0,164.0,550.0,1344.0,109.0,113.0,0.982,Chicago Cubs,Wrigley Field,2779465.0,95.0,95.0,CHC,CHN,CHN
2002,NL,CHN,CHC,C,5,162,78.0,67,95,N,N,N,N,706,5496.0,1351.0,259.0,29.0,200.0,585.0,1269.0,63.0,21.0,44.0,39.0,759.0,687.0,4.29,11.0,9.0,23.0,4324.0,1373.0,167.0,606.0,1333.0,114.0,144.0,0.981,Chicago Cubs,Wrigley Field,2693096.0,98.0,98.0,CHC,CHN,CHN
2003,NL,CHN,CHC,C,1,162,81.0,88,74,Y,N,N,N,724,5519.0,1431.0,302.0,24.0,172.0,492.0,1158.0,73.0,31.0,50.0,46.0,683.0,619.0,3.83,13.0,14.0,36.0,4369.0,1304.0,143.0,617.0,1404.0,106.0,157.0,0.983,Chicago Cubs,Wrigley Field,2962630.0,101.0,101.0,CHC,CHN,CHN
2004,NL,CHN,CHC,C,3,162,82.0,89,73,N,N,N,N,789,5628.0,1508.0,308.0,29.0,235.0,489.0,1080.0,66.0,28.0,38.0,48.0,665.0,621.0,3.81,3.0,6.0,42.0,4396.0,1363.0,169.0,545.0,1346.0,86.0,126.0,0.986,Chicago Cubs,Wrigley Field,3170154.0,103.0,102.0,CHC,CHN,CHN
2005,NL,CHN,CHC,C,4,162,81.0,79,83,N,N,N,N,703,5584.0,1506.0,323.0,23.0,194.0,419.0,920.0,65.0,39.0,50.0,37.0,714.0,671.0,4.19,8.0,10.0,39.0,4320.0,1357.0,186.0,576.0,1256.0,101.0,136.0,0.983,Chicago Cubs,Wrigley Field,3099992.0,104.0,104.0,CHC,CHN,CHN
2006,NL,CHN,CHC,C,6,162,81.0,66,96,N,N,N,N,716,5587.0,1496.0,271.0,46.0,166.0,395.0,928.0,121.0,49.0,43.0,37.0,834.0,758.0,4.74,2.0,7.0,29.0,4317.0,1396.0,210.0,687.0,1250.0,106.0,122.0,0.982,Chicago Cubs,Wrigley Field,3123215.0,103.0,103.0,CHC,CHN,CHN
2007,NL,CHN,CHC,C,1,162,81.0,85,77,Y,N,N,N,752,5643.0,1530.0,340.0,28.0,151.0,500.0,1054.0,86.0,33.0,40.0,37.0,690.0,650.0,4.04,2.0,10.0,39.0,4340.0,1340.0,165.0,573.0,1211.0,94.0,134.0,0.984,Chicago Cubs,Wrigley Field,3252462.0,105.0,104.0,CHC,CHN,CHN
2008,NL,CHN,CHC,C,1,161,81.0,97,64,Y,N,N,N,855,5588.0,1552.0,329.0,21.0,184.0,636.0,1186.0,87.0,34.0,50.0,45.0,671.0,624.0,3.87,2.0,8.0,44.0,4352.0,1329.0,160.0,548.0,1264.0,99.0,118.0,0.983,Chicago Cubs,Wrigley Field,3300200.0,108.0,107.0,CHC,CHN,CHN
2009,NL,CHN,CHC,C,2,161,80.0,83,78,N,N,N,N,707,5486.0,1398.0,293.0,29.0,161.0,592.0,1185.0,56.0,34.0,59.0,42.0,672.0,616.0,3.84,3.0,8.0,40.0,4336.0,1329.0,160.0,586.0,1272.0,105.0,144.0,0.983,Chicago Cubs,Wrigley Field,3168859.0,107.0,106.0,CHC,CHN,CHN
