yearID,lgID,teamID,franchID,divID,Rank,G,Ghome,W,L,DivWin,WCWin,LgWin,WSWin,R,AB,H,2B,3B,HR,BB,SO,SB,CS,HBP,SF,RA,ER,ERA,CG,SHO,SV,IPouts,HA,HRA,BBA,SOA,E,DP,FP,name,park,attendance,BPF,PPF,teamIDBR,teamIDlahman45,teamIDretro
2000,AL,CHA,CHW,C,1,162,81.0,95,67,Y,N,N,N,978,5646.0,1615.0,325.0,33.0,216.0,591.0,960.0,119.0,42.0,53.0,61.0,839.0,751.0,4.66,5.0,7.0,43.0,4351.0,1509.0,195.0,614.0,1037.0,133.0,190.0,0.978,Chicago White Sox,Comiskey Park II,1947799.0,102.0,102.0,CHW,CHA,CHA
2001,AL,CHA,CHW,C,3,162,81.0,83,79,N,N,N,N,798,5464.0,1463.0,300.0,29.0,214.0,520.0,998.0,123.0,59.0,52.0,51.0,795.0,725.0,4.55,8.0,9.0,51.0,4300.0,1465.0,181.0,500.0,921.0,118.0,149.0,0.981,Chicago White Sox,Comiskey Park II,1766172.0,104.0,103.0,CHW,CHA,CHA
2002,AL,CHA,CHW,C,2,162,81.0,81,81,N,N,N,N,856,5502.0,1475.0,289.0,29.0,217.0,555.0,952.0,75.0,31.0,49.0,53.0,798.0,716.0,4.53,7.0,7.0,35.0,4269.0,1422.0,190.0,528.0,945.0,97.0,157.0,0.984,Chicago White Sox,Comiskey Park II,1676911.0,102.0,101.0,CHW,CHA,CHA
2003,AL,CHA,CHW,C,2,162,81.0,86,76,N,N,N,N,791,5487.0,1445.0,303.0,19.0,220.0,519.0,916.0,77.0,29.0,58.0,41.0,715.0,663.0,4.17,12.0,4.0,36.0,4293.0,1364.0,162.0,518.0,1056.0,93.0,154.0,0.984,Chicago White Sox,U.S. Cellular Field,1939524.0,102.0,102.0,CHW,CHA,CHA
2004,AL,CHA,CHW,C,2,162,81.0,83,79,N,N,N,N,865,5534.0,1481.0,284.0,19.0,242.0,499.0,1030.0,78.0,51.0,63.0,42.0,831.0,782.0,4.91,8.0,8.0,34.0,4297.0,1505.0,224.0,527.0,1013.0,100.0,167.0,0.984,Chicago White Sox,U.S. Cellular Field,1930537.0,102.0,102.0,CHW,CHA,CHA
2005,AL,CHA,CHW,C,1,162,81.0,99,63,Y,N,Y,Y,741,5529.0,1450.0,253.0,23.0,200.0,435.0,1002.0,137.0,67.0,79.0,49.0,645.0,592.0,3.61,9.0,10.0,54.0,4427.0,1392.0,167.0,459.0,1040.0,94.0,166.0,0.985,Chicago White Sox,U.S. Cellular Field,2342833.0,103.0,103.0,CHW,CHA,CHA
2006,AL,CHA,CHW,C,3,162,81.0,90,72,N,N,N,N,868,5657.0,1586.0,291.0,20.0,236.0,502.0,1056.0,93.0,48.0,58.0,57.0,794.0,743.0,4.61,5.0,11.0,46.0,4347.0,1534.0,200.0,433.0,1012.0,90.0,145.0,0.985,Chicago White Sox,U.S. Cellular Field,2957414.0,104.0,104.0,CHW,CHA,CHA
2007,AL,CHA,CHW,C,4,162,81.0,72,90,N,N,N,N,693,5441.0,1341.0,249.0,20.0,190.0,532.0,1149.0,78.0,45.0,52.0,35.0,839.0,763.0,4.77,9.0,9.0,42.0,4322.0,1556.0,174.0,499.0,1015.0,108.0,168.0,0.982,Chicago White Sox,U.S. Cellular Field,2684395.0,104.0,104.0,CHW,CHA,CHA
2008,AL,CHA,CHW,C,1,163,82.0,89,74,Y,N,N,N,811,5553.0,1458.0,296.0,13.0,235.0,540.0,1016.0,67.0,34.0,63.0,47.0,729.0,658.0,4.06,4.0,10.0,34.0,4373.0,1471.0,156.0,460.0,1147.0,108.0,155.0,0.983,Chicago White Sox,U.S. Cellular Field,2500648.0,105.0,105.0,CHW,CHA,CHA
2009,AL,CHA,CHW,C,3,162,81.0,79,83,N,N,N,N,724,5463.0,1410.0,246.0,20.0,184.0,534.0,1022.0,113.0,49.0,62.0,39.0,732.0,663.0,4.14,4.0,11.0,36.0,4319.0,1438.0,169.0,507.0,1119.0,113.0,158.0,0.981,Chicago White Sox,U.S. Cellular Field,2284163.0,105.0,105.0,CHW,CHA,CHA
2010,AL,CHA,CHW,C,2,162,81.0,88,74,N,N,N,N,752,5484.0,1467.0,263.0,21.0,177.0,467.0,922.0,160.0,74.0,79.0,38.0,704.0,658.0,4.09,6.0,11.0,43.0,4339.0,1471.0,136.0,490.0,1149.0,103.0,158.0,0.983,Chicago White Sox,U.S. Cellular Field,2194378.0,105.0,105.0,CHW,CHA,CHA
2011,AL,CHA,CHW,C,3,162,81.0,79,83,N,N,N,N,654,5502.0,1387.0,252.0,16.0,154.0,475.0,989.0,81.0,53.0,84.0,46.0,706.0,665.0,4.1,6.0,14.0,42.0,4380.0,1463.0,147.0,439.0,1220.0,79.0,129.0,0.987,Chicago White Sox,U.S. Cellular Field,2001117.0,99.0,100.0,CHW,CHA,CHA
2012,AL,CHA,CHW,C,2,162,81.0,85,77,N,N,N,N,748,5518.0,1409.0,228.0,29.0,211.0,461.0,1203.0,109.0,43.0,65.0,36.0,676.0,646.0,4.02,6.0,11.0,37.0,4337.0,1365.0,186.0,503.0,1246.0,70.0,154.0,0.988,Chicago White Sox,U.S. Cellular Field,1965955.0,106.0,106.0,CHW,CHA,CHA
2013,AL,CHA,CHW,C,5,162,81.0,63,99,N,N,N,N,598,5563.0,1385.0,237.0,19.0,148.0,411.0,1207.0,105.0,42.0,34.0,48.0,723.0,643.0,3.98,5.0,5.0,40.0,4365.0,1424.0,182.0,509.0,1249.0,121.0,155.0,0.98,Chicago White Sox,U.S. Cellular Field,1768413.0,107.0,107.0,CHW,CHA,CHA
2014,AL,CHA,CHW,C,4,162,81.0,73,89,N,N,N,N,660,5543.0,1400.0,279.0,32.0,155.0,417.0,1362.0,85.0,36.0,60.0,38.0,758.0,687.0,4.29,3.0,6.0,36.0,4323.0,1468.0,140.0,557.0,1152.0,107.0,170.0,0.982,Chicago White Sox,U.S. Cellular Field,1650821.0,100.0,101.0,CHW,CHA,CHA
2015,AL,CHA,CHW,C,4,162,81.0,76,86,N,N,N,N,622,5533.0,1381.0,260.0,27.0,136.0,404.0,1231.0,68.0,42.0,65.0,37.0,701.0,643.0,3.98,7.0,9.0,37.0,4358.0,1443.0,162.0,474.0,1359.0,101.0,159.0,0.983,Chicago White Sox,U.S. Cellular Field,1755810.0,97.0,96.0,CHW,CHA,CHA
2016,AL,CHA,CHW,C,4,162,81.0,78,84,N,N,N,N,686,,,,,,,,,,,,715.0,,,,,,,,,,,,,,Chicago White Sox,U.S. Cellular Field,1746293.0,,,CHW,CHA,CHA
2017,AL,CHA,CHW,C,4,162,8.0,67,95,N,N,N,N,706,,,,,,,,,,,,820.0,,,,,,,,,,,,,,Chicago White Sox,Guaranteed Rate Field,1629470.0,,,CHW,CHA,CHA
2018,AL,CHA,CHW,C,4,162,81.0,62,100,N,N,N,N,656,,,,,,,,,,,,848.0,,,,,,,,,,,,,,Chicago White Sox,Guaranteed Rate Field,1608817.0,,,CHW,CHA,CHA
2019,AL,CHA,CHW,C,3,161,80.0,72,89,N,N,N,N,708,,,,,,,,,,,,832.0,,,,,,,,,,,,,,Chicago White Sox,Guaranteed Rate Field,1649775.0,,,CHW,CHA,CHA
2021,AL,CHA,CHW,C,1,162,81.0,93,69,Y,N,N,N,796,,,,,,,,,,,,636.0,,,,,,,,,,,,,,Chicago White Sox,Guaranteed Rate Field,1595385.0,,,CHW,CHA,CHA
2022,AL,CHA,CHW,C,2,162,81.0,81,81,N,N,N,N,686,,,,,,,,,,,,717.0,,,,,,,,,,,,,,Chicago White Sox,Guaranteed Rate Field,2009359.0,,,CHW,CHA,CHA
