yearID,lgID,teamID,franchID,divID,Rank,G,Ghome,W,L,DivWin,WCWin,LgWin,WSWin,R,AB,H,2B,3B,HR,BB,SO,SB,CS,HBP,SF,RA,ER,ERA,CG,SHO,SV,IPouts,HA,HRA,BBA,SOA,E,DP,FP,name,park,attendance,BPF,PPF,teamIDBR,teamIDlahman45,teamIDretro
2000,NL,CIN,CIN,C,2,163,82.0,85,77,N,N,N,N,825,5635.0,1545.0,302.0,36.0,200.0,559.0,995.0,100.0,38.0,64.0,58.0,765.0,700.0,4.33,8.0,7.0,42.0,4369.0,1446.0,190.0,659.0,1015.0,111.0,156.0,0.982,Cincinnati Reds,Cinergy Field,2577371.0,102.0,102.0,CIN,CIN,CIN
2001,NL,CIN,CIN,C,5,162,81.0,66,96,N,N,N,N,735,5583.0,1464.0,304.0,22.0,176.0,468.0,1172.0,103.0,54.0,65.0,40.0,850.0,765.0,4.77,2.0,2.0,35.0,4328.0,1572.0,198.0,515.0,943.0,138.0,136.0,0.978,Cincinnati Reds,Cinergy Field,1879757.0,105.0,105.0,CIN,CIN,CIN
2002,NL,CIN,CIN,C,3,162,80.0,78,84,N,N,N,N,709,5470.0,1386.0,297.0,21.0,169.0,583.0,1188.0,116.0,52.0,66.0,40.0,774.0,690.0,4.27,2.0,8.0,42.0,4361.0,1502.0,173.0,550.0,980.0,120.0,169.0,0.981,Cincinnati Reds,Cinergy Field,1855787.0,104.0,105.0,CIN,CIN,CIN
2003,NL,CIN,CIN,C,5,162,81.0,69,93,N,N,N,N,694,5509.0,1349.0,239.0,21.0,182.0,524.0,1326.0,80.0,34.0,79.0,32.0,886.0,818.0,5.09,4.0,5.0,38.0,4339.0,1578.0,209.0,590.0,932.0,141.0,152.0,0.977,Cincinnati Reds,Great American Ball Park,2355259.0,95.0,96.0,CIN,CIN,CIN
2004,NL,CIN,CIN,C,4,162,81.0,76,86,N,N,N,N,750,5518.0,1380.0,287.0,28.0,194.0,599.0,1335.0,77.0,25.0,81.0,25.0,907.0,832.0,5.19,5.0,8.0,47.0,4331.0,1595.0,236.0,572.0,992.0,113.0,123.0,0.981,Cincinnati Reds,Great American Ball Park,2287250.0,98.0,99.0,CIN,CIN,CIN
2005,NL,CIN,CIN,C,5,163,82.0,73,89,N,N,N,N,820,5565.0,1453.0,335.0,15.0,222.0,611.0,1303.0,72.0,23.0,62.0,39.0,889.0,820.0,5.15,2.0,1.0,31.0,4299.0,1657.0,219.0,492.0,955.0,104.0,133.0,0.983,Cincinnati Reds,Great American Ball Park,1943067.0,100.0,101.0,CIN,CIN,CIN
2006,NL,CIN,CIN,C,3,162,82.0,80,82,N,N,N,N,749,5515.0,1419.0,291.0,12.0,217.0,614.0,1192.0,124.0,33.0,59.0,38.0,801.0,725.0,4.51,9.0,10.0,36.0,4337.0,1576.0,213.0,464.0,1053.0,128.0,139.0,0.979,Cincinnati Reds,Great American Ball Park,2134607.0,104.0,104.0,CIN,CIN,CIN
2007,NL,CIN,CIN,C,5,162,81.0,72,90,N,N,N,N,783,5607.0,1496.0,293.0,23.0,204.0,536.0,1113.0,97.0,31.0,66.0,46.0,853.0,796.0,4.94,6.0,7.0,34.0,4349.0,1605.0,198.0,482.0,1068.0,95.0,155.0,0.984,Cincinnati Reds,Great American Ball Park,2058593.0,104.0,104.0,CIN,CIN,CIN
2008,NL,CIN,CIN,C,5,162,81.0,74,88,N,N,N,N,704,5465.0,1351.0,269.0,24.0,187.0,560.0,1125.0,85.0,47.0,50.0,41.0,800.0,729.0,4.55,2.0,6.0,34.0,4327.0,1542.0,201.0,557.0,1227.0,114.0,156.0,0.981,Cincinnati Reds,Great American Ball Park,2058632.0,102.0,103.0,CIN,CIN,CIN
2009,NL,CIN,CIN,C,4,162,81.0,78,84,N,N,N,N,673,5462.0,1349.0,280.0,25.0,158.0,531.0,1129.0,96.0,40.0,53.0,41.0,723.0,677.0,4.18,6.0,12.0,41.0,4375.0,1420.0,188.0,577.0,1069.0,89.0,161.0,0.985,Cincinnati Reds,Great American Ball Park,1747919.0,100.0,100.0,CIN,CIN,CIN
2010,NL,CIN,CIN,C,1,162,81.0,91,71,Y,N,N,N,790,5579.0,1515.0,293.0,30.0,188.0,522.0,1218.0,93.0,43.0,68.0,50.0,685.0,648.0,4.01,4.0,9.0,43.0,4359.0,1404.0,158.0,524.0,1130.0,72.0,142.0,0.988,Cincinnati Reds,Great American Ball Park,2060550.0,99.0,99.0,CIN,CIN,CIN
2011,NL,CIN,CIN,C,3,162,81.0,79,83,N,N,N,N,735,5612.0,1438.0,264.0,19.0,183.0,535.0,1250.0,97.0,50.0,63.0,40.0,720.0,678.0,4.16,4.0,5.0,39.0,4403.0,1414.0,185.0,539.0,1112.0,91.0,146.0,0.985,Cincinnati Reds,Great American Ball Park,2213588.0,107.0,106.0,CIN,CIN,CIN
2012,NL,CIN,CIN,C,1,162,81.0,97,65,Y,N,N,N,669,5477.0,1377.0,296.0,30.0,172.0,481.0,1266.0,87.0,27.0,47.0,37.0,588.0,540.0,3.34,9.0,12.0,56.0,4359.0,1356.0,152.0,427.0,1248.0,89.0,113.0,0.985,Cincinnati Reds,Great American Ball Park,2347251.0,107.0,107.0,CIN,CIN,CIN
2013,NL,CIN,CIN,C,3,162,80.0,90,72,N,Y,N,N,698,5499.0,1370.0,274.0,20.0,155.0,585.0,1245.0,67.0,35.0,76.0,46.0,589.0,554.0,3.38,5.0,17.0,43.0,4421.0,1294.0,170.0,435.0,1296.0,76.0,131.0,0.988,Cincinnati Reds,Great American Ball Park,2534369.0,103.0,102.0,CIN,CIN,CIN
2014,NL,CIN,CIN,C,4,162,81.0,76,86,N,N,N,N,595,5395.0,1282.0,254.0,20.0,131.0,415.0,1252.0,122.0,52.0,52.0,37.0,612.0,576.0,3.59,5.0,13.0,44.0,4338.0,1282.0,163.0,507.0,1290.0,72.0,120.0,0.988,Cincinnati Reds,Great American Ball Park,2476664.0,98.0,98.0,CIN,CIN,CIN
2015,NL,CIN,CIN,C,5,162,81.0,64,98,N,N,N,N,640,5571.0,1382.0,257.0,27.0,167.0,496.0,1255.0,134.0,38.0,42.0,40.0,754.0,700.0,4.33,2.0,8.0,35.0,4360.0,1436.0,177.0,544.0,1252.0,90.0,131.0,0.985,Cincinnati Reds,Great American Ball Park,2419506.0,101.0,101.0,CIN,CIN,CIN
2016,NL,CIN,CIN,C,5,162,81.0,68,94,N,N,N,N,716,,,,,,,,,,,,854.0,,,,,,,,,,,,,,Cincinnati Reds,Great American Ball Park,1894085.0,,,CIN,CIN,CIN
2017,NL,CIN,CIN,C,5,162,81.0,68,94,N,N,N,N,753,,,,,,,,,,,,869.0,,,,,,,,,,,,,,Cincinnati Reds,Great American Ball Park,1836917.0,,,CIN,CIN,CIN
2018,NL,CIN,CIN,C,5,162,81.0,67,95,N,N,N,N,696,,,,,,,,,,,,819.0,,,,,,,,,,,,,,Cincinnati Reds,Great American Ball Park,1629356.0,,,CIN,CIN,CIN
2019,NL,CIN,CIN,C,4,162,81.0,75,87,N,N,N,N,701,,,,,,,,,,,,711.0,,,,,,,,,,,,,,Cincinnati Reds,Great American Ball Park,1809075.0,,,CIN,CIN,CIN
2021,NL,CIN,CIN,C,3,162,81.0,83,79,N,N,N,N,786,,,,,,,,,,,,760.0,,,,,,,,,,,,,,Cincinnati Reds,Great American Ball Park,1505024.0,,,CIN,CIN,CIN
2022,NL,CIN,CIN,C,4,162,81.0,62,100,N,N,N,N,648,,,,,,,,,,,,815.0,,,,,,,,,,,,,,Cincinnati Reds,Great American Ball Park,1395770.0,,,CIN,CIN,CIN
