yearID,lgID,teamID,franchID,divID,Rank,G,Ghome,W,L,DivWin,WCWin,LgWin,WSWin,R,AB,H,2B,3B,HR,BB,SO,SB,CS,HBP,SF,RA,ER,ERA,CG,SHO,SV,IPouts,HA,HRA,BBA,SOA,E,DP,FP,name,park,attendance,BPF,PPF,teamIDBR,teamIDlahman45,teamIDretro
2000,AL,CLE,CLE,C,2,162,81.0,90,72,N,N,N,N,950,5683.0,1639.0,310.0,30.0,221.0,685.0,1057.0,113.0,34.0,51.0,52.0,816.0,775.0,4.84,6.0,5.0,34.0,4327.0,1511.0,173.0,666.0,1213.0,72.0,147.0,0.988,Cleveland Indians,Jacobs Field,3456278.0,101.0,100.0,CLE,CLE,CLE
2001,AL,CLE,CLE,C,1,162,80.0,91,71,Y,N,N,N,897,5600.0,1559.0,294.0,37.0,212.0,577.0,1076.0,79.0,41.0,69.0,62.0,821.0,746.0,4.64,3.0,4.0,42.0,4340.0,1512.0,148.0,573.0,1218.0,107.0,137.0,0.982,Cleveland Indians,Jacobs Field,3175523.0,100.0,100.0,CLE,CLE,CLE
2002,AL,CLE,CLE,C,3,162,81.0,74,88,N,N,N,N,739,5423.0,1349.0,255.0,26.0,192.0,542.0,1000.0,52.0,37.0,56.0,39.0,837.0,777.0,4.91,9.0,4.0,34.0,4274.0,1508.0,142.0,603.0,1058.0,113.0,161.0,0.981,Cleveland Indians,Jacobs Field,2616940.0,97.0,98.0,CLE,CLE,CLE
2003,AL,CLE,CLE,C,4,162,81.0,68,94,N,N,N,N,699,5572.0,1413.0,296.0,26.0,158.0,466.0,1062.0,86.0,61.0,62.0,41.0,778.0,682.0,4.21,5.0,7.0,34.0,4378.0,1477.0,179.0,501.0,943.0,126.0,178.0,0.98,Cleveland Indians,Jacobs Field,1730002.0,96.0,97.0,CLE,CLE,CLE
2004,AL,CLE,CLE,C,3,162,81.0,80,82,N,N,N,N,858,5676.0,1565.0,345.0,29.0,184.0,606.0,1009.0,94.0,55.0,78.0,42.0,857.0,784.0,4.81,8.0,8.0,32.0,4400.0,1553.0,201.0,579.0,1115.0,106.0,152.0,0.983,Cleveland Indians,Jacobs Field,1814401.0,94.0,94.0,CLE,CLE,CLE
2005,AL,CLE,CLE,C,2,162,81.0,93,69,N,N,N,N,790,5609.0,1522.0,337.0,30.0,207.0,503.0,1093.0,62.0,36.0,54.0,50.0,642.0,582.0,3.61,6.0,10.0,51.0,4358.0,1363.0,157.0,413.0,1050.0,106.0,156.0,0.983,Cleveland Indians,Jacobs Field,2013763.0,96.0,96.0,CLE,CLE,CLE
2006,AL,CLE,CLE,C,4,162,81.0,78,84,N,N,N,N,870,5619.0,1576.0,351.0,27.0,196.0,556.0,1204.0,55.0,23.0,54.0,43.0,782.0,698.0,4.41,13.0,13.0,24.0,4270.0,1583.0,166.0,429.0,948.0,118.0,165.0,0.981,Cleveland Indians,Jacobs Field,1997995.0,99.0,98.0,CLE,CLE,CLE
2007,AL,CLE,CLE,C,1,162,80.0,96,66,Y,N,N,N,811,5604.0,1504.0,305.0,27.0,178.0,590.0,1202.0,72.0,41.0,80.0,59.0,704.0,658.0,4.05,9.0,9.0,49.0,4388.0,1519.0,146.0,410.0,1047.0,92.0,167.0,0.985,Cleveland Indians,Jacobs Field,2275912.0,101.0,100.0,CLE,CLE,CLE
2008,AL,CLE,CLE,C,3,162,81.0,81,81,N,N,N,N,805,5543.0,1455.0,339.0,22.0,171.0,560.0,1213.0,77.0,29.0,103.0,49.0,761.0,711.0,4.45,10.0,13.0,31.0,4311.0,1530.0,170.0,444.0,986.0,94.0,182.0,0.985,Cleveland Indians,Jacobs Field,2169760.0,98.0,98.0,CLE,CLE,CLE
2009,AL,CLE,CLE,C,4,162,81.0,65,97,N,N,N,N,773,5568.0,1468.0,314.0,28.0,161.0,582.0,1211.0,84.0,31.0,81.0,50.0,865.0,806.0,5.06,5.0,6.0,25.0,4302.0,1570.0,183.0,598.0,986.0,97.0,170.0,0.984,Cleveland Indians,Jacobs Field,1766242.0,95.0,95.0,CLE,CLE,CLE
