yearID,lgID,teamID,franchID,divID,Rank,G,Ghome,W,L,DivWin,WCWin,LgWin,WSWin,R,AB,H,2B,3B,HR,BB,SO,SB,CS,HBP,SF,RA,ER,ERA,CG,SHO,SV,IPouts,HA,HRA,BBA,SOA,E,DP,FP,name,park,attendance,BPF,PPF,teamIDBR,teamIDlahman45,teamIDretro
2000,NL,COL,COL,W,4,162,81.0,82,80,N,N,N,N,968,5660.0,1664.0,320.0,53.0,161.0,601.0,907.0,131.0,61.0,42.0,75.0,897.0,835.0,5.26,7.0,2.0,33.0,4290.0,1568.0,221.0,588.0,1001.0,94.0,176.0,0.985,Colorado Rockies,Coors Field,3295129.0,125.0,125.0,COL,COL,COL
2001,NL,COL,COL,W,5,162,81.0,73,89,N,N,N,N,923,5690.0,1663.0,324.0,61.0,213.0,511.0,1027.0,132.0,54.0,61.0,50.0,906.0,841.0,5.29,8.0,8.0,26.0,4290.0,1522.0,239.0,598.0,1058.0,96.0,167.0,0.984,Colorado Rockies,Coors Field,3166821.0,122.0,122.0,COL,COL,COL
2002,NL,COL,COL,W,4,162,81.0,73,89,N,N,N,N,778,5512.0,1508.0,283.0,41.0,152.0,497.0,1043.0,103.0,53.0,56.0,50.0,898.0,825.0,5.2,1.0,8.0,43.0,4280.0,1554.0,225.0,582.0,920.0,112.0,158.0,0.982,Colorado Rockies,Coors Field,2737838.0,116.0,116.0,COL,COL,COL
2003,NL,COL,COL,W,4,162,81.0,74,88,N,N,N,N,853,5518.0,1472.0,330.0,31.0,198.0,619.0,1134.0,63.0,37.0,52.0,38.0,892.0,821.0,5.2,3.0,4.0,34.0,4260.0,1629.0,200.0,552.0,866.0,116.0,165.0,0.981,Colorado Rockies,Coors Field,2334085.0,115.0,116.0,COL,COL,COL
2004,NL,COL,COL,W,4,162,81.0,68,94,N,N,N,N,833,5577.0,1531.0,331.0,34.0,202.0,568.0,1181.0,44.0,33.0,54.0,37.0,923.0,883.0,5.54,3.0,2.0,36.0,4306.0,1634.0,198.0,697.0,947.0,89.0,161.0,0.986,Colorado Rockies,Coors Field,2338069.0,113.0,114.0,COL,COL,COL
2005,NL,COL,COL,W,5,162,81.0,67,95,N,N,N,N,740,5542.0,1477.0,280.0,34.0,150.0,509.0,1103.0,65.0,32.0,64.0,34.0,862.0,808.0,5.13,4.0,4.0,37.0,4256.0,1600.0,175.0,604.0,981.0,118.0,158.0,0.981,Colorado Rockies,Coors Field,1914389.0,112.0,113.0,COL,COL,COL
2006,NL,COL,COL,W,4,162,81.0,76,86,N,N,N,N,813,5562.0,1504.0,325.0,54.0,157.0,561.0,1108.0,85.0,50.0,60.0,45.0,812.0,749.0,4.66,5.0,8.0,34.0,4342.0,1549.0,155.0,553.0,952.0,91.0,190.0,0.985,Colorado Rockies,Coors Field,2104362.0,109.0,109.0,COL,COL,COL
2007,NL,COL,COL,W,2,163,82.0,90,73,N,Y,Y,N,860,5691.0,1591.0,313.0,36.0,171.0,622.0,1152.0,100.0,31.0,58.0,44.0,758.0,706.0,4.32,4.0,7.0,39.0,4416.0,1497.0,164.0,504.0,967.0,68.0,180.0,0.989,Colorado Rockies,Coors Field,2376250.0,107.0,108.0,COL,COL,COL
2008,NL,COL,COL,W,3,162,81.0,74,88,N,N,N,N,747,5557.0,1462.0,310.0,28.0,160.0,570.0,1209.0,141.0,37.0,57.0,38.0,822.0,766.0,4.77,3.0,8.0,36.0,4338.0,1547.0,148.0,562.0,1041.0,96.0,176.0,0.985,Colorado Rockies,Coors Field,2650218.0,109.0,109.0,COL,COL,COL
2009,NL,COL,COL,W,2,162,81.0,92,70,N,Y,N,N,804,5398.0,1408.0,300.0,50.0,190.0,660.0,1277.0,106.0,55.0,47.0,60.0,715.0,675.0,4.22,5.0,7.0,45.0,4315.0,1427.0,141.0,528.0,1154.0,87.0,146.0,0.986,Colorado Rockies,Coors Field,2665080.0,112.0,112.0,COL,COL,COL
2010,NL,COL,COL,W,3,162,81.0,83,79,N,N,N,N,770,5530.0,1452.0,270.0,54.0,173.0,585.0,1274.0,99.0,41.0,47.0,47.0,717.0,663.0,4.14,6.0,12.0,35.0,4326.0,1405.0,139.0,525.0,1234.0,101.0,182.0,0.984,Colorado Rockies,Coors Field,2875245.0,115.0,115.0,COL,COL,COL
2011,NL,COL,COL,W,4,162,81.0,73,89,N,N,N,N,735,5544.0,1429.0,274.0,40.0,163.0,555.0,1201.0,118.0,42.0,57.0,44.0,774.0,713.0,4.43,5.0,7.0,41.0,4343.0,1471.0,176.0,522.0,1118.0,98.0,156.0,0.984,Colorado Rockies,Coors Field,2909777.0,116.0,116.0,COL,COL,COL
2012,NL,COL,COL,W,5,162,81.0,64,98,N,N,N,N,758,5577.0,1526.0,306.0,52.0,166.0,450.0,1213.0,100.0,40.0,36.0,39.0,890.0,824.0,5.22,0.0,7.0,36.0,4266.0,1637.0,198.0,566.0,1144.0,122.0,139.0,0.98,Colorado Rockies,Coors Field,2630458.0,120.0,121.0,COL,COL,COL
2013,NL,COL,COL,W,5,162,81.0,74,88,N,N,N,N,706,5599.0,1511.0,283.0,36.0,159.0,427.0,1204.0,112.0,32.0,26.0,35.0,760.0,708.0,4.44,1.0,5.0,35.0,4308.0,1545.0,136.0,517.0,1064.0,90.0,162.0,0.986,Colorado Rockies,Coors Field,2793828.0,117.0,118.0,COL,COL,COL
2014,NL,COL,COL,W,4,162,81.0,66,96,N,N,N,N,755,5612.0,1551.0,307.0,41.0,186.0,397.0,1281.0,85.0,48.0,48.0,48.0,818.0,770.0,4.84,1.0,4.0,24.0,4293.0,1528.0,173.0,531.0,1074.0,106.0,166.0,0.983,Colorado Rockies,Coors Field,2680329.0,115.0,116.0,COL,COL,COL
2015,NL,COL,COL,W,5,162,81.0,68,94,N,N,N,N,737,5572.0,1479.0,274.0,49.0,186.0,388.0,1283.0,97.0,43.0,33.0,34.0,844.0,799.0,5.04,4.0,4.0,36.0,4279.0,1579.0,183.0,579.0,1112.0,95.0,171.0,0.985,Colorado Rockies,Coors Field,2506789.0,119.0,118.0,COL,COL,COL
2016,NL,COL,COL,W,3,162,81.0,75,87,N,N,N,N,845,,,,,,,,,,,,860.0,,,,,,,,,,,,,,Colorado Rockies,Coors Field,2603524.0,,,COL,COL,COL
2017,NL,COL,COL,W,3,162,81.0,87,75,N,N,N,N,824,,,,,,,,,,,,757.0,,,,,,,,,,,,,,Colorado Rockies,Coors Field,2953650.0,,,COL,COL,COL
2018,NL,COL,COL,W,2,163,81.0,91,72,N,Y,N,N,780,,,,,,,,,,,,745.0,,,,,,,,,,,,,,Colorado Rockies,Coors Field,3015880.0,,,COL,COL,COL
2019,NL,COL,COL,W,4,162,81.0,71,91,N,N,N,N,835,,,,,,,,,,,,958.0,,,,,,,,,,,,,,Colorado Rockies,Coors Field,2993244.0,,,COL,COL,COL
2021,NL,COL,COL,W,4,161,81.0,74,87,N,N,N,N,739,,,,,,,,,,,,796.0,,,,,,,,,,,,,,Colorado Rockies,Coors Field,1938645.0,,,COL,COL,COL
2022,NL,COL,COL,W,5,162,81.0,68,94,N,N,N,N,698,,,,,,,,,,,,873.0,,,,,,,,,,,,,,Colorado Rockies,Coors Field,2597428.0,,,COL,COL,COL
