yearID,lgID,teamID,franchID,divID,Rank,G,Ghome,W,L,DivWin,WCWin,LgWin,WSWin,R,AB,H,2B,3B,HR,BB,SO,SB,CS,HBP,SF,RA,ER,ERA,CG,SHO,SV,IPouts,HA,HRA,BBA,SOA,E,DP,FP,name,park,attendance,BPF,PPF,teamIDBR,teamIDlahman45,teamIDretro
2000,AL,DET,DET,C,3,162,81.0,79,83,N,N,N,N,823,5644.0,1553.0,307.0,41.0,177.0,562.0,982.0,83.0,38.0,43.0,49.0,827.0,755.0,4.71,6.0,6.0,44.0,4330.0,1583.0,177.0,496.0,978.0,105.0,171.0,0.983,Detroit Tigers,Comerica Park,2438617.0,95.0,95.0,DET,DET,DET
2001,AL,DET,DET,C,4,162,81.0,66,96,N,N,N,N,724,5537.0,1439.0,291.0,60.0,139.0,466.0,972.0,133.0,61.0,51.0,49.0,876.0,795.0,5.01,16.0,2.0,34.0,4288.0,1624.0,180.0,553.0,859.0,131.0,164.0,0.979,Detroit Tigers,Comerica Park,1921305.0,93.0,95.0,DET,DET,DET
2002,AL,DET,DET,C,5,161,80.0,55,106,N,N,N,N,575,5406.0,1340.0,265.0,37.0,124.0,363.0,1035.0,65.0,44.0,64.0,57.0,864.0,773.0,4.92,11.0,7.0,33.0,4242.0,1593.0,163.0,463.0,794.0,142.0,148.0,0.977,Detroit Tigers,Comerica Park,1503623.0,92.0,95.0,DET,DET,DET
2003,AL,DET,DET,C,5,162,81.0,43,119,N,N,N,N,591,5466.0,1312.0,201.0,39.0,153.0,443.0,1099.0,98.0,63.0,47.0,49.0,928.0,847.0,5.3,3.0,5.0,27.0,4316.0,1616.0,195.0,557.0,764.0,138.0,194.0,0.978,Detroit Tigers,Comerica Park,1368245.0,93.0,95.0,DET,DET,DET
2004,AL,DET,DET,C,4,162,81.0,72,90,N,N,N,N,827,5623.0,1531.0,284.0,54.0,201.0,518.0,1144.0,86.0,50.0,50.0,43.0,844.0,788.0,4.93,7.0,9.0,35.0,4319.0,1542.0,190.0,530.0,995.0,144.0,160.0,0.977,Detroit Tigers,Comerica Park,1917004.0,95.0,96.0,DET,DET,DET
2005,AL,DET,DET,C,4,162,81.0,71,91,N,N,N,N,723,5602.0,1521.0,283.0,45.0,168.0,384.0,1038.0,66.0,28.0,53.0,52.0,787.0,719.0,4.51,7.0,2.0,37.0,4307.0,1504.0,193.0,461.0,907.0,110.0,171.0,0.982,Detroit Tigers,Comerica Park,2024431.0,98.0,98.0,DET,DET,DET
2006,AL,DET,DET,C,2,162,81.0,95,67,N,Y,Y,N,822,5642.0,1548.0,294.0,40.0,203.0,430.0,1133.0,60.0,40.0,45.0,36.0,675.0,618.0,3.84,3.0,16.0,46.0,4344.0,1420.0,160.0,489.0,1003.0,106.0,162.0,0.983,Detroit Tigers,Comerica Park,2595937.0,100.0,100.0,DET,DET,DET
2007,AL,DET,DET,C,2,162,81.0,88,74,N,N,N,N,887,5757.0,1652.0,352.0,50.0,177.0,474.0,1054.0,103.0,30.0,56.0,45.0,797.0,735.0,4.57,1.0,9.0,44.0,4342.0,1498.0,174.0,566.0,1047.0,99.0,148.0,0.984,Detroit Tigers,Comerica Park,3047133.0,102.0,101.0,DET,DET,DET
2008,AL,DET,DET,C,5,162,81.0,74,88,N,N,N,N,821,5641.0,1529.0,293.0,41.0,200.0,572.0,1076.0,63.0,31.0,44.0,44.0,857.0,786.0,4.9,1.0,2.0,34.0,4335.0,1541.0,172.0,644.0,991.0,113.0,172.0,0.981,Detroit Tigers,Comerica Park,3202645.0,103.0,103.0,DET,DET,DET
2009,AL,DET,DET,C,2,163,81.0,86,77,N,N,N,N,743,5540.0,1443.0,245.0,35.0,183.0,540.0,1114.0,72.0,33.0,61.0,39.0,745.0,690.0,4.29,4.0,9.0,42.0,4341.0,1449.0,182.0,594.0,1102.0,88.0,164.0,0.985,Detroit Tigers,Comerica Park,2567165.0,101.0,102.0,DET,DET,DET
