yearID,lgID,teamID,franchID,divID,Rank,G,Ghome,W,L,DivWin,WCWin,LgWin,WSWin,R,AB,H,2B,3B,HR,BB,SO,SB,CS,HBP,SF,RA,ER,ERA,CG,SHO,SV,IPouts,HA,HRA,BBA,SOA,E,DP,FP,name,park,attendance,BPF,PPF,teamIDBR,teamIDlahman45,teamIDretro
2000,NL,HOU,HOU,C,4,162,81.0,72,90,N,N,N,N,938,5570.0,1547.0,289.0,36.0,249.0,673.0,1129.0,114.0,52.0,83.0,61.0,944.0,865.0,5.42,8.0,2.0,30.0,4313.0,1596.0,234.0,598.0,1064.0,133.0,149.0,0.978,Houston Astros,Enron Field,3056139.0,107.0,107.0,HOU,HOU,HOU
2001,NL,HOU,HOU,C,1,162,81.0,93,69,Y,N,N,N,847,5528.0,1500.0,313.0,29.0,208.0,581.0,1119.0,64.0,49.0,89.0,56.0,769.0,707.0,4.37,7.0,6.0,48.0,4364.0,1453.0,221.0,486.0,1228.0,110.0,138.0,0.982,Houston Astros,Enron Field,2904277.0,107.0,106.0,HOU,HOU,HOU
2002,NL,HOU,HOU,C,2,162,81.0,84,78,N,N,N,N,749,5503.0,1441.0,291.0,32.0,167.0,589.0,1120.0,71.0,27.0,59.0,37.0,695.0,642.0,4.0,2.0,11.0,43.0,4335.0,1423.0,151.0,546.0,1219.0,83.0,149.0,0.986,Houston Astros,Minute Maid Park,2517357.0,106.0,105.0,HOU,HOU,HOU
2003,NL,HOU,HOU,C,2,162,81.0,87,75,N,N,N,N,805,5583.0,1466.0,308.0,30.0,191.0,557.0,1021.0,66.0,30.0,81.0,38.0,677.0,622.0,3.86,1.0,5.0,50.0,4350.0,1350.0,161.0,565.0,1139.0,95.0,149.0,0.985,Houston Astros,Minute Maid Park,2454241.0,103.0,102.0,HOU,HOU,HOU
2004,NL,HOU,HOU,C,2,162,81.0,92,70,N,Y,N,N,803,5468.0,1458.0,294.0,36.0,187.0,590.0,999.0,89.0,30.0,61.0,52.0,698.0,650.0,4.05,2.0,13.0,47.0,4329.0,1416.0,174.0,525.0,1282.0,101.0,136.0,0.983,Houston Astros,Minute Maid Park,3087872.0,102.0,101.0,HOU,HOU,HOU
2005,NL,HOU,HOU,C,2,163,81.0,89,73,N,Y,Y,N,693,5462.0,1400.0,281.0,32.0,161.0,481.0,1037.0,115.0,44.0,72.0,42.0,609.0,563.0,3.51,6.0,11.0,45.0,4329.0,1336.0,155.0,440.0,1164.0,89.0,146.0,0.985,Houston Astros,Minute Maid Park,2804760.0,101.0,100.0,HOU,HOU,HOU
2006,NL,HOU,HOU,C,2,162,81.0,82,80,N,N,N,N,735,5521.0,1407.0,275.0,27.0,174.0,585.0,1076.0,79.0,36.0,73.0,46.0,719.0,666.0,4.08,5.0,12.0,42.0,4406.0,1425.0,182.0,480.0,1160.0,80.0,164.0,0.987,Houston Astros,Minute Maid Park,3022763.0,100.0,99.0,HOU,HOU,HOU
2007,NL,HOU,HOU,C,4,162,81.0,73,89,N,N,N,N,723,5605.0,1457.0,293.0,30.0,167.0,547.0,1043.0,65.0,33.0,55.0,40.0,813.0,761.0,4.68,2.0,6.0,38.0,4394.0,1566.0,206.0,510.0,1109.0,103.0,128.0,0.983,Houston Astros,Minute Maid Park,3020405.0,100.0,100.0,HOU,HOU,HOU
2008,NL,HOU,HOU,C,3,161,80.0,86,75,N,N,N,N,712,5451.0,1432.0,284.0,22.0,167.0,449.0,1051.0,114.0,52.0,52.0,41.0,743.0,691.0,4.36,4.0,13.0,48.0,4276.0,1453.0,197.0,492.0,1095.0,67.0,142.0,0.989,Houston Astros,Minute Maid Park,2779487.0,98.0,98.0,HOU,HOU,HOU
2009,NL,HOU,HOU,C,5,162,81.0,74,88,N,N,N,N,643,5436.0,1415.0,270.0,32.0,142.0,448.0,990.0,113.0,44.0,43.0,45.0,770.0,722.0,4.54,5.0,10.0,39.0,4290.0,1521.0,176.0,546.0,1144.0,78.0,161.0,0.987,Houston Astros,Minute Maid Park,2521076.0,98.0,98.0,HOU,HOU,HOU
