yearID,lgID,teamID,franchID,divID,Rank,G,Ghome,W,L,DivWin,WCWin,LgWin,WSWin,R,AB,H,2B,3B,HR,BB,SO,SB,CS,HBP,SF,RA,ER,ERA,CG,SHO,SV,IPouts,HA,HRA,BBA,SOA,E,DP,FP,name,park,attendance,BPF,PPF,teamIDBR,teamIDlahman45,teamIDretro
2000,AL,KCA,KCR,C,4,162,81.0,77,85,N,N,N,N,879,5709.0,1644.0,281.0,27.0,150.0,511.0,840.0,121.0,35.0,48.0,70.0,930.0,876.0,5.48,10.0,6.0,29.0,4318.0,1585.0,239.0,693.0,927.0,102.0,185.0,0.983,Kansas City Royals,Kauffman Stadium,1564847.0,103.0,103.0,KCR,KCA,KCA
2001,AL,KCA,KCR,C,5,162,81.0,65,97,N,N,N,N,729,5643.0,1503.0,277.0,37.0,152.0,406.0,898.0,100.0,42.0,44.0,47.0,858.0,779.0,4.87,5.0,1.0,30.0,4320.0,1537.0,209.0,576.0,911.0,117.0,204.0,0.981,Kansas City Royals,Kauffman Stadium,1536371.0,107.0,108.0,KCR,KCA,KCA
2002,AL,KCA,KCR,C,4,162,77.0,62,100,N,N,N,N,737,5535.0,1415.0,285.0,42.0,140.0,524.0,921.0,140.0,65.0,52.0,51.0,891.0,834.0,5.21,12.0,6.0,30.0,4323.0,1587.0,212.0,572.0,909.0,130.0,153.0,0.979,Kansas City Royals,Kauffman Stadium,1323036.0,110.0,111.0,KCR,KCA,KCA
2003,AL,KCA,KCR,C,3,162,80.0,83,79,N,N,N,N,836,5568.0,1526.0,288.0,39.0,162.0,476.0,926.0,120.0,42.0,75.0,57.0,867.0,808.0,5.05,7.0,10.0,36.0,4316.0,1569.0,190.0,566.0,865.0,108.0,143.0,0.982,Kansas City Royals,Kauffman Stadium,1779895.0,107.0,108.0,KCR,KCA,KCA
2004,AL,KCA,KCR,C,5,162,80.0,58,104,N,N,N,N,720,5538.0,1432.0,261.0,29.0,150.0,461.0,1057.0,67.0,48.0,76.0,38.0,905.0,813.0,5.15,6.0,3.0,25.0,4261.0,1638.0,208.0,518.0,887.0,131.0,169.0,0.978,Kansas City Royals,Kauffman Stadium,1661478.0,102.0,103.0,KCR,KCA,KCA
2005,AL,KCA,KCR,C,5,162,81.0,56,106,N,N,N,N,701,5503.0,1445.0,289.0,34.0,126.0,424.0,1008.0,53.0,33.0,63.0,50.0,935.0,862.0,5.49,4.0,4.0,25.0,4240.0,1640.0,178.0,580.0,924.0,125.0,163.0,0.979,Kansas City Royals,Kauffman Stadium,1371181.0,99.0,101.0,KCR,KCA,KCA
2006,AL,KCA,KCR,C,5,162,81.0,62,100,N,N,N,N,757,5589.0,1515.0,335.0,37.0,124.0,474.0,1040.0,65.0,34.0,64.0,48.0,971.0,896.0,5.65,3.0,5.0,35.0,4279.0,1648.0,213.0,637.0,904.0,98.0,189.0,0.984,Kansas City Royals,Kauffman Stadium,1372638.0,101.0,103.0,KCR,KCA,KCA
2007,AL,KCA,KCR,C,5,162,81.0,69,93,N,N,N,N,706,5534.0,1447.0,300.0,46.0,102.0,428.0,1069.0,78.0,44.0,89.0,47.0,778.0,716.0,4.48,2.0,6.0,36.0,4312.0,1547.0,168.0,520.0,993.0,106.0,160.0,0.982,Kansas City Royals,Kauffman Stadium,1616867.0,100.0,101.0,KCR,KCA,KCA
2008,AL,KCA,KCR,C,4,162,81.0,75,87,N,N,N,N,691,5608.0,1507.0,303.0,28.0,120.0,392.0,1005.0,79.0,38.0,50.0,36.0,781.0,720.0,4.48,2.0,8.0,44.0,4337.0,1473.0,159.0,515.0,1085.0,96.0,159.0,0.984,Kansas City Royals,Kauffman Stadium,1578922.0,98.0,100.0,KCR,KCA,KCA
2009,AL,KCA,KCR,C,4,162,81.0,65,97,N,N,N,N,686,5532.0,1432.0,276.0,51.0,144.0,457.0,1091.0,88.0,29.0,42.0,32.0,842.0,765.0,4.83,10.0,9.0,34.0,4278.0,1486.0,166.0,600.0,1153.0,117.0,159.0,0.98,Kansas City Royals,Kauffman Stadium,1797891.0,97.0,99.0,KCR,KCA,KCA
