yearID,lgID,teamID,franchID,divID,Rank,G,Ghome,W,L,DivWin,WCWin,LgWin,WSWin,R,AB,H,2B,3B,HR,BB,SO,SB,CS,HBP,SF,RA,ER,ERA,CG,SHO,SV,IPouts,HA,HRA,BBA,SOA,E,DP,FP,name,park,attendance,BPF,PPF,teamIDBR,teamIDlahman45,teamIDretro
2000,NL,LAN,LAD,W,2,162,81.0,86,76,N,N,N,N,798,5481.0,1408.0,265.0,28.0,211.0,668.0,1083.0,95.0,42.0,51.0,46.0,729.0,659.0,4.1,9.0,11.0,36.0,4335.0,1379.0,176.0,600.0,1154.0,135.0,151.0,0.978,Los Angeles Dodgers,Dodger Stadium,2880242.0,94.0,94.0,LAD,LAN,LAN
2001,NL,LAN,LAD,W,3,162,81.0,86,76,N,N,N,N,758,5493.0,1399.0,264.0,27.0,206.0,519.0,1062.0,89.0,42.0,56.0,44.0,744.0,685.0,4.25,3.0,5.0,46.0,4352.0,1387.0,184.0,524.0,1212.0,116.0,138.0,0.981,Los Angeles Dodgers,Dodger Stadium,3017143.0,92.0,91.0,LAD,LAN,LAN
2002,NL,LAN,LAD,W,3,162,81.0,92,70,N,N,N,N,713,5554.0,1464.0,286.0,29.0,155.0,428.0,940.0,96.0,37.0,53.0,44.0,643.0,598.0,3.69,4.0,15.0,56.0,4373.0,1311.0,165.0,555.0,1132.0,90.0,134.0,0.985,Los Angeles Dodgers,Dodger Stadium,3131255.0,92.0,92.0,LAD,LAN,LAN
2003,NL,LAN,LAD,W,2,162,81.0,85,77,N,N,N,N,574,5458.0,1328.0,260.0,25.0,124.0,407.0,985.0,80.0,36.0,72.0,28.0,556.0,511.0,3.16,3.0,17.0,58.0,4373.0,1254.0,127.0,526.0,1289.0,119.0,164.0,0.981,Los Angeles Dodgers,Dodger Stadium,3138626.0,94.0,94.0,LAD,LAN,LAN
2004,NL,LAN,LAD,W,1,162,81.0,93,69,Y,N,N,N,761,5542.0,1450.0,226.0,30.0,203.0,536.0,1092.0,102.0,41.0,62.0,35.0,684.0,647.0,4.01,2.0,6.0,51.0,4360.0,1386.0,178.0,521.0,1066.0,73.0,145.0,0.988,Los Angeles Dodgers,Dodger Stadium,3488283.0,95.0,95.0,LAD,LAN,LAN
2005,NL,LAN,LAD,W,4,162,81.0,71,91,N,N,N,N,685,5433.0,1374.0,284.0,21.0,149.0,541.0,1094.0,58.0,35.0,67.0,33.0,755.0,695.0,4.38,6.0,9.0,40.0,4282.0,1434.0,182.0,471.0,1004.0,106.0,141.0,0.983,Los Angeles Dodgers,Dodger Stadium,3603646.0,98.0,97.0,LAD,LAN,LAN
2006,NL,LAN,LAD,W,2,162,81.0,88,74,N,Y,N,N,820,5628.0,1552.0,307.0,58.0,153.0,601.0,959.0,128.0,49.0,51.0,48.0,751.0,686.0,4.23,1.0,10.0,40.0,4381.0,1524.0,152.0,492.0,1068.0,115.0,174.0,0.982,Los Angeles Dodgers,Dodger Stadium,3758545.0,101.0,100.0,LAD,LAN,LAN
2007,NL,LAN,LAD,W,4,162,81.0,82,80,N,N,N,N,735,5614.0,1544.0,276.0,35.0,129.0,511.0,864.0,137.0,50.0,41.0,55.0,727.0,677.0,4.2,4.0,6.0,43.0,4350.0,1443.0,146.0,518.0,1184.0,114.0,160.0,0.981,Los Angeles Dodgers,Dodger Stadium,3857036.0,101.0,100.0,LAD,LAN,LAN
2008,NL,LAN,LAD,W,1,162,81.0,84,78,Y,N,N,N,700,5506.0,1455.0,271.0,29.0,137.0,543.0,1032.0,126.0,43.0,43.0,38.0,648.0,591.0,3.68,5.0,11.0,35.0,4342.0,1381.0,123.0,480.0,1205.0,101.0,138.0,0.984,Los Angeles Dodgers,Dodger Stadium,3730553.0,98.0,97.0,LAD,LAN,LAN
2009,NL,LAN,LAD,W,1,162,81.0,95,67,Y,N,N,N,780,5592.0,1511.0,278.0,39.0,145.0,607.0,1068.0,116.0,48.0,63.0,44.0,611.0,558.0,3.41,1.0,9.0,44.0,4420.0,1265.0,127.0,584.0,1272.0,83.0,134.0,0.986,Los Angeles Dodgers,Dodger Stadium,3761655.0,96.0,95.0,LAD,LAN,LAN
