yearID,lgID,teamID,franchID,divID,Rank,G,Ghome,W,L,DivWin,WCWin,LgWin,WSWin,R,AB,H,2B,3B,HR,BB,SO,SB,CS,HBP,SF,RA,ER,ERA,CG,SHO,SV,IPouts,HA,HRA,BBA,SOA,E,DP,FP,name,park,attendance,BPF,PPF,teamIDBR,teamIDlahman45,teamIDretro
2000,NL,MIL,MIL,C,3,163,81.0,73,89,N,N,N,N,740,5563.0,1366.0,297.0,25.0,177.0,620.0,1245.0,72.0,44.0,61.0,49.0,826.0,755.0,4.63,2.0,7.0,29.0,4399.0,1501.0,174.0,728.0,967.0,118.0,187.0,0.981,Milwaukee Brewers,County Stadium,1573621.0,97.0,98.0,MIL,ML4,MIL
2001,NL,MIL,MIL,C,4,162,81.0,68,94,N,N,N,N,740,5488.0,1378.0,273.0,30.0,209.0,488.0,1399.0,66.0,36.0,72.0,35.0,806.0,740.0,4.64,3.0,8.0,28.0,4309.0,1452.0,197.0,667.0,1057.0,103.0,156.0,0.983,Milwaukee Brewers,Miller Park,2811041.0,98.0,99.0,MIL,ML4,MIL
2002,NL,MIL,MIL,C,6,162,81.0,56,106,N,N,N,N,627,5415.0,1369.0,269.0,29.0,139.0,500.0,1125.0,94.0,50.0,55.0,34.0,821.0,752.0,4.73,7.0,4.0,32.0,4297.0,1468.0,199.0,666.0,1026.0,103.0,154.0,0.983,Milwaukee Brewers,Miller Park,1969153.0,98.0,99.0,MIL,ML4,MIL
2003,NL,MIL,MIL,C,6,162,81.0,68,94,N,N,N,N,714,5548.0,1423.0,266.0,24.0,196.0,547.0,1221.0,99.0,39.0,71.0,40.0,873.0,810.0,5.02,5.0,3.0,44.0,4356.0,1590.0,219.0,575.0,1034.0,114.0,142.0,0.981,Milwaukee Brewers,Miller Park,1700354.0,98.0,100.0,MIL,ML4,MIL
2004,NL,MIL,MIL,C,6,161,81.0,67,94,N,N,N,N,634,5483.0,1358.0,295.0,32.0,135.0,540.0,1312.0,138.0,40.0,68.0,40.0,757.0,679.0,4.24,6.0,10.0,42.0,4326.0,1440.0,164.0,476.0,1098.0,117.0,132.0,0.981,Milwaukee Brewers,Miller Park,2062382.0,100.0,101.0,MIL,ML4,MIL
2005,NL,MIL,MIL,C,3,162,81.0,81,81,N,N,N,N,726,5448.0,1413.0,327.0,19.0,175.0,531.0,1162.0,79.0,34.0,73.0,38.0,697.0,635.0,3.97,7.0,6.0,46.0,4314.0,1382.0,169.0,569.0,1173.0,119.0,139.0,0.98,Milwaukee Brewers,Miller Park,2211023.0,101.0,101.0,MIL,ML4,MIL
2006,NL,MIL,MIL,C,4,162,81.0,75,87,N,N,N,N,730,5433.0,1400.0,301.0,20.0,180.0,502.0,1233.0,71.0,37.0,82.0,53.0,833.0,763.0,4.82,7.0,8.0,43.0,4277.0,1454.0,177.0,514.0,1145.0,117.0,126.0,0.98,Milwaukee Brewers,Miller Park,2335643.0,101.0,101.0,MIL,ML4,MIL
2007,NL,MIL,MIL,C,2,162,81.0,83,79,N,N,N,N,801,5554.0,1455.0,310.0,37.0,231.0,501.0,1137.0,96.0,32.0,76.0,47.0,776.0,708.0,4.41,3.0,6.0,49.0,4333.0,1513.0,161.0,507.0,1174.0,109.0,144.0,0.982,Milwaukee Brewers,Miller Park,2869144.0,100.0,100.0,MIL,ML4,MIL
2008,NL,MIL,MIL,C,2,162,81.0,90,72,N,Y,N,N,750,5535.0,1398.0,324.0,35.0,198.0,550.0,1203.0,108.0,38.0,69.0,43.0,689.0,623.0,3.85,12.0,10.0,45.0,4367.0,1415.0,175.0,528.0,1110.0,101.0,160.0,0.984,Milwaukee Brewers,Miller Park,3068458.0,98.0,98.0,MIL,ML4,MIL
2009,NL,MIL,MIL,C,3,162,81.0,80,82,N,N,N,N,785,5510.0,1447.0,281.0,37.0,182.0,610.0,1231.0,68.0,37.0,71.0,47.0,818.0,770.0,4.83,1.0,8.0,44.0,4305.0,1498.0,207.0,607.0,1104.0,98.0,149.0,0.984,Milwaukee Brewers,Miller Park,3037451.0,98.0,98.0,MIL,ML4,MIL
