yearID,lgID,teamID,franchID,divID,Rank,G,Ghome,W,L,DivWin,WCWin,LgWin,WSWin,R,AB,H,2B,3B,HR,BB,SO,SB,CS,HBP,SF,RA,ER,ERA,CG,SHO,SV,IPouts,HA,HRA,BBA,SOA,E,DP,FP,name,park,attendance,BPF,PPF,teamIDBR,teamIDlahman45,teamIDretro
2000,AL,MIN,MIN,C,5,162,81.0,69,93,N,N,N,N,748,5615.0,1516.0,325.0,49.0,116.0,556.0,1021.0,90.0,45.0,35.0,51.0,880.0,819.0,5.14,6.0,4.0,35.0,4298.0,1634.0,212.0,516.0,1042.0,102.0,155.0,0.983,Minnesota Twins,Hubert H Humphrey Metrodome,1000760.0,104.0,105.0,MIN,MIN,MIN
2001,AL,MIN,MIN,C,2,162,81.0,85,77,N,N,N,N,771,5560.0,1514.0,328.0,38.0,164.0,495.0,1083.0,146.0,67.0,64.0,38.0,766.0,722.0,4.51,12.0,8.0,45.0,4324.0,1494.0,192.0,445.0,965.0,108.0,118.0,0.982,Minnesota Twins,Hubert H Humphrey Metrodome,1782929.0,102.0,102.0,MIN,MIN,MIN
2002,AL,MIN,MIN,C,1,161,81.0,94,67,Y,N,N,N,768,5582.0,1518.0,348.0,36.0,167.0,472.0,1089.0,79.0,62.0,56.0,52.0,712.0,662.0,4.12,8.0,9.0,47.0,4334.0,1454.0,184.0,439.0,1026.0,74.0,124.0,0.987,Minnesota Twins,Hubert H Humphrey Metrodome,1924473.0,100.0,100.0,MIN,MIN,MIN
2003,AL,MIN,MIN,C,1,162,81.0,90,72,Y,N,N,N,801,5655.0,1567.0,318.0,45.0,155.0,512.0,1027.0,94.0,44.0,63.0,52.0,758.0,716.0,4.41,7.0,8.0,45.0,4386.0,1526.0,187.0,402.0,997.0,87.0,114.0,0.985,Minnesota Twins,Hubert H Humphrey Metrodome,1946011.0,101.0,100.0,MIN,MIN,MIN
2004,AL,MIN,MIN,C,1,162,81.0,92,70,Y,N,N,N,780,5623.0,1494.0,310.0,24.0,191.0,513.0,982.0,116.0,46.0,64.0,40.0,715.0,661.0,4.03,4.0,9.0,48.0,4428.0,1523.0,167.0,431.0,1123.0,101.0,158.0,0.984,Minnesota Twins,Hubert H Humphrey Metrodome,1911490.0,103.0,102.0,MIN,MIN,MIN
2005,AL,MIN,MIN,C,3,162,81.0,83,79,N,N,N,N,688,5564.0,1441.0,269.0,32.0,134.0,485.0,978.0,102.0,44.0,59.0,42.0,662.0,604.0,3.71,9.0,8.0,44.0,4393.0,1458.0,169.0,348.0,965.0,102.0,171.0,0.984,Minnesota Twins,Hubert H Humphrey Metrodome,2034243.0,102.0,102.0,MIN,MIN,MIN
2006,AL,MIN,MIN,C,1,162,81.0,96,66,Y,N,N,N,801,5602.0,1608.0,275.0,34.0,143.0,490.0,872.0,101.0,42.0,50.0,55.0,683.0,632.0,3.95,1.0,6.0,40.0,4318.0,1490.0,182.0,356.0,1164.0,84.0,135.0,0.986,Minnesota Twins,Hubert H Humphrey Metrodome,2285018.0,98.0,98.0,MIN,MIN,MIN
2007,AL,MIN,MIN,C,3,162,81.0,79,83,N,N,N,N,718,5522.0,1460.0,273.0,36.0,118.0,512.0,839.0,112.0,30.0,48.0,45.0,725.0,663.0,4.15,5.0,8.0,38.0,4310.0,1505.0,185.0,420.0,1094.0,95.0,151.0,0.984,Minnesota Twins,Hubert H Humphrey Metrodome,2296383.0,95.0,95.0,MIN,MIN,MIN
2008,AL,MIN,MIN,C,2,163,81.0,88,75,N,N,N,N,829,5641.0,1572.0,298.0,49.0,111.0,529.0,979.0,102.0,42.0,36.0,72.0,745.0,675.0,4.16,5.0,10.0,42.0,4377.0,1568.0,183.0,406.0,995.0,108.0,168.0,0.982,Minnesota Twins,Hubert H Humphrey Metrodome,2302431.0,96.0,96.0,MIN,MIN,MIN
2009,AL,MIN,MIN,C,1,163,82.0,87,76,Y,N,N,N,817,5608.0,1539.0,271.0,40.0,172.0,585.0,1021.0,85.0,32.0,45.0,57.0,765.0,726.0,4.5,4.0,7.0,48.0,4359.0,1542.0,185.0,466.0,1052.0,76.0,135.0,0.987,Minnesota Twins,Hubert H Humphrey Metrodome,2416237.0,99.0,98.0,MIN,MIN,MIN
