yearID,lgID,teamID,franchID,divID,Rank,G,Ghome,W,L,DivWin,WCWin,LgWin,WSWin,R,AB,H,2B,3B,HR,BB,SO,SB,CS,HBP,SF,RA,ER,ERA,CG,SHO,SV,IPouts,HA,HRA,BBA,SOA,E,DP,FP,name,park,attendance,BPF,PPF,teamIDBR,teamIDlahman45,teamIDretro
2000,NL,NYN,NYM,E,2,162,81.0,94,68,N,Y,Y,N,807,5486.0,1445.0,281.0,20.0,198.0,675.0,1037.0,66.0,46.0,45.0,51.0,738.0,670.0,4.16,8.0,10.0,49.0,4350.0,1398.0,164.0,574.0,1164.0,118.0,121.0,0.98,New York Mets,Shea Stadium,2820530.0,96.0,96.0,NYM,NYN,NYN
2001,NL,NYN,NYM,E,3,162,81.0,82,80,N,N,N,N,642,5459.0,1361.0,273.0,18.0,147.0,545.0,1062.0,66.0,48.0,65.0,35.0,713.0,654.0,4.07,6.0,14.0,48.0,4337.0,1418.0,186.0,438.0,1191.0,101.0,132.0,0.983,New York Mets,Shea Stadium,2658330.0,96.0,96.0,NYM,NYN,NYN
2002,NL,NYN,NYM,E,5,161,78.0,75,86,N,N,N,N,690,5496.0,1409.0,238.0,22.0,160.0,486.0,1044.0,87.0,42.0,63.0,30.0,703.0,624.0,3.89,9.0,10.0,36.0,4328.0,1408.0,163.0,543.0,1107.0,144.0,138.0,0.976,New York Mets,Shea Stadium,2804838.0,97.0,97.0,NYM,NYN,NYN
2003,NL,NYN,NYM,E,5,161,80.0,66,95,N,N,N,N,642,5341.0,1317.0,262.0,24.0,124.0,489.0,1035.0,70.0,31.0,54.0,45.0,754.0,704.0,4.48,3.0,10.0,38.0,4240.0,1497.0,168.0,576.0,907.0,118.0,158.0,0.98,New York Mets,Shea Stadium,2140599.0,97.0,98.0,NYM,NYN,NYN
2004,NL,NYN,NYM,E,4,162,81.0,71,91,N,N,N,N,684,5532.0,1376.0,289.0,20.0,185.0,512.0,1159.0,107.0,23.0,61.0,34.0,731.0,658.0,4.09,2.0,6.0,31.0,4347.0,1452.0,156.0,592.0,977.0,137.0,144.0,0.978,New York Mets,Shea Stadium,2318951.0,99.0,99.0,NYM,NYN,NYN
2005,NL,NYN,NYM,E,3,162,81.0,83,79,N,N,N,N,722,5505.0,1421.0,279.0,32.0,175.0,486.0,1075.0,153.0,40.0,48.0,38.0,648.0,599.0,3.76,8.0,11.0,38.0,4307.0,1390.0,135.0,491.0,1012.0,106.0,146.0,0.983,New York Mets,Shea Stadium,2829929.0,98.0,97.0,NYM,NYN,NYN
2006,NL,NYN,NYM,E,1,162,81.0,97,65,Y,N,N,N,834,5558.0,1469.0,323.0,41.0,200.0,547.0,1071.0,146.0,35.0,62.0,47.0,731.0,673.0,4.14,5.0,12.0,43.0,4384.0,1402.0,180.0,527.0,1161.0,104.0,131.0,0.983,New York Mets,Shea Stadium,3379535.0,98.0,97.0,NYM,NYN,NYN
2007,NL,NYN,NYM,E,2,162,81.0,88,74,N,N,N,N,804,5605.0,1543.0,294.0,27.0,177.0,549.0,981.0,200.0,46.0,54.0,58.0,750.0,687.0,4.26,2.0,10.0,39.0,4357.0,1415.0,165.0,570.0,1134.0,101.0,124.0,0.983,New York Mets,Shea Stadium,3853955.0,98.0,97.0,NYM,NYN,NYN
2008,NL,NYN,NYM,E,2,162,81.0,89,73,N,N,N,N,799,5606.0,1491.0,274.0,38.0,172.0,619.0,1024.0,138.0,36.0,39.0,49.0,715.0,662.0,4.07,5.0,12.0,43.0,4393.0,1415.0,163.0,590.0,1181.0,83.0,126.0,0.986,New York Mets,Shea Stadium,4042045.0,99.0,98.0,NYM,NYN,NYN
2009,NL,NYN,NYM,E,4,162,81.0,70,92,N,N,N,N,671,5453.0,1472.0,295.0,49.0,95.0,526.0,928.0,122.0,44.0,36.0,55.0,757.0,705.0,4.45,3.0,12.0,39.0,4278.0,1452.0,158.0,616.0,1031.0,97.0,134.0,0.984,New York Mets,Citi Field,3168571.0,97.0,97.0,NYM,NYN,NYN
