yearID,lgID,teamID,franchID,divID,Rank,G,Ghome,W,L,DivWin,WCWin,LgWin,WSWin,R,AB,H,2B,3B,HR,BB,SO,SB,CS,HBP,SF,RA,ER,ERA,CG,SHO,SV,IPouts,HA,HRA,BBA,SOA,E,DP,FP,name,park,attendance,BPF,PPF,teamIDBR,teamIDlahman45,teamIDretro
2000,AL,NYA,NYY,E,1,161,80.0,87,74,Y,N,Y,Y,871,5556.0,1541.0,294.0,25.0,205.0,631.0,1007.0,99.0,48.0,57.0,50.0,814.0,753.0,4.76,9.0,6.0,40.0,4273.0,1458.0,177.0,577.0,1040.0,109.0,132.0,0.981,New York Yankees,Yankee Stadium II,3055435.0,99.0,98.0,NYY,NYA,NYA
2001,AL,NYA,NYY,E,1,161,80.0,95,65,Y,N,Y,N,804,5577.0,1488.0,289.0,20.0,203.0,519.0,1035.0,161.0,53.0,64.0,43.0,713.0,649.0,4.02,7.0,9.0,57.0,4354.0,1429.0,158.0,465.0,1266.0,109.0,132.0,0.982,New York Yankees,Yankee Stadium II,3264907.0,102.0,100.0,NYY,NYA,NYA
2002,AL,NYA,NYY,E,1,161,80.0,103,58,Y,N,N,N,897,5601.0,1540.0,314.0,12.0,223.0,640.0,1171.0,100.0,38.0,72.0,41.0,697.0,625.0,3.87,9.0,11.0,53.0,4356.0,1441.0,144.0,403.0,1135.0,127.0,117.0,0.979,New York Yankees,Yankee Stadium II,3465807.0,100.0,99.0,NYY,NYA,NYA
2003,AL,NYA,NYY,E,1,163,82.0,101,61,Y,N,Y,N,877,5605.0,1518.0,304.0,14.0,230.0,684.0,1042.0,98.0,33.0,81.0,35.0,716.0,653.0,4.02,8.0,12.0,49.0,4386.0,1512.0,145.0,375.0,1119.0,114.0,126.0,0.981,New York Yankees,Yankee Stadium II,3465600.0,98.0,97.0,NYY,NYA,NYA
2004,AL,NYA,NYY,E,1,162,81.0,101,61,Y,N,N,N,897,5527.0,1483.0,281.0,20.0,242.0,670.0,982.0,84.0,33.0,80.0,50.0,808.0,752.0,4.69,1.0,5.0,59.0,4331.0,1532.0,182.0,445.0,1058.0,99.0,148.0,0.984,New York Yankees,Yankee Stadium II,3775292.0,98.0,97.0,NYY,NYA,NYA
2005,AL,NYA,NYY,E,1,162,81.0,95,67,Y,N,N,N,886,5624.0,1552.0,259.0,16.0,229.0,637.0,989.0,84.0,27.0,73.0,43.0,789.0,718.0,4.52,8.0,14.0,46.0,4292.0,1495.0,164.0,463.0,985.0,95.0,151.0,0.984,New York Yankees,Yankee Stadium II,4090696.0,98.0,97.0,NYY,NYA,NYA
2006,AL,NYA,NYY,E,1,162,81.0,97,65,Y,N,N,N,930,5651.0,1608.0,327.0,21.0,210.0,649.0,1053.0,139.0,35.0,72.0,49.0,767.0,708.0,4.41,5.0,8.0,43.0,4331.0,1463.0,170.0,496.0,1019.0,104.0,145.0,0.983,New York Yankees,Yankee Stadium II,4248067.0,101.0,99.0,NYY,NYA,NYA
2007,AL,NYA,NYY,E,2,162,81.0,94,68,N,Y,N,N,968,5717.0,1656.0,326.0,32.0,201.0,637.0,991.0,123.0,40.0,78.0,54.0,777.0,724.0,4.49,1.0,5.0,34.0,4352.0,1498.0,150.0,578.0,1009.0,88.0,174.0,0.985,New York Yankees,Yankee Stadium II,4271083.0,101.0,100.0,NYY,NYA,NYA
2008,AL,NYA,NYY,E,3,162,81.0,89,73,N,N,N,N,789,5572.0,1512.0,289.0,20.0,180.0,535.0,1015.0,118.0,39.0,80.0,39.0,727.0,685.0,4.28,1.0,11.0,42.0,4325.0,1478.0,143.0,489.0,1141.0,83.0,141.0,0.986,New York Yankees,Yankee Stadium II,4298655.0,103.0,102.0,NYY,NYA,NYA
2009,AL,NYA,NYY,E,1,162,81.0,103,59,Y,N,Y,Y,915,5660.0,1604.0,325.0,21.0,244.0,663.0,1014.0,111.0,28.0,54.0,39.0,753.0,687.0,4.26,3.0,8.0,51.0,4350.0,1386.0,181.0,574.0,1260.0,86.0,131.0,0.985,New York Yankees,Yankee Stadium III,3719358.0,105.0,103.0,NYY,NYA,NYA
2010,AL,NYA,NYY,E,2,162,81.0,95,67,N,Y,N,N,859,5567.0,1485.0,275.0,32.0,201.0,662.0,1136.0,103.0,30.0,73.0,44.0,693.0,651.0,4.06,3.0,8.0,39.0,4327.0,1349.0,179.0,540.0,1154.0,69.0,161.0,0.988,New York Yankees,Yankee Stadium III,3765807.0,105.0,103.0,NYY,NYA,NYA
2011,AL,NYA,NYY,E,1,162,81.0,97,65,Y,N,N,N,867,5518.0,1452.0,267.0,33.0,222.0,627.0,1138.0,147.0,46.0,74.0,51.0,657.0,605.0,3.73,5.0,8.0,47.0,4375.0,1423.0,152.0,507.0,1222.0,102.0,141.0,0.983,New York Yankees,Yankee Stadium III,3653680.0,108.0,106.0,NYY,NYA,NYA
2012,AL,NYA,NYY,E,1,162,81.0,95,67,Y,N,N,N,804,5524.0,1462.0,280.0,13.0,245.0,565.0,1176.0,93.0,27.0,62.0,49.0,668.0,617.0,3.84,6.0,9.0,51.0,4336.0,1401.0,190.0,431.0,1318.0,75.0,135.0,0.987,New York Yankees,Yankee Stadium III,3542406.0,103.0,102.0,NYY,NYA,NYA
2013,AL,NYA,NYY,E,4,162,81.0,85,77,N,N,N,N,650,5449.0,1321.0,247.0,24.0,144.0,466.0,1214.0,115.0,31.0,57.0,36.0,671.0,633.0,3.94,7.0,10.0,49.0,4342.0,1452.0,171.0,437.0,1233.0,69.0,139.0,0.988,New York Yankees,Yankee Stadium III,3279589.0,102.0,101.0,NYY,NYA,NYA
2014,AL,NYA,NYY,E,2,162,81.0,84,78,N,N,N,N,633,5497.0,1349.0,247.0,26.0,147.0,452.0,1133.0,112.0,26.0,56.0,47.0,664.0,605.0,3.75,5.0,10.0,48.0,4359.0,1392.0,164.0,398.0,1370.0,92.0,107.0,0.984,New York Yankees,Yankee Stadium III,3401624.0,100.0,101.0,NYY,NYA,NYA
2015,AL,NYA,NYY,E,2,162,81.0,87,75,N,Y,N,N,764,5567.0,1397.0,272.0,19.0,212.0,554.0,1227.0,63.0,25.0,63.0,54.0,698.0,652.0,4.03,3.0,4.0,48.0,4373.0,1416.0,182.0,474.0,1370.0,93.0,135.0,0.985,New York Yankees,Yankee Stadium III,3193795.0,99.0,101.0,NYY,NYA,NYA
2016,AL,NYA,NYY,E,4,162,81.0,84,78,N,N,N,N,680,,,,,,,,,,,,702.0,,,,,,,,,,,,,,New York Yankees,Yankee Stadium III,3063405.0,,,NYY,NYA,NYA
2017,AL,NYA,NYY,E,2,162,81.0,91,71,N,Y,N,N,858,,,,,,,,,,,,660.0,,,,,,,,,,,,,,New York Yankees,Yankee Stadium III,3154938.0,,,NYY,NYA,NYA
2018,AL,NYA,NYY,E,2,162,81.0,100,62,N,Y,N,N,851,,,,,,,,,,,,669.0,,,,,,,,,,,,,,New York Yankees,Yankee Stadium III,3482855.0,,,NYY,NYA,NYA
2019,AL,NYA,NYY,E,1,162,81.0,103,59,Y,N,N,N,943,,,,,,,,,,,,739.0,,,,,,,,,,,,,,New York Yankees,Yankee Stadium III,3304404.0,,,NYY,NYA,NYA
2021,AL,NYA,NYY,E,2,162,81.0,92,70,N,N,N,N,711,,,,,,,,,,,,669.0,,,,,,,,,,,,,,New York Yankees,Yankee Stadium III,1959854.0,,,NYY,NYA,NYA
2022,AL,NYA,NYY,E,1,162,81.0,99,63,Y,N,N,N,807,,,,,,,,,,,,567.0,,,,,,,,,,,,,,New York Yankees,Yankee Stadium III,3136207.0,,,NYY,NYA,NYA
