yearID,lgID,teamID,franchID,divID,Rank,G,Ghome,W,L,DivWin,WCWin,LgWin,WSWin,R,AB,H,2B,3B,HR,BB,SO,SB,CS,HBP,SF,RA,ER,ERA,CG,SHO,SV,IPouts,HA,HRA,BBA,SOA,E,DP,FP,name,park,attendance,BPF,PPF,teamIDBR,teamIDlahman45,teamIDretro
2000,AL,OAK,OAK,W,1,161,81.0,91,70,Y,N,N,N,947,5560.0,1501.0,281.0,23.0,239.0,750.0,1159.0,40.0,15.0,52.0,44.0,813.0,730.0,4.58,7.0,11.0,43.0,4306.0,1535.0,158.0,615.0,963.0,134.0,164.0,0.978,Oakland Athletics,Oakland Coliseum,1603744.0,96.0,95.0,OAK,OAK,OAK
2001,AL,OAK,OAK,W,2,162,81.0,102,60,N,Y,N,N,884,5573.0,1469.0,334.0,22.0,199.0,640.0,1021.0,68.0,29.0,88.0,59.0,645.0,583.0,3.59,13.0,9.0,44.0,4390.0,1384.0,153.0,440.0,1117.0,125.0,151.0,0.98,Oakland Athletics,Oakland Coliseum,2133277.0,99.0,97.0,OAK,OAK,OAK
2002,AL,OAK,OAK,W,1,162,81.0,103,59,Y,N,N,N,800,5558.0,1450.0,279.0,28.0,205.0,609.0,1008.0,46.0,20.0,68.0,36.0,654.0,593.0,3.68,9.0,19.0,48.0,4356.0,1391.0,135.0,474.0,1021.0,102.0,144.0,0.984,Oakland Athletics,Oakland Coliseum,2169811.0,98.0,97.0,OAK,OAK,OAK
2003,AL,OAK,OAK,W,1,162,81.0,96,66,Y,N,N,N,768,5497.0,1398.0,317.0,24.0,176.0,556.0,898.0,48.0,14.0,59.0,53.0,643.0,582.0,3.63,16.0,14.0,48.0,4325.0,1336.0,140.0,499.0,1018.0,107.0,145.0,0.983,Oakland Athletics,Oakland Coliseum,2216596.0,99.0,98.0,OAK,OAK,OAK
2004,AL,OAK,OAK,W,2,162,81.0,91,71,N,N,N,N,793,5728.0,1545.0,336.0,15.0,189.0,608.0,1061.0,47.0,22.0,55.0,43.0,742.0,682.0,4.17,10.0,8.0,35.0,4414.0,1466.0,164.0,544.0,1034.0,91.0,172.0,0.986,Oakland Athletics,Network Associates Coliseum,2201516.0,99.0,98.0,OAK,OAK,OAK
2005,AL,OAK,OAK,W,2,162,81.0,88,74,N,N,N,N,772,5627.0,1476.0,310.0,20.0,155.0,537.0,819.0,31.0,22.0,52.0,40.0,658.0,594.0,3.69,9.0,12.0,38.0,4351.0,1315.0,154.0,504.0,1075.0,88.0,166.0,0.986,Oakland Athletics,McAfee Coliseum,2109118.0,101.0,100.0,OAK,OAK,OAK
2006,AL,OAK,OAK,W,1,162,81.0,93,69,Y,N,N,N,771,5500.0,1429.0,266.0,22.0,175.0,650.0,976.0,61.0,20.0,50.0,56.0,727.0,679.0,4.21,5.0,11.0,54.0,4355.0,1525.0,162.0,529.0,1003.0,84.0,173.0,0.986,Oakland Athletics,McAfee Coliseum,1976625.0,97.0,97.0,OAK,OAK,OAK
2007,AL,OAK,OAK,W,3,162,81.0,76,86,N,N,N,N,741,5577.0,1430.0,295.0,16.0,171.0,664.0,1119.0,52.0,20.0,49.0,56.0,758.0,689.0,4.28,4.0,9.0,36.0,4344.0,1468.0,138.0,530.0,1036.0,90.0,153.0,0.985,Oakland Athletics,McAfee Coliseum,1921844.0,94.0,94.0,OAK,OAK,OAK
2008,AL,OAK,OAK,W,3,161,81.0,75,86,N,N,N,N,646,5451.0,1318.0,270.0,23.0,125.0,574.0,1226.0,88.0,21.0,48.0,35.0,690.0,640.0,4.01,4.0,7.0,33.0,4305.0,1364.0,135.0,576.0,1061.0,98.0,169.0,0.984,Oakland Athletics,McAfee Coliseum,1665256.0,95.0,95.0,OAK,OAK,OAK
2009,AL,OAK,OAK,W,4,162,81.0,75,87,N,N,N,N,759,5584.0,1464.0,307.0,21.0,135.0,527.0,1046.0,133.0,48.0,50.0,54.0,761.0,685.0,4.26,2.0,10.0,38.0,4342.0,1486.0,156.0,523.0,1124.0,105.0,155.0,0.983,Oakland Athletics,Oakland-Alameda Country Coliseum,1408783.0,99.0,99.0,OAK,OAK,OAK
2010,AL,OAK,OAK,W,2,162,81.0,81,81,N,N,N,N,663,5448.0,1396.0,276.0,30.0,109.0,527.0,1061.0,156.0,38.0,47.0,51.0,626.0,566.0,3.56,7.0,17.0,38.0,4295.0,1315.0,153.0,512.0,1070.0,99.0,147.0,0.984,Oakland Athletics,Oakland-Alameda Country Coliseum,1418391.0,100.0,100.0,OAK,OAK,OAK
2011,AL,OAK,OAK,W,3,162,81.0,74,88,N,N,N,N,645,5452.0,1330.0,280.0,29.0,114.0,509.0,1094.0,117.0,43.0,50.0,57.0,679.0,597.0,3.71,6.0,12.0,39.0,4343.0,1380.0,136.0,519.0,1160.0,124.0,145.0,0.979,Oakland Athletics,Oakland-Alameda Country Coliseum,1476791.0,97.0,98.0,OAK,OAK,OAK
2012,AL,OAK,OAK,W,1,162,81.0,94,68,Y,N,N,N,713,5527.0,1315.0,267.0,32.0,195.0,550.0,1387.0,122.0,32.0,45.0,34.0,614.0,569.0,3.48,1.0,13.0,47.0,4410.0,1360.0,147.0,462.0,1136.0,111.0,135.0,0.982,Oakland Athletics,O.co Coliseum,1679013.0,97.0,97.0,OAK,OAK,OAK
2013,AL,OAK,OAK,W,1,162,81.0,96,66,Y,N,N,N,767,5521.0,1403.0,301.0,25.0,186.0,573.0,1178.0,74.0,28.0,45.0,49.0,625.0,574.0,3.56,6.0,13.0,46.0,4356.0,1339.0,163.0,428.0,1183.0,97.0,112.0,0.983,Oakland Athletics,O.co Coliseum,1809302.0,95.0,93.0,OAK,OAK,OAK
2014,AL,OAK,OAK,W,2,162,81.0,88,74,N,Y,N,N,729,5545.0,1354.0,253.0,33.0,146.0,586.0,1104.0,83.0,20.0,49.0,43.0,572.0,524.0,3.22,7.0,13.0,31.0,4390.0,1269.0,147.0,406.0,1244.0,111.0,150.0,0.982,Oakland Athletics,O.co Coliseum,2003628.0,99.0,97.0,OAK,OAK,OAK
2015,AL,OAK,OAK,W,5,162,81.0,68,94,N,N,N,N,694,5600.0,1405.0,277.0,46.0,146.0,475.0,1119.0,78.0,29.0,40.0,38.0,729.0,664.0,4.14,5.0,15.0,28.0,4334.0,1402.0,172.0,474.0,1179.0,126.0,154.0,0.979,Oakland Athletics,O.co Coliseum,1768175.0,97.0,98.0,OAK,OAK,OAK
2016,AL,OAK,OAK,W,5,162,81.0,69,93,N,N,N,N,653,,,,,,,,,,,,761.0,,,,,,,,,,,,,,Oakland Athletics,O.co Coliseum,1521506.0,,,OAK,OAK,OAK
2017,AL,OAK,OAK,W,5,162,81.0,75,87,N,N,N,N,739,,,,,,,,,,,,826.0,,,,,,,,,,,,,,Oakland Athletics,O.co Coliseum,1475721.0,,,OAK,OAK,OAK
2018,AL,OAK,OAK,W,2,162,81.0,97,65,N,N,N,N,813,,,,,,,,,,,,674.0,,,,,,,,,,,,,,Oakland Athletics,O.co Coliseum,1573616.0,,,OAK,OAK,OAK
2019,AL,OAK,OAK,W,2,162,81.0,97,65,N,N,N,N,845,,,,,,,,,,,,680.0,,,,,,,,,,,,,,Oakland Athletics,O.co Coliseum,1670734.0,,,OAK,OAK,OAK
2021,AL,OAK,OAK,W,3,162,81.0,86,76,N,N,N,N,743,,,,,,,,,,,,687.0,,,,,,,,,,,,,,Oakland Athletics,O.co Coliseum,701430.0,,,OAK,OAK,OAK
2022,AL,OAK,OAK,W,5,162,81.0,60,102,N,N,N,N,568,,,,,,,,,,,,770.0,,,,,,,,,,,,,,Oakland Athletics,O.co Coliseum,787902.0,,,OAK,OAK,OAK
