yearID,lgID,teamID,franchID,divID,Rank,G,Ghome,W,L,DivWin,WCWin,LgWin,WSWin,R,AB,H,2B,3B,HR,BB,SO,SB,CS,HBP,SF,RA,ER,ERA,CG,SHO,SV,IPouts,HA,HRA,BBA,SOA,E,DP,FP,name,park,attendance,BPF,PPF,teamIDBR,teamIDlahman45,teamIDretro
2000,NL,PHI,PHI,E,5,162,81.0,65,97,N,N,N,N,708,5511.0,1386.0,304.0,40.0,144.0,611.0,1117.0,102.0,30.0,44.0,37.0,830.0,763.0,4.77,8.0,6.0,34.0,4316.0,1458.0,201.0,640.0,1123.0,100.0,136.0,0.983,Philadelphia Phillies,Veterans Stadium,1612769.0,100.0,101.0,PHI,PHI,PHI
2001,NL,PHI,PHI,E,2,162,81.0,86,76,N,N,N,N,746,5497.0,1431.0,295.0,29.0,164.0,551.0,1125.0,153.0,47.0,43.0,61.0,719.0,667.0,4.15,8.0,7.0,47.0,4336.0,1417.0,170.0,527.0,1086.0,91.0,145.0,0.985,Philadelphia Phillies,Veterans Stadium,1782054.0,98.0,98.0,PHI,PHI,PHI
2002,NL,PHI,PHI,E,3,161,79.0,80,81,N,N,N,N,710,5523.0,1428.0,325.0,41.0,165.0,640.0,1095.0,104.0,43.0,53.0,39.0,724.0,671.0,4.17,5.0,9.0,47.0,4349.0,1381.0,153.0,570.0,1075.0,88.0,156.0,0.986,Philadelphia Phillies,Veterans Stadium,1618467.0,94.0,94.0,PHI,PHI,PHI
2003,NL,PHI,PHI,E,3,162,81.0,86,76,N,N,N,N,791,5543.0,1448.0,325.0,27.0,166.0,651.0,1155.0,72.0,29.0,55.0,38.0,697.0,648.0,4.04,9.0,13.0,33.0,4331.0,1386.0,142.0,536.0,1060.0,97.0,146.0,0.984,Philadelphia Phillies,Veterans Stadium,2259948.0,93.0,93.0,PHI,PHI,PHI
2004,NL,PHI,PHI,E,2,162,81.0,86,76,N,N,N,N,840,5643.0,1505.0,303.0,23.0,215.0,645.0,1133.0,100.0,27.0,58.0,46.0,781.0,724.0,4.45,4.0,5.0,43.0,4388.0,1488.0,214.0,502.0,1070.0,81.0,142.0,0.987,Philadelphia Phillies,Citizens Bank Park,3250092.0,105.0,104.0,PHI,PHI,PHI
2005,NL,PHI,PHI,E,2,162,81.0,88,74,N,N,N,N,807,5542.0,1494.0,282.0,35.0,167.0,639.0,1083.0,116.0,27.0,56.0,46.0,726.0,672.0,4.21,4.0,6.0,40.0,4305.0,1379.0,189.0,487.0,1159.0,90.0,132.0,0.985,Philadelphia Phillies,Citizens Bank Park,2665304.0,105.0,104.0,PHI,PHI,PHI
2006,NL,PHI,PHI,E,2,162,81.0,85,77,N,N,N,N,865,5687.0,1518.0,294.0,41.0,216.0,626.0,1203.0,92.0,25.0,95.0,44.0,812.0,747.0,4.6,4.0,6.0,42.0,4381.0,1561.0,211.0,512.0,1138.0,104.0,153.0,0.983,Philadelphia Phillies,Citizens Bank Park,2701815.0,105.0,104.0,PHI,PHI,PHI
2007,NL,PHI,PHI,E,1,162,81.0,89,73,Y,N,N,N,892,5688.0,1558.0,326.0,41.0,213.0,641.0,1205.0,138.0,19.0,90.0,52.0,821.0,767.0,4.73,5.0,5.0,42.0,4375.0,1555.0,198.0,558.0,1050.0,89.0,162.0,0.986,Philadelphia Phillies,Citizens Bank Park,3108325.0,104.0,103.0,PHI,PHI,PHI
2008,NL,PHI,PHI,E,1,162,81.0,92,70,Y,N,Y,Y,799,5509.0,1407.0,291.0,36.0,214.0,586.0,1117.0,136.0,25.0,67.0,40.0,680.0,625.0,3.88,4.0,11.0,47.0,4349.0,1444.0,160.0,533.0,1081.0,90.0,142.0,0.985,Philadelphia Phillies,Citizens Bank Park,3422583.0,103.0,102.0,PHI,PHI,PHI
2009,NL,PHI,PHI,E,1,162,81.0,93,69,Y,N,Y,N,820,5578.0,1439.0,312.0,35.0,224.0,589.0,1155.0,119.0,28.0,71.0,45.0,709.0,673.0,4.16,8.0,9.0,44.0,4367.0,1479.0,189.0,489.0,1153.0,76.0,132.0,0.987,Philadelphia Phillies,Citizens Bank Park,3600693.0,101.0,100.0,PHI,PHI,PHI
2010,NL,PHI,PHI,E,1,162,84.0,97,65,Y,N,N,N,772,5581.0,1451.0,290.0,34.0,166.0,560.0,1064.0,108.0,21.0,63.0,43.0,640.0,594.0,3.67,14.0,21.0,40.0,4369.0,1402.0,168.0,416.0,1183.0,83.0,158.0,0.986,Philadelphia Phillies,Citizens Bank Park,3647249.0,101.0,100.0,PHI,PHI,PHI
2011,NL,PHI,PHI,E,1,162,81.0,102,60,Y,N,N,N,713,5579.0,1409.0,258.0,38.0,153.0,539.0,1024.0,96.0,24.0,56.0,38.0,529.0,495.0,3.02,18.0,21.0,47.0,4431.0,1320.0,120.0,404.0,1299.0,74.0,135.0,0.988,Philadelphia Phillies,Citizens Bank Park,3680718.0,105.0,103.0,PHI,PHI,PHI
2012,NL,PHI,PHI,E,3,162,81.0,81,81,N,N,N,N,684,5544.0,1414.0,271.0,28.0,158.0,454.0,1094.0,116.0,23.0,63.0,39.0,680.0,618.0,3.83,5.0,11.0,42.0,4354.0,1387.0,178.0,409.0,1385.0,101.0,118.0,0.983,Philadelphia Phillies,Citizens Bank Park,3565718.0,102.0,101.0,PHI,PHI,PHI
