yearID,lgID,teamID,franchID,divID,Rank,G,Ghome,W,L,DivWin,WCWin,LgWin,WSWin,R,AB,H,2B,3B,HR,BB,SO,SB,CS,HBP,SF,RA,ER,ERA,CG,SHO,SV,IPouts,HA,HRA,BBA,SOA,E,DP,FP,name,park,attendance,BPF,PPF,teamIDBR,teamIDlahman45,teamIDretro
2000,NL,PIT,PIT,C,5,162,81.0,69,93,N,N,N,N,793,5643.0,1506.0,320.0,31.0,168.0,564.0,1032.0,86.0,40.0,66.0,37.0,888.0,795.0,4.94,5.0,7.0,27.0,4347.0,1554.0,163.0,711.0,1070.0,132.0,169.0,0.979,Pittsburgh Pirates,Three Rivers Stadium,1748908.0,99.0,100.0,PIT,PIT,PIT
2001,NL,PIT,PIT,C,6,162,81.0,62,100,N,N,N,N,657,5398.0,1333.0,256.0,25.0,161.0,467.0,1106.0,93.0,73.0,67.0,35.0,858.0,794.0,5.05,8.0,9.0,36.0,4249.0,1493.0,167.0,549.0,908.0,133.0,168.0,0.978,Pittsburgh Pirates,PNC Park,2464870.0,103.0,105.0,PIT,PIT,PIT
2002,NL,PIT,PIT,C,4,161,79.0,72,89,N,N,N,N,641,5330.0,1300.0,263.0,20.0,142.0,537.0,1109.0,86.0,49.0,73.0,41.0,730.0,664.0,4.23,2.0,7.0,47.0,4238.0,1447.0,163.0,572.0,920.0,115.0,177.0,0.982,Pittsburgh Pirates,PNC Park,1784988.0,102.0,103.0,PIT,PIT,PIT
2003,NL,PIT,PIT,C,4,162,81.0,75,87,N,N,N,N,753,5581.0,1492.0,275.0,45.0,163.0,529.0,1049.0,86.0,37.0,87.0,38.0,801.0,744.0,4.64,7.0,10.0,44.0,4333.0,1527.0,178.0,502.0,926.0,123.0,159.0,0.98,Pittsburgh Pirates,PNC Park,1636751.0,102.0,102.0,PIT,PIT,PIT
2004,NL,PIT,PIT,C,5,161,80.0,72,89,N,N,N,N,680,5483.0,1428.0,267.0,39.0,142.0,415.0,1066.0,63.0,40.0,95.0,42.0,744.0,680.0,4.29,3.0,8.0,46.0,4284.0,1451.0,149.0,576.0,1079.0,103.0,189.0,0.983,Pittsburgh Pirates,PNC Park,1580031.0,99.0,100.0,PIT,PIT,PIT
2005,NL,PIT,PIT,C,6,162,81.0,67,95,N,N,N,N,680,5573.0,1445.0,292.0,38.0,139.0,471.0,1092.0,73.0,30.0,72.0,49.0,769.0,706.0,4.42,4.0,14.0,35.0,4308.0,1456.0,162.0,612.0,958.0,117.0,193.0,0.981,Pittsburgh Pirates,PNC Park,1817245.0,99.0,100.0,PIT,PIT,PIT
2006,NL,PIT,PIT,C,5,162,81.0,67,95,N,N,N,N,691,5558.0,1462.0,286.0,17.0,141.0,459.0,1200.0,68.0,23.0,89.0,49.0,797.0,720.0,4.52,2.0,10.0,39.0,4305.0,1545.0,156.0,620.0,1060.0,104.0,168.0,0.983,Pittsburgh Pirates,PNC Park,1861549.0,98.0,99.0,PIT,PIT,PIT
2007,NL,PIT,PIT,C,6,162,81.0,68,94,N,N,N,N,724,5569.0,1463.0,322.0,31.0,148.0,463.0,1135.0,68.0,30.0,71.0,51.0,846.0,793.0,4.93,4.0,5.0,32.0,4343.0,1627.0,174.0,518.0,997.0,83.0,190.0,0.986,Pittsburgh Pirates,PNC Park,1749142.0,97.0,98.0,PIT,PIT,PIT
2008,NL,PIT,PIT,C,6,162,81.0,67,95,N,N,N,N,735,5628.0,1454.0,314.0,21.0,153.0,474.0,1039.0,57.0,19.0,59.0,51.0,884.0,822.0,5.08,3.0,7.0,34.0,4365.0,1631.0,176.0,657.0,963.0,107.0,179.0,0.983,Pittsburgh Pirates,PNC Park,1609076.0,96.0,98.0,PIT,PIT,PIT
2009,NL,PIT,PIT,C,6,161,81.0,62,99,N,N,N,N,636,5417.0,1364.0,289.0,34.0,125.0,499.0,1142.0,90.0,32.0,46.0,36.0,768.0,723.0,4.59,5.0,7.0,28.0,4255.0,1491.0,152.0,563.0,919.0,73.0,171.0,0.988,Pittsburgh Pirates,PNC Park,1577853.0,98.0,99.0,PIT,PIT,PIT
