PlayerName
Andrew Abbott
CJ Abrams
Bryan Abreu
José Abreu
Wilyer Abreu
Ronald Acuna Jr
Jason Adam
Willy Adames
Austin Adams
Riley Adams
Jo Adell
Joan Adon
Nick Ahmed
Keegan Akin
Ozzie Albies
Jorge Alcala
Blaze Alexander
Tyler Alexander
Logan Allen
Nick Allen
Yency Almonte
Pete Alonso
Jose Altuve
José Alvarado
Francisco Alvarez
Yordan Alvarez
Adbert Alzolay
Miguel Amaya
Grant Anderson
Justin Anderson
Nick Anderson
Chase Anderson
Tim Anderson
Tyler Anderson
Matt Andriese
Tejay Antone
Orlando Arcia
Nolan Arenado
Gabriel Arias
Shawn Armstrong
Randy Arozarena
Luis Arraez
Spencer Arrighetti
Aaron Ashby
Graham Ashcraft
Javier Assad
Nick Avila
Pedro Avila
José Azocar
Harrison Bader
Patrick Bailey
Tanner Banks
Scott Barlow
Austin Barnes
Matt Barnes
Tucker Barnhart
Jorge Barrosa
Joey Bart
Chris Bassitt
Brett Baty
Jake Bauers
Mike Baumann
David Bednar
Tyler Beede
Jalen Beeks
Clayton Beeter
Josh Bell
Cody Bellinger
Brayan Bello
Anthony Bender
Andrew Benintendi
Will Benson
Brennan Bernardino
José Berríos
Jon Berti
Christian Bethancourt
Mookie Betts
Tanner Bibee
Bo Bichette
Shane Bieber
Brandon Bielak
Cavan Biggio
Jake Bird
Paul Blackburn
Charlie Blackmon
Dairon Blanco
Ronel Blanco
JJ Bleday
Xander Bogaerts
Alec Bohm
Cody Bolton
Ryan Borucki
Matt Bowman
Joe Boyle
Cody Bradford
Ryan Brasier
John Brebbia
Alex Bregman
Will Brennan
Jonah Bride
Jhony Brito
Connor Brogdon
Ben Brown
Hunter Brown
Seth Brown
Vidal Brujan
Kris Bryant
J.B. Bukauskas
Aaron Bummer
Nick Burdi
Jake Burger
Brock Burke
Alec Burleson
Corbin Burnes
Michael Busch
Lawrence Butler
José Buttó
Byron Buxton
Javier Baez
José Caballero
Edward Cabrera
Génesis Cabrera
Oswaldo Cabrera
Jair Camargo
Isaiah Campbell
Luis Campusano
Alexander Canario
Jeimer Candelario
Mark Canha
Griffin Canning
Jonathan Cannon
Yennier Cano
Dominic Canzone
Victor Caratini
Kerry Carpenter
Matt Carpenter
Carlos Carrasco
Corbin Carroll
Evan Carter
Triston Casas
Nick Castellanos
Luis Castillo
Miguel Castro
Willi Castro
Jake Cave
Dylan Cease
Andrew Chafin
Aroldis Chapman
Matt Chapman
Jesse Chavez
Jazz Chisholm Jr
Jackson Chourio
Adam Cimber
José Cisnero
Aaron Civale
Emmanuel Clase
Jonatan Clase
Garrett Cleavinger
Ernie Clement
Dylan Coleman
Oscar Colas
Michael Conforto
Roansy Contreras
William Contreras
Willson Contreras
Garrett Cooper
Patrick Corbin
Carlos Correa
Nestor Cortes
Tom Cosgrove
Danny Coulombe
Jake Cousins
Colton Cowser
Brandon Crawford
J.P. Crawford
Kutter Crawford
Nabil Crismatt
Cooper Criswell
Garrett Crochet
Jake Cronenworth
Declan Cronin
Fernando Cruz
Oneil Cruz
Jose Cuas
Xzavion Curry
Bobby Dalbec
Yu Darvish
Henry Davis
J.D. Davis
Bryan De La Cruz
Elly De La Cruz
Enyel De Los Santos
Paul DeJong
Jason Delay
Reid Detmers
Chris Devenski
Rafael Devers
Yainer Diaz
Jake Diekman
Seranthony Domínguez
Brendan Donovan
Camilo Doval
Brenton Doyle
Brandon Drury
Daniel Duarte
Shawn Dubin
Mauricio Dubón
Oliver Dunn
Dane Dunning
Ezequiel Duran
Jarren Duran
Adam Duvall
Alexis Díaz
Edwin Díaz
Elias Díaz
Miguel Díaz
Yandy Díaz
Travis d'Arnaud
Brett de Geus
Zach Eflin
Kent Emanuel
Christian Encarnacion-Strand
Nathan Eovaldi
Lucas Erceg
Santiago Espinal
Paolo Espino
Jeremiah Estrada
Thairo Estrada
Carlos Estévez
Alex Faedo
Pete Fairbanks
Stuart Fairchild
Bailey Falter
Buck Farmer
Kyle Farmer
Calvin Faucher
Erick Fedde
Ryan Feltner
Caleb Ferguson
Freddy Fermin
Ryan Fernandez
J.P. Feyereisen
Kyle Finnegan
Tyler Fitzgerald
Jack Flaherty
Josh Fleming
Dominic Fletcher
Chris Flexen
Wilmer Flores
Estevan Florial
Dylan Floro
Jason Foley
Nick Fortes
Justin Foscue
Jake Fraley
J.P. France
Ty France
Bowden Francis
Adam Frazier
Kyle Freeland
Freddie Freeman
Tyler Freeman
Sal Frelick
Max Fried
David Fry
Luis Frías
Carson Fulmer
Kody Funderburk
Hunter Gaddis
Giovanny Gallegos
Zac Gallen
Joey Gallo
Maikel Garcia
Robert Garcia
Avisaíl García
Deivi García
Adolis García
Luis García Jr
Luis García
Yimi García
Reed Garrett
Mitch Garver
Kevin Gausman
Zack Gelof
Kyle Gibson
Luis Gil
Logan Gilbert
Andrés Giménez
Kevin Ginkel
Tyler Glasnow
Paul Goldschmidt
Austin Gomber
Yan Gomes
Marco Gonzales
Romy Gonzalez
Victor Gonzalez
Niko Goodrum
Nick Gordon
MacKenzie Gore
Nolan Gorman
Jon Gray
Josiah Gray
Sonny Gray
Chad Green
Hunter Greene
Riley Greene
Randal Grichuk
Trent Grisham
Robbie Grossman
Michael Grove
Vladimir Guerrero Jr
Luis Guillorme
Lourdes Gurriel Jr
Vladimir Gutierrez
Josh Hader
DL Hall
David Hamilton
Ian Hamilton
Garrett Hampson
Emerson Hancock
Mitch Haniger
Ian Happ
