yearID,lgID,teamID,franchID,divID,Rank,G,Ghome,W,L,DivWin,WCWin,LgWin,WSWin,R,AB,H,2B,3B,HR,BB,SO,SB,CS,HBP,SF,RA,ER,ERA,CG,SHO,SV,IPouts,HA,HRA,BBA,SOA,E,DP,FP,name,park,attendance,BPF,PPF,teamIDBR,teamIDlahman45,teamIDretro
2000,NL,SDN,SDP,W,5,162,81.0,76,86,N,N,N,N,752,5560.0,1413.0,279.0,37.0,157.0,602.0,1177.0,131.0,53.0,46.0,43.0,815.0,733.0,4.52,5.0,5.0,46.0,4378.0,1443.0,191.0,649.0,1071.0,141.0,155.0,0.977,San Diego Padres,Qualcomm Stadium,2352443.0,92.0,92.0,SDP,SDN,SDN
2001,NL,SDN,SDP,W,4,162,81.0,79,83,N,N,N,N,789,5482.0,1379.0,273.0,26.0,161.0,678.0,1273.0,129.0,44.0,41.0,48.0,812.0,724.0,4.52,5.0,6.0,46.0,4322.0,1519.0,219.0,476.0,1088.0,145.0,127.0,0.976,San Diego Padres,Qualcomm Stadium,2378128.0,91.0,92.0,SDP,SDN,SDN
2002,NL,SDN,SDP,W,5,162,81.0,66,96,N,N,N,N,662,5515.0,1393.0,243.0,29.0,136.0,547.0,1062.0,71.0,44.0,30.0,41.0,815.0,737.0,4.62,5.0,10.0,40.0,4309.0,1522.0,177.0,582.0,1108.0,128.0,162.0,0.979,San Diego Padres,Qualcomm Stadium,2220601.0,90.0,91.0,SDP,SDN,SDN
2003,NL,SDN,SDP,W,5,162,81.0,64,98,N,N,N,N,678,5531.0,1442.0,257.0,32.0,128.0,565.0,1073.0,76.0,39.0,57.0,42.0,831.0,774.0,4.87,2.0,10.0,31.0,4294.0,1458.0,208.0,611.0,1091.0,102.0,141.0,0.983,San Diego Padres,Qualcomm Stadium,2030084.0,91.0,92.0,SDP,SDN,SDN
2004,NL,SDN,SDP,W,3,162,81.0,87,75,N,N,N,N,768,5573.0,1521.0,304.0,32.0,139.0,566.0,910.0,52.0,25.0,56.0,66.0,705.0,645.0,4.03,3.0,8.0,44.0,4323.0,1460.0,184.0,422.0,1079.0,108.0,146.0,0.982,San Diego Padres,Petco Park,3016752.0,90.0,90.0,SDP,SDN,SDN
2005,NL,SDN,SDP,W,1,162,81.0,82,80,Y,N,N,N,684,5502.0,1416.0,269.0,39.0,130.0,600.0,977.0,99.0,44.0,49.0,48.0,726.0,668.0,4.13,4.0,8.0,45.0,4366.0,1452.0,146.0,503.0,1133.0,109.0,136.0,0.982,San Diego Padres,Petco Park,2869787.0,92.0,91.0,SDP,SDN,SDN
2006,NL,SDN,SDP,W,1,162,81.0,88,74,Y,N,N,N,731,5576.0,1465.0,298.0,38.0,161.0,564.0,1104.0,123.0,31.0,40.0,47.0,679.0,629.0,3.87,4.0,11.0,50.0,4391.0,1385.0,176.0,468.0,1097.0,92.0,138.0,0.985,San Diego Padres,Petco Park,2659757.0,91.0,90.0,SDP,SDN,SDN
2007,NL,SDN,SDP,W,3,163,81.0,89,74,N,N,N,N,741,5612.0,1408.0,322.0,31.0,171.0,557.0,1229.0,55.0,24.0,49.0,44.0,666.0,611.0,3.7,1.0,20.0,45.0,4454.0,1406.0,119.0,474.0,1136.0,92.0,147.0,0.985,San Diego Padres,Petco Park,2790074.0,90.0,90.0,SDP,SDN,SDN
2008,NL,SDN,SDP,W,5,162,81.0,63,99,N,N,N,N,637,5568.0,1390.0,264.0,27.0,154.0,518.0,1259.0,36.0,17.0,53.0,46.0,764.0,714.0,4.41,3.0,6.0,30.0,4375.0,1466.0,165.0,561.0,1100.0,85.0,149.0,0.986,San Diego Padres,Petco Park,2427535.0,88.0,88.0,SDP,SDN,SDN
2009,NL,SDN,SDP,W,4,162,81.0,75,87,N,N,N,N,638,5425.0,1315.0,265.0,31.0,141.0,586.0,1182.0,82.0,29.0,57.0,36.0,769.0,704.0,4.37,2.0,9.0,45.0,4352.0,1422.0,167.0,603.0,1187.0,94.0,146.0,0.984,San Diego Padres,Petco Park,1919603.0,90.0,90.0,SDP,SDN,SDN
