yearID,lgID,teamID,franchID,divID,Rank,G,Ghome,W,L,DivWin,WCWin,LgWin,WSWin,R,AB,H,2B,3B,HR,BB,SO,SB,CS,HBP,SF,RA,ER,ERA,CG,SHO,SV,IPouts,HA,HRA,BBA,SOA,E,DP,FP,name,park,attendance,BPF,PPF,teamIDBR,teamIDlahman45,teamIDretro
2000,AL,SEA,SEA,W,2,162,81.0,91,71,N,Y,N,N,907,5497.0,1481.0,300.0,26.0,198.0,775.0,1073.0,122.0,56.0,48.0,61.0,780.0,720.0,4.49,4.0,10.0,44.0,4325.0,1442.0,167.0,634.0,998.0,99.0,176.0,0.984,Seattle Mariners,Safeco Field,2914624.0,95.0,93.0,SEA,SEA,SEA
2001,AL,SEA,SEA,W,1,162,81.0,116,46,Y,N,N,N,927,5680.0,1637.0,310.0,38.0,169.0,614.0,989.0,174.0,42.0,62.0,70.0,627.0,576.0,3.54,8.0,14.0,56.0,4395.0,1293.0,160.0,465.0,1051.0,83.0,137.0,0.986,Seattle Mariners,Safeco Field,3507326.0,94.0,93.0,SEA,SEA,SEA
2002,AL,SEA,SEA,W,3,162,81.0,93,69,N,N,N,N,814,5569.0,1531.0,285.0,31.0,152.0,629.0,1003.0,137.0,58.0,51.0,72.0,699.0,654.0,4.07,8.0,12.0,43.0,4336.0,1422.0,178.0,441.0,1063.0,88.0,134.0,0.985,Seattle Mariners,Safeco Field,3542938.0,97.0,95.0,SEA,SEA,SEA
2003,AL,SEA,SEA,W,2,162,81.0,93,69,N,N,N,N,795,5561.0,1509.0,290.0,33.0,139.0,586.0,989.0,108.0,37.0,53.0,46.0,637.0,602.0,3.76,8.0,15.0,38.0,4323.0,1340.0,173.0,466.0,1001.0,65.0,159.0,0.989,Seattle Mariners,Safeco Field,3268509.0,95.0,95.0,SEA,SEA,SEA
2004,AL,SEA,SEA,W,4,162,82.0,63,99,N,N,N,N,698,5722.0,1544.0,276.0,20.0,136.0,492.0,1058.0,110.0,42.0,54.0,48.0,823.0,772.0,4.76,7.0,7.0,28.0,4378.0,1498.0,212.0,575.0,1036.0,103.0,140.0,0.983,Seattle Mariners,Safeco Field,2940731.0,97.0,98.0,SEA,SEA,SEA
2005,AL,SEA,SEA,W,4,162,81.0,69,93,N,N,N,N,699,5507.0,1408.0,289.0,34.0,130.0,466.0,986.0,102.0,47.0,48.0,37.0,751.0,712.0,4.49,6.0,7.0,39.0,4283.0,1483.0,179.0,496.0,892.0,86.0,144.0,0.986,Seattle Mariners,Safeco Field,2725459.0,95.0,96.0,SEA,SEA,SEA
2006,AL,SEA,SEA,W,4,162,81.0,78,84,N,N,N,N,756,5670.0,1540.0,266.0,42.0,172.0,404.0,974.0,106.0,37.0,63.0,38.0,792.0,739.0,4.6,6.0,6.0,47.0,4340.0,1500.0,183.0,560.0,1067.0,88.0,150.0,0.985,Seattle Mariners,Safeco Field,2481165.0,97.0,97.0,SEA,SEA,SEA
2007,AL,SEA,SEA,W,2,162,82.0,88,74,N,N,N,N,794,5684.0,1629.0,284.0,22.0,153.0,389.0,861.0,81.0,30.0,62.0,40.0,813.0,754.0,4.73,6.0,12.0,43.0,4303.0,1578.0,147.0,546.0,1020.0,90.0,167.0,0.985,Seattle Mariners,Safeco Field,2672223.0,96.0,97.0,SEA,SEA,SEA
2008,AL,SEA,SEA,W,4,162,81.0,61,101,N,N,N,N,671,5643.0,1498.0,285.0,20.0,124.0,417.0,890.0,90.0,32.0,38.0,42.0,811.0,754.0,4.73,4.0,4.0,36.0,4306.0,1544.0,161.0,626.0,1016.0,99.0,160.0,0.984,Seattle Mariners,Safeco Field,2329702.0,97.0,97.0,SEA,SEA,SEA
2009,AL,SEA,SEA,W,3,162,81.0,85,77,N,N,N,N,640,5543.0,1430.0,280.0,19.0,160.0,421.0,1093.0,89.0,33.0,49.0,44.0,692.0,625.0,3.87,4.0,10.0,49.0,4358.0,1359.0,172.0,534.0,1043.0,105.0,150.0,0.982,Seattle Mariners,Safeco Field,2195533.0,94.0,96.0,SEA,SEA,SEA
