yearID,lgID,teamID,franchID,divID,Rank,G,Ghome,W,L,DivWin,WCWin,LgWin,WSWin,R,AB,H,2B,3B,HR,BB,SO,SB,CS,HBP,SF,RA,ER,ERA,CG,SHO,SV,IPouts,HA,HRA,BBA,SOA,E,DP,FP,name,park,attendance,BPF,PPF,teamIDBR,teamIDlahman45,teamIDretro
2000,NL,SFN,SFG,W,1,162,81.0,97,65,Y,N,N,N,925,5519.0,1535.0,304.0,44.0,226.0,709.0,1032.0,79.0,39.0,51.0,66.0,747.0,675.0,4.21,9.0,15.0,47.0,4333.0,1452.0,151.0,623.0,1076.0,93.0,173.0,0.985,San Francisco Giants,PacBell Park,3318800.0,93.0,92.0,SFG,SFN,SFN
2001,NL,SFN,SFG,W,2,162,81.0,90,72,N,N,N,N,799,5612.0,1493.0,304.0,40.0,235.0,625.0,1090.0,57.0,42.0,50.0,54.0,748.0,680.0,4.18,3.0,8.0,47.0,4390.0,1437.0,145.0,579.0,1080.0,118.0,170.0,0.981,San Francisco Giants,PacBell Park,3311958.0,93.0,92.0,SFG,SFN,SFN
2002,NL,SFN,SFG,W,2,162,81.0,95,66,N,Y,Y,N,783,5497.0,1465.0,300.0,35.0,198.0,616.0,961.0,74.0,21.0,65.0,52.0,616.0,566.0,3.54,10.0,13.0,43.0,4312.0,1349.0,116.0,523.0,992.0,90.0,166.0,0.985,San Francisco Giants,PacBell Park,3253203.0,95.0,94.0,SFG,SFN,SFN
2003,NL,SFN,SFG,W,1,161,81.0,100,61,Y,N,N,N,755,5456.0,1440.0,281.0,29.0,180.0,593.0,980.0,53.0,37.0,40.0,39.0,638.0,595.0,3.73,7.0,10.0,43.0,4312.0,1349.0,136.0,546.0,1006.0,80.0,163.0,0.987,San Francisco Giants,PacBell Park,3264898.0,99.0,98.0,SFG,SFN,SFN
2004,NL,SFN,SFG,W,2,162,82.0,91,71,N,N,N,N,850,5546.0,1500.0,314.0,33.0,183.0,705.0,874.0,43.0,23.0,72.0,51.0,770.0,695.0,4.29,8.0,8.0,46.0,4371.0,1481.0,161.0,548.0,1020.0,101.0,153.0,0.984,San Francisco Giants,SBC Park,3256854.0,101.0,101.0,SFG,SFN,SFN
2005,NL,SFN,SFG,W,3,162,81.0,75,87,N,N,N,N,649,5462.0,1427.0,299.0,26.0,128.0,431.0,901.0,71.0,35.0,49.0,44.0,745.0,695.0,4.33,4.0,8.0,46.0,4333.0,1456.0,151.0,592.0,972.0,90.0,146.0,0.985,San Francisco Giants,SBC Park,3181023.0,101.0,101.0,SFG,SFN,SFN
2006,NL,SFN,SFG,W,3,161,81.0,76,85,N,N,N,N,746,5472.0,1418.0,297.0,52.0,163.0,494.0,891.0,58.0,25.0,53.0,37.0,790.0,735.0,4.63,7.0,9.0,37.0,4289.0,1422.0,153.0,584.0,992.0,91.0,132.0,0.985,San Francisco Giants,AT&T Park,3130313.0,100.0,100.0,SFG,SFN,SFN
2007,NL,SFN,SFG,W,5,162,81.0,71,91,N,N,N,N,683,5538.0,1407.0,267.0,37.0,131.0,532.0,907.0,119.0,33.0,39.0,36.0,720.0,677.0,4.19,5.0,10.0,37.0,4361.0,1442.0,133.0,593.0,1057.0,88.0,148.0,0.986,San Francisco Giants,AT&T Park,3223215.0,101.0,101.0,SFG,SFN,SFN
2008,NL,SFN,SFG,W,4,162,81.0,72,90,N,N,N,N,640,5543.0,1452.0,311.0,37.0,94.0,452.0,1044.0,108.0,46.0,48.0,44.0,759.0,701.0,4.38,4.0,12.0,41.0,4326.0,1416.0,147.0,652.0,1240.0,96.0,129.0,0.983,San Francisco Giants,AT&T Park,2863837.0,102.0,103.0,SFG,SFN,SFN
2009,NL,SFN,SFG,W,3,162,81.0,88,74,N,N,N,N,657,5493.0,1411.0,275.0,43.0,122.0,392.0,1158.0,78.0,28.0,50.0,55.0,611.0,571.0,3.55,11.0,18.0,41.0,4338.0,1268.0,140.0,584.0,1302.0,88.0,138.0,0.985,San Francisco Giants,AT&T Park,2862110.0,102.0,102.0,SFG,SFN,SFN
