yearID,lgID,teamID,franchID,divID,Rank,G,Ghome,W,L,DivWin,WCWin,LgWin,WSWin,R,AB,H,2B,3B,HR,BB,SO,SB,CS,HBP,SF,RA,ER,ERA,CG,SHO,SV,IPouts,HA,HRA,BBA,SOA,E,DP,FP,name,park,attendance,BPF,PPF,teamIDBR,teamIDlahman45,teamIDretro
2000,NL,SLN,STL,C,1,162,81.0,95,67,Y,N,N,N,887,5478.0,1481.0,259.0,25.0,235.0,675.0,1253.0,87.0,51.0,84.0,53.0,771.0,698.0,4.38,10.0,7.0,37.0,4301.0,1403.0,196.0,606.0,1100.0,111.0,148.0,0.981,St. Louis Cardinals,Busch Stadium II,3336493.0,102.0,101.0,STL,SLN,SLN
2001,NL,SLN,STL,C,2,162,82.0,93,69,N,Y,N,N,814,5450.0,1469.0,274.0,32.0,199.0,529.0,1089.0,91.0,35.0,65.0,50.0,684.0,627.0,3.93,8.0,11.0,38.0,4306.0,1389.0,196.0,526.0,1083.0,110.0,156.0,0.982,St. Louis Cardinals,Busch Stadium II,3109578.0,100.0,99.0,STL,SLN,SLN
2002,NL,SLN,STL,C,1,162,81.0,97,65,Y,N,N,N,787,5505.0,1475.0,285.0,26.0,175.0,542.0,927.0,86.0,42.0,67.0,49.0,648.0,595.0,3.7,4.0,9.0,42.0,4339.0,1355.0,141.0,547.0,1009.0,103.0,168.0,0.983,St. Louis Cardinals,Busch Stadium II,3011756.0,98.0,97.0,STL,SLN,SLN
2003,NL,SLN,STL,C,3,162,81.0,85,77,N,N,N,N,876,5672.0,1580.0,342.0,32.0,196.0,580.0,952.0,82.0,32.0,73.0,54.0,796.0,748.0,4.6,9.0,10.0,41.0,4391.0,1544.0,210.0,508.0,969.0,77.0,138.0,0.987,St. Louis Cardinals,Busch Stadium II,2910386.0,97.0,96.0,STL,SLN,SLN
2004,NL,SLN,STL,C,1,162,81.0,105,57,Y,N,Y,N,855,5555.0,1544.0,319.0,24.0,214.0,548.0,1085.0,111.0,47.0,51.0,70.0,659.0,605.0,3.75,4.0,12.0,57.0,4361.0,1378.0,169.0,440.0,1041.0,97.0,154.0,0.985,St. Louis Cardinals,Busch Stadium II,3048427.0,100.0,99.0,STL,SLN,SLN
2005,NL,SLN,STL,C,1,162,81.0,100,62,Y,N,N,N,805,5538.0,1494.0,287.0,26.0,170.0,534.0,947.0,83.0,36.0,62.0,35.0,634.0,560.0,3.49,15.0,14.0,48.0,4337.0,1399.0,153.0,443.0,974.0,100.0,196.0,0.984,St. Louis Cardinals,Busch Stadium II,3538988.0,101.0,100.0,STL,SLN,SLN
2006,NL,SLN,STL,C,1,161,80.0,83,78,Y,N,Y,Y,781,5522.0,1484.0,292.0,27.0,184.0,531.0,922.0,59.0,32.0,61.0,40.0,762.0,721.0,4.54,6.0,9.0,38.0,4289.0,1475.0,193.0,504.0,970.0,98.0,170.0,0.984,St. Louis Cardinals,Busch Stadium III,3407104.0,99.0,99.0,STL,SLN,SLN
2007,NL,SLN,STL,C,3,162,81.0,78,84,N,N,N,N,725,5529.0,1513.0,279.0,13.0,141.0,506.0,909.0,56.0,33.0,54.0,54.0,829.0,741.0,4.65,2.0,8.0,34.0,4307.0,1514.0,168.0,509.0,945.0,121.0,155.0,0.98,St. Louis Cardinals,Busch Stadium III,3552180.0,99.0,99.0,STL,SLN,SLN
2008,NL,SLN,STL,C,4,162,81.0,86,76,N,N,N,N,779,5636.0,1585.0,283.0,26.0,174.0,577.0,985.0,73.0,32.0,42.0,44.0,725.0,677.0,4.19,2.0,7.0,42.0,4362.0,1517.0,163.0,496.0,957.0,85.0,156.0,0.986,St. Louis Cardinals,Busch Stadium III,3432917.0,99.0,99.0,STL,SLN,SLN
2009,NL,SLN,STL,C,1,162,81.0,91,71,Y,N,N,N,730,5465.0,1436.0,294.0,29.0,160.0,528.0,1041.0,75.0,31.0,61.0,43.0,640.0,586.0,3.66,8.0,11.0,43.0,4322.0,1407.0,123.0,460.0,1049.0,96.0,167.0,0.985,St. Louis Cardinals,Busch Stadium III,3343252.0,98.0,97.0,STL,SLN,SLN
