yearID,lgID,teamID,franchID,divID,Rank,G,Ghome,W,L,DivWin,WCWin,LgWin,WSWin,R,AB,H,2B,3B,HR,BB,SO,SB,CS,HBP,SF,RA,ER,ERA,CG,SHO,SV,IPouts,HA,HRA,BBA,SOA,E,DP,FP,name,park,attendance,BPF,PPF,teamIDBR,teamIDlahman45,teamIDretro
2000,AL,TBA,TBD,E,5,161,80.0,69,92,N,N,N,N,733,5505,1414,253,22,162,558,1022.0,90.0,46.0,51.0,40.0,842,773,4.86,10,8,38,4294,1553,198,533,955,118,169.0,0.981,Tampa Bay Devil Rays,Tropicana Field,1449673.0,99,100,TBD,TBA,TBA
2001,AL,TBA,TBD,E,5,162,81.0,62,100,N,N,N,N,672,5524,1426,311,21,121,456,1116.0,115.0,52.0,54.0,25.0,887,781,4.94,1,6,30,4271,1513,207,569,1030,139,144.0,0.977,Tampa Bay Devil Rays,Tropicana Field,1298365.0,98,100,TBD,TBA,TBA
2002,AL,TBA,TBD,E,5,161,81.0,55,106,N,N,N,N,673,5604,1418,297,35,133,456,1115.0,102.0,45.0,58.0,36.0,918,846,5.29,12,3,25,4321,1567,215,620,925,126,168.0,0.979,Tampa Bay Devil Rays,Tropicana Field,1065742.0,97,99,TBD,TBA,TBA
2003,AL,TBA,TBD,E,5,162,81.0,63,99,N,N,N,N,715,5654,1501,298,38,137,420,1030.0,142.0,42.0,56.0,50.0,852,787,4.93,7,7,30,4310,1454,196,639,877,103,158.0,0.983,Tampa Bay Devil Rays,Tropicana Field,1058695.0,95,97,TBD,TBA,TBA
2004,AL,TBA,TBD,E,4,161,80.0,70,91,N,N,N,N,714,5483,1416,278,46,145,469,944.0,132.0,42.0,55.0,56.0,842,757,4.81,3,5,35,4251,1459,192,580,923,119,139.0,0.98,Tampa Bay Devil Rays,Tropicana Field,1274911.0,96,98,TBD,TBA,TBA
2005,AL,TBA,TBD,E,5,162,81.0,67,95,N,N,N,N,750,5552,1519,289,40,157,412,990.0,151.0,49.0,69.0,51.0,936,851,5.39,1,4,43,4265,1570,194,615,949,124,139.0,0.979,Tampa Bay Devil Rays,Tropicana Field,1141669.0,99,100,TBD,TBA,TBA
2006,AL,TBA,TBD,E,5,162,81.0,61,101,N,N,N,N,689,5474,1395,267,33,190,441,1106.0,134.0,52.0,47.0,43.0,856,782,4.96,3,7,33,4261,1600,180,606,979,116,156.0,0.981,Tampa Bay Devil Rays,Tropicana Field,1368950.0,99,101,TBD,TBA,TBA
2007,AL,TBA,TBD,E,5,162,81.0,66,96,N,N,N,N,782,5593,1500,291,36,187,545,1324.0,131.0,48.0,53.0,52.0,944,879,5.53,2,2,28,4289,1649,199,568,1194,117,155.0,0.98,Tampa Bay Devil Rays,Tropicana Field,1387603.0,98,100,TBD,TBA,TBA
2008,AL,TBA,TBD,E,1,162,81.0,97,65,Y,N,Y,N,774,5541,1443,284,37,180,626,1224.0,142.0,50.0,68.0,52.0,671,618,3.82,7,12,52,4373,1349,166,526,1143,90,153.0,0.985,Tampa Bay Rays,Tropicana Field,1811986.0,101,101,TBR,TBA,TBA
2009,AL,TBA,TBD,E,3,162,81.0,84,78,N,N,N,N,803,5462,1434,297,36,199,642,1229.0,194.0,61.0,49.0,45.0,754,686,4.33,3,5,41,4282,1421,183,515,1125,98,135.0,0.983,Tampa Bay Rays,Tropicana Field,1874962.0,98,97,TBR,TBA,TBA
2010,AL,TBA,TBD,E,1,162,81.0,96,66,Y,N,N,N,802,5439,1343,295,37,160,672,1292.0,172.0,47.0,57.0,57.0,649,611,3.78,6,12,51,4361,1347,175,478,1189,85,134.0,0.986,Tampa Bay Rays,Tropicana Field,1843445.0,96,95,TBR,TBA,TBA
2011,AL,TBA,TBD,E,2,162,81.0,91,71,N,Y,N,N,707,5436,1324,273,37,172,571,1193.0,155.0,62.0,73.0,35.0,614,577,3.58,15,13,32,4347,1263,161,504,1143,73,138.0,0.988,Tampa Bay Rays,Tropicana Field,1529188.0,92,92,TBR,TBA,TBA
2012,AL,TBA,TBD,E,3,162,81.0,90,72,N,N,N,N,697,5398,1293,250,30,175,571,1323.0,134.0,44.0,58.0,42.0,577,518,3.19,7,15,50,4379,1233,139,469,1383,114,155.0,0.981,Tampa Bay Rays,Tropicana Field,1559681.0,94,93,TBR,TBA,TBA
2013,AL,TBA,TBD,E,2,163,81.0,92,71,N,Y,N,N,700,5538,1421,296,23,165,589,1171.0,73.0,38.0,36.0,55.0,646,608,3.74,9,17,42,4392,1315,153,482,1310,59,147.0,0.99,Tampa Bay Rays,Tropicana Field,1510300.0,96,95,TBR,TBA,TBA
2014,AL,TBA,TBD,E,4,162,81.0,77,85,N,N,N,N,612,5516,1361,263,24,117,527,1124.0,63.0,27.0,66.0,53.0,625,579,3.56,3,22,37,4391,1292,145,482,1437,88,96.0,0.985,Tampa Bay Rays,Tropicana Field,1446464.0,97,97,TBR,TBA,TBA
2015,AL,TBA,TBD,E,4,162,84.0,80,82,N,N,N,N,644,5485,1383,278,32,167,436,1310.0,87.0,45.0,84.0,47.0,642,604,3.74,1,12,60,4360,1314,175,477,1355,95,118.0,0.984,Tampa Bay Rays,Tropicana Field,1287054.0,100,102,TBR,TBA,TBA
