yearID,lgID,teamID,franchID,divID,Rank,G,Ghome,W,L,DivWin,WCWin,LgWin,WSWin,R,AB,H,2B,3B,HR,BB,SO,SB,CS,HBP,SF,RA,ER,ERA,CG,SHO,SV,IPouts,HA,HRA,BBA,SOA,E,DP,FP,name,park,attendance,BPF,PPF,teamIDBR,teamIDlahman45,teamIDretro
2000,AL,TBR,TBR,E,5,161,80.0,69,92,N,N,N,N,733,5505.0,1414.0,253.0,22.0,162.0,558.0,1022.0,90.0,46.0,51.0,40.0,842.0,773.0,4.86,10.0,8.0,38.0,4294.0,1553.0,198.0,533.0,955.0,118.0,169.0,0.981,Tampa Bay Devil Rays,Tropicana Field,1449673.0,99.0,100.0,TBR,TBR,TBR
2001,AL,TBR,TBR,E,5,162,81.0,62,100,N,N,N,N,672,5524.0,1426.0,311.0,21.0,121.0,456.0,1116.0,115.0,52.0,54.0,25.0,887.0,781.0,4.94,1.0,6.0,30.0,4271.0,1513.0,207.0,569.0,1030.0,139.0,144.0,0.977,Tampa Bay Devil Rays,Tropicana Field,1298365.0,98.0,100.0,TBR,TBR,TBR
2002,AL,TBR,TBR,E,5,161,81.0,55,106,N,N,N,N,673,5604.0,1418.0,297.0,35.0,133.0,456.0,1115.0,102.0,45.0,58.0,36.0,918.0,846.0,5.29,12.0,3.0,25.0,4321.0,1567.0,215.0,620.0,925.0,126.0,168.0,0.979,Tampa Bay Devil Rays,Tropicana Field,1065742.0,97.0,99.0,TBR,TBR,TBR
2003,AL,TBR,TBR,E,5,162,81.0,63,99,N,N,N,N,715,5654.0,1501.0,298.0,38.0,137.0,420.0,1030.0,142.0,42.0,56.0,50.0,852.0,787.0,4.93,7.0,7.0,30.0,4310.0,1454.0,196.0,639.0,877.0,103.0,158.0,0.983,Tampa Bay Devil Rays,Tropicana Field,1058695.0,95.0,97.0,TBR,TBR,TBR
2004,AL,TBR,TBR,E,4,161,80.0,70,91,N,N,N,N,714,5483.0,1416.0,278.0,46.0,145.0,469.0,944.0,132.0,42.0,55.0,56.0,842.0,757.0,4.81,3.0,5.0,35.0,4251.0,1459.0,192.0,580.0,923.0,119.0,139.0,0.98,Tampa Bay Devil Rays,Tropicana Field,1274911.0,96.0,98.0,TBR,TBR,TBR
2005,AL,TBR,TBR,E,5,162,81.0,67,95,N,N,N,N,750,5552.0,1519.0,289.0,40.0,157.0,412.0,990.0,151.0,49.0,69.0,51.0,936.0,851.0,5.39,1.0,4.0,43.0,4265.0,1570.0,194.0,615.0,949.0,124.0,139.0,0.979,Tampa Bay Devil Rays,Tropicana Field,1141669.0,99.0,100.0,TBR,TBR,TBR
2006,AL,TBR,TBR,E,5,162,81.0,61,101,N,N,N,N,689,5474.0,1395.0,267.0,33.0,190.0,441.0,1106.0,134.0,52.0,47.0,43.0,856.0,782.0,4.96,3.0,7.0,33.0,4261.0,1600.0,180.0,606.0,979.0,116.0,156.0,0.981,Tampa Bay Devil Rays,Tropicana Field,1368950.0,99.0,101.0,TBR,TBR,TBR
2007,AL,TBR,TBR,E,5,162,81.0,66,96,N,N,N,N,782,5593.0,1500.0,291.0,36.0,187.0,545.0,1324.0,131.0,48.0,53.0,52.0,944.0,879.0,5.53,2.0,2.0,28.0,4289.0,1649.0,199.0,568.0,1194.0,117.0,155.0,0.98,Tampa Bay Devil Rays,Tropicana Field,1387603.0,98.0,100.0,TBR,TBR,TBR
2008,AL,TBR,TBR,E,1,162,81.0,97,65,Y,N,Y,N,774,5541.0,1443.0,284.0,37.0,180.0,626.0,1224.0,142.0,50.0,68.0,52.0,671.0,618.0,3.82,7.0,12.0,52.0,4373.0,1349.0,166.0,526.0,1143.0,90.0,153.0,0.985,Tampa Bay Rays,Tropicana Field,1811986.0,101.0,101.0,TBR,TBR,TBR
2009,AL,TBR,TBR,E,3,162,81.0,84,78,N,N,N,N,803,5462.0,1434.0,297.0,36.0,199.0,642.0,1229.0,194.0,61.0,49.0,45.0,754.0,686.0,4.33,3.0,5.0,41.0,4282.0,1421.0,183.0,515.0,1125.0,98.0,135.0,0.983,Tampa Bay Rays,Tropicana Field,1874962.0,98.0,97.0,TBR,TBR,TBR
