yearID,lgID,teamID,franchID,divID,Rank,G,Ghome,W,L,DivWin,WCWin,LgWin,WSWin,R,AB,H,2B,3B,HR,BB,SO,SB,CS,HBP,SF,RA,ER,ERA,CG,SHO,SV,IPouts,HA,HRA,BBA,SOA,E,DP,FP,name,park,attendance,BPF,PPF,teamIDBR,teamIDlahman45,teamIDretro
2000,AL,TEX,TEX,W,4,162,81.0,71,91,N,N,N,N,848,5648.0,1601.0,330.0,35.0,173.0,580.0,922.0,69.0,47.0,39.0,48.0,974.0,876.0,5.52,3.0,4.0,39.0,4287.0,1683.0,202.0,661.0,918.0,135.0,162.0,0.978,Texas Rangers,The Ballpark at Arlington,2588401.0,102.0,102.0,TEX,TEX,TEX
2001,AL,TEX,TEX,W,4,162,82.0,73,89,N,N,N,N,890,5685.0,1566.0,326.0,23.0,246.0,548.0,1093.0,97.0,32.0,75.0,55.0,968.0,913.0,5.71,4.0,3.0,37.0,4315.0,1670.0,222.0,596.0,951.0,114.0,167.0,0.981,Texas Rangers,The Ballpark at Arlington,2831021.0,104.0,105.0,TEX,TEX,TEX
2002,AL,TEX,TEX,W,4,162,80.0,72,90,N,N,N,N,843,5618.0,1510.0,304.0,27.0,230.0,554.0,1055.0,62.0,34.0,62.0,50.0,882.0,824.0,5.15,4.0,4.0,33.0,4319.0,1528.0,194.0,669.0,1030.0,99.0,152.0,0.984,Texas Rangers,The Ballpark at Arlington,2352397.0,106.0,107.0,TEX,TEX,TEX
2003,AL,TEX,TEX,W,4,162,81.0,71,91,N,N,N,N,826,5664.0,1506.0,274.0,36.0,239.0,488.0,1052.0,65.0,25.0,75.0,42.0,969.0,903.0,5.67,4.0,3.0,43.0,4300.0,1625.0,208.0,603.0,1009.0,94.0,168.0,0.985,Texas Rangers,The Ballpark at Arlington,2094394.0,111.0,111.0,TEX,TEX,TEX
2004,AL,TEX,TEX,W,3,162,81.0,89,73,N,N,N,N,860,5615.0,1492.0,323.0,34.0,227.0,500.0,1099.0,69.0,36.0,61.0,57.0,794.0,724.0,4.53,5.0,9.0,52.0,4319.0,1536.0,182.0,547.0,979.0,117.0,152.0,0.981,Texas Rangers,The Ballpark at Arlington,2513685.0,108.0,109.0,TEX,TEX,TEX
2005,AL,TEX,TEX,W,3,162,81.0,79,83,N,N,N,N,865,5716.0,1528.0,311.0,29.0,260.0,495.0,1112.0,67.0,15.0,48.0,32.0,858.0,794.0,4.96,2.0,6.0,46.0,4320.0,1589.0,159.0,522.0,932.0,108.0,149.0,0.982,Texas Rangers,Ameriquest Field,2525221.0,106.0,106.0,TEX,TEX,TEX
2006,AL,TEX,TEX,W,3,162,81.0,80,82,N,N,N,N,835,5659.0,1571.0,357.0,23.0,183.0,505.0,1061.0,53.0,24.0,40.0,50.0,784.0,731.0,4.6,3.0,8.0,42.0,4294.0,1558.0,162.0,496.0,972.0,98.0,174.0,0.984,Texas Rangers,Ameriquest Field,2388757.0,101.0,101.0,TEX,TEX,TEX
2007,AL,TEX,TEX,W,4,162,81.0,75,87,N,N,N,N,816,5555.0,1460.0,298.0,36.0,179.0,503.0,1224.0,88.0,25.0,56.0,42.0,844.0,755.0,4.75,0.0,6.0,42.0,4290.0,1525.0,155.0,668.0,976.0,124.0,179.0,0.98,Texas Rangers,Rangers Ballpark in Arlington,2353862.0,101.0,101.0,TEX,TEX,TEX
2008,AL,TEX,TEX,W,2,162,81.0,79,83,N,N,N,N,901,5728.0,1619.0,376.0,35.0,194.0,595.0,1207.0,81.0,25.0,63.0,54.0,967.0,860.0,5.37,6.0,8.0,36.0,4326.0,1647.0,176.0,625.0,963.0,132.0,191.0,0.978,Texas Rangers,Rangers Ballpark in Arlington,1945677.0,102.0,102.0,TEX,TEX,TEX
2009,AL,TEX,TEX,W,2,162,81.0,87,75,N,N,N,N,784,5526.0,1436.0,296.0,27.0,224.0,472.0,1253.0,149.0,36.0,37.0,51.0,740.0,698.0,4.38,8.0,11.0,45.0,4304.0,1432.0,171.0,531.0,1016.0,106.0,168.0,0.982,Texas Rangers,Rangers Ballpark in Arlington,2156016.0,104.0,104.0,TEX,TEX,TEX
