yearID,lgID,teamID,franchID,divID,Rank,G,Ghome,W,L,DivWin,WCWin,LgWin,WSWin,R,AB,H,2B,3B,HR,BB,SO,SB,CS,HBP,SF,RA,ER,ERA,CG,SHO,SV,IPouts,HA,HRA,BBA,SOA,E,DP,FP,name,park,attendance,BPF,PPF,teamIDBR,teamIDlahman45,teamIDretro
2000,AL,TOR,TOR,E,3,162,81.0,83,79,N,N,N,N,861,5677.0,1562.0,328.0,21.0,244.0,526.0,1026.0,89.0,34.0,60.0,34.0,908.0,821.0,5.14,15.0,4.0,37.0,4312.0,1615.0,195.0,560.0,978.0,100.0,176.0,0.984,Toronto Blue Jays,Skydome,1705712.0,103.0,103.0,TOR,TOR,TOR
2001,AL,TOR,TOR,E,3,162,82.0,80,82,N,N,N,N,767,5663.0,1489.0,287.0,36.0,195.0,470.0,1094.0,156.0,55.0,74.0,43.0,753.0,696.0,4.28,7.0,10.0,41.0,4388.0,1553.0,165.0,490.0,1041.0,97.0,184.0,0.985,Toronto Blue Jays,Skydome,1915438.0,102.0,103.0,TOR,TOR,TOR
2002,AL,TOR,TOR,E,3,162,81.0,78,84,N,N,N,N,813,5581.0,1457.0,305.0,38.0,187.0,522.0,1142.0,71.0,18.0,53.0,57.0,828.0,767.0,4.8,6.0,6.0,41.0,4315.0,1504.0,177.0,590.0,991.0,107.0,159.0,0.982,Toronto Blue Jays,Skydome,1637900.0,104.0,104.0,TOR,TOR,TOR
2003,AL,TOR,TOR,E,3,162,81.0,86,76,N,N,N,N,894,5661.0,1580.0,357.0,33.0,190.0,546.0,1081.0,37.0,25.0,90.0,56.0,826.0,748.0,4.69,14.0,6.0,35.0,4305.0,1560.0,184.0,485.0,984.0,117.0,161.0,0.981,Toronto Blue Jays,Skydome,1799458.0,104.0,104.0,TOR,TOR,TOR
2004,AL,TOR,TOR,E,5,161,81.0,67,94,N,N,N,N,719,5531.0,1438.0,290.0,34.0,145.0,513.0,1083.0,58.0,31.0,71.0,42.0,823.0,775.0,4.91,6.0,11.0,37.0,4263.0,1505.0,181.0,608.0,956.0,91.0,150.0,0.985,Toronto Blue Jays,Skydome,1900041.0,104.0,104.0,TOR,TOR,TOR
2005,AL,TOR,TOR,E,3,162,81.0,80,82,N,N,N,N,775,5581.0,1480.0,307.0,39.0,136.0,486.0,955.0,72.0,35.0,89.0,56.0,705.0,653.0,4.06,9.0,8.0,35.0,4341.0,1475.0,185.0,444.0,958.0,95.0,154.0,0.985,Toronto Blue Jays,Rogers Centre,2014995.0,102.0,102.0,TOR,TOR,TOR
2006,AL,TOR,TOR,E,2,162,81.0,87,75,N,N,N,N,809,5596.0,1591.0,348.0,27.0,199.0,514.0,906.0,65.0,33.0,63.0,52.0,754.0,694.0,4.37,6.0,6.0,42.0,4285.0,1447.0,185.0,504.0,1076.0,99.0,157.0,0.984,Toronto Blue Jays,Rogers Centre,2302212.0,100.0,100.0,TOR,TOR,TOR
2007,AL,TOR,TOR,E,3,162,81.0,83,79,N,N,N,N,753,5536.0,1434.0,344.0,24.0,165.0,533.0,1044.0,57.0,22.0,47.0,48.0,699.0,644.0,4.0,11.0,9.0,44.0,4346.0,1383.0,157.0,479.0,1067.0,102.0,160.0,0.984,Toronto Blue Jays,Rogers Centre,2360644.0,100.0,99.0,TOR,TOR,TOR
2008,AL,TOR,TOR,E,4,162,81.0,86,76,N,N,N,N,714,5503.0,1453.0,303.0,32.0,126.0,521.0,938.0,80.0,27.0,59.0,56.0,610.0,561.0,3.49,15.0,13.0,44.0,4340.0,1330.0,134.0,467.0,1184.0,84.0,137.0,0.986,Toronto Blue Jays,Rogers Centre,2399786.0,98.0,97.0,TOR,TOR,TOR
2009,AL,TOR,TOR,E,4,162,81.0,75,87,N,N,N,N,798,5696.0,1516.0,339.0,13.0,209.0,548.0,1028.0,73.0,23.0,45.0,49.0,771.0,720.0,4.47,10.0,10.0,25.0,4353.0,1509.0,181.0,551.0,1181.0,76.0,168.0,0.988,Toronto Blue Jays,Rogers Centre,1876129.0,100.0,99.0,TOR,TOR,TOR
