yearID,lgID,teamID,franchID,divID,Rank,G,Ghome,W,L,DivWin,WCWin,LgWin,WSWin,R,AB,H,2B,3B,HR,BB,SO,SB,CS,HBP,SF,RA,ER,ERA,CG,SHO,SV,IPouts,HA,HRA,BBA,SOA,E,DP,FP,name,park,attendance,BPF,PPF,teamIDBR,teamIDlahman45,teamIDretro
2000,NL,MON,WSN,E,4,162,81.0,67,95,N,N,N,N,738,5535.0,1475.0,310.0,35.0,178.0,476.0,1048.0,58.0,48.0,29.0,34.0,902.0,812.0,5.13,4.0,7.0,39.0,4274.0,1575.0,181.0,579.0,1011.0,132.0,151.0,0.978,Montreal Expos,Stade Olympique,926272.0,103.0,104.0,MON,MON,MON
2001,NL,MON,WSN,E,5,162,81.0,68,94,N,N,N,N,670,5379.0,1361.0,320.0,28.0,131.0,478.0,1071.0,101.0,51.0,60.0,45.0,812.0,745.0,4.68,5.0,11.0,28.0,4294.0,1509.0,190.0,525.0,1103.0,108.0,139.0,0.982,Montreal Expos,Stade Olympique,642745.0,101.0,102.0,MON,MON,MON
2002,NL,MON,WSN,E,2,162,81.0,83,79,N,N,N,N,735,5479.0,1432.0,300.0,36.0,162.0,575.0,1104.0,118.0,64.0,46.0,42.0,718.0,641.0,3.97,9.0,3.0,39.0,4359.0,1475.0,165.0,508.0,1088.0,139.0,160.0,0.978,Montreal Expos,Stade Olympique,812045.0,103.0,103.0,MON,MON,MON
2003,NL,MON,WSN,E,4,162,81.0,83,79,N,N,N,N,711,5437.0,1404.0,294.0,25.0,144.0,522.0,990.0,100.0,39.0,45.0,40.0,716.0,640.0,4.01,15.0,10.0,42.0,4313.0,1467.0,181.0,463.0,1028.0,102.0,152.0,0.983,Montreal Expos,Stade Olympique/Hiram Bithorn Stadium,1025639.0,105.0,105.0,MON,MON,MON
2004,NL,MON,WSN,E,5,162,80.0,67,95,N,N,N,N,635,5474.0,1361.0,276.0,27.0,151.0,496.0,925.0,109.0,38.0,35.0,33.0,769.0,696.0,4.33,11.0,11.0,31.0,4341.0,1477.0,191.0,582.0,1032.0,99.0,172.0,0.984,Montreal Expos,Stade Olympique/Hiram Bithorn Stadium,749550.0,105.0,105.0,MON,MON,MON
2005,NL,WAS,WSN,E,5,162,81.0,81,81,N,N,N,N,639,5426.0,1367.0,311.0,32.0,117.0,491.0,1090.0,45.0,45.0,89.0,45.0,673.0,627.0,3.87,4.0,9.0,51.0,4374.0,1456.0,140.0,539.0,997.0,92.0,156.0,0.985,Washington Nationals,R.F.K. Stadium,2731993.0,95.0,96.0,WSN,MON,WAS
2006,NL,WAS,WSN,E,5,162,81.0,71,91,N,N,N,N,746,5495.0,1437.0,322.0,22.0,164.0,594.0,1156.0,123.0,62.0,69.0,49.0,872.0,803.0,5.03,1.0,3.0,32.0,4309.0,1535.0,193.0,584.0,960.0,131.0,123.0,0.978,Washington Nationals,R.F.K. Stadium,2153056.0,94.0,95.0,WSN,MON,WAS
2007,NL,WAS,WSN,E,4,162,81.0,73,89,N,N,N,N,673,5520.0,1415.0,309.0,31.0,123.0,524.0,1128.0,69.0,23.0,53.0,41.0,783.0,736.0,4.58,0.0,6.0,46.0,4340.0,1502.0,187.0,580.0,931.0,109.0,153.0,0.982,Washington Nationals,R.F.K. Stadium,1943812.0,94.0,95.0,WSN,MON,WAS
2008,NL,WAS,WSN,E,5,161,80.0,59,102,N,N,N,N,641,5491.0,1376.0,269.0,26.0,117.0,534.0,1095.0,81.0,43.0,67.0,36.0,825.0,742.0,4.66,2.0,8.0,28.0,4302.0,1496.0,190.0,588.0,1063.0,123.0,143.0,0.98,Washington Nationals,Nationals Park,2320400.0,99.0,100.0,WSN,MON,WAS
2009,NL,WAS,WSN,E,5,162,81.0,59,103,N,N,N,N,710,5493.0,1416.0,271.0,38.0,156.0,617.0,1208.0,73.0,40.0,56.0,42.0,874.0,791.0,5.0,6.0,3.0,33.0,4273.0,1533.0,173.0,629.0,911.0,143.0,155.0,0.977,Washington Nationals,Nationals Park,1817226.0,99.0,101.0,WSN,MON,WAS
2010,NL,WAS,WSN,E,5,162,81.0,69,93,N,N,N,N,655,5418.0,1355.0,250.0,31.0,149.0,503.0,1220.0,110.0,41.0,60.0,47.0,742.0,658.0,4.13,2.0,5.0,37.0,4305.0,1469.0,151.0,512.0,1068.0,127.0,148.0,0.979,Washington Nationals,Nationals Park,1828066.0,99.0,100.0,WSN,MON,WAS
2011,NL,WAS,WSN,E,3,161,80.0,80,81,N,N,N,N,624,5441.0,1319.0,257.0,22.0,154.0,470.0,1323.0,106.0,38.0,65.0,32.0,643.0,577.0,3.58,3.0,10.0,49.0,4348.0,1403.0,129.0,477.0,1049.0,104.0,145.0,0.983,Washington Nationals,Nationals Park,1940478.0,100.0,100.0,WSN,MON,WAS
2012,NL,WAS,WSN,E,1,162,81.0,98,64,Y,N,N,N,731,5615.0,1468.0,301.0,25.0,194.0,479.0,1325.0,105.0,35.0,41.0,36.0,594.0,543.0,3.33,3.0,9.0,51.0,4405.0,1296.0,129.0,497.0,1325.0,94.0,134.0,0.985,Washington Nationals,Nationals Park,2370794.0,99.0,101.0,WSN,MON,WAS
2013,NL,WAS,WSN,E,2,162,81.0,86,76,N,N,N,N,656,5436.0,1365.0,259.0,27.0,161.0,464.0,1192.0,88.0,28.0,40.0,39.0,626.0,576.0,3.59,6.0,13.0,47.0,4337.0,1367.0,142.0,405.0,1236.0,107.0,146.0,0.982,Washington Nationals,Nationals Park,2652422.0,102.0,101.0,WSN,MON,WAS
2014,NL,WAS,WSN,E,1,162,81.0,96,66,Y,N,N,N,686,5542.0,1403.0,265.0,27.0,152.0,517.0,1304.0,101.0,23.0,56.0,41.0,555.0,495.0,3.03,5.0,19.0,45.0,4412.0,1351.0,110.0,352.0,1288.0,100.0,139.0,0.984,Washington Nationals,Nationals Park,2579389.0,104.0,102.0,WSN,MON,WAS
2015,NL,WAS,WSN,E,2,162,81.0,83,79,N,N,N,N,703,5428.0,1363.0,265.0,13.0,177.0,539.0,1344.0,57.0,23.0,44.0,51.0,635.0,577.0,3.62,4.0,13.0,41.0,4304.0,1366.0,145.0,364.0,1342.0,90.0,125.0,0.985,Washington Nationals,Nationals Park,2619843.0,102.0,99.0,WSN,MON,WAS
2016,NL,WAS,WSN,E,1,162,81.0,95,67,Y,N,N,N,763,5490.0,,,,,,,,,,,,612.0,,,,,,,,,,,,,Washington Nationals,Nationals Park,2481938.0,,,WSN,MON,WAS
2017,NL,WAS,WSN,E,1,162,81.0,97,65,Y,N,N,N,819,5553.0,,,,,,,,,,,,672.0,,,,,,,,,,,,,Washington Nationals,Nationals Park,2524980.0,,,WSN,MON,WAS
2018,NL,WAS,WSN,E,2,162,81.0,82,80,N,N,N,N,771,5517.0,,,,,,,,,,,,682.0,,,,,,,,,,,,,Washington Nationals,Nationals Park,2529604.0,,,WSN,MON,WAS
2019,NL,WAS,WSN,E,2,162,81.0,93,69,N,Y,Y,Y,873,5512.0,,,,,,,,,,,,724.0,,,,,,,,,,,,,Washington Nationals,Nationals Park,2259781.0,,,WSN,MON,WAS
2021,NL,WAS,WSN,E,5,162,81.0,65,97,N,N,N,N,724,5385.0,,,,,,,,,,,,820.0,,,,,,,,,,,,,Washington Nationals,Nationals Park,1465545.0,,,WSN,MON,WAS
2022,NL,WAS,WSN,E,5,162,81.0,55,107,N,N,N,N,603,5434.0,,,,,,,,,,,,855.0,,,,,,,,,,,,,Washington Nationals,Nationals Park,2026401.0,,,WSN,MON,WAS
