0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
,,,,,,,,,,,,,,,,,
2014,CLE,,,,,,,,,,,,,,,,
2015,CLE,,,,,,,,,,,,,,,,
2016,CLE,,,,,,,,,,,,,,,,
2019,MIN,,,,,,,,,,,,,,,,
2019,DET,,,,,,,,,,,,,,,,
Career,,,,,,,,,,,,,,,,,
Season Averages,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
6,0,0,0,.000,-0.2,9.00,1.43,7.0,4,1,4.0,9,7,7,0,0,0
28,0,2,0,1.000,0.3,3.78,1.50,33.1,23,13,1.8,37,15,14,1,0,0
19,0,0,0,.000,-0.7,9.82,1.85,18.1,17,7,2.4,27,22,20,0,0,0
2,0,0,0,.000,-0.1,16.88,2.63,2.2,5,3,1.7,4,5,5,0,0,0
13,0,0,0,.000,0.1,5.14,1.71,14.0,9,10,0.9,14,8,8,0,0,0
68,0,2,0,1.000,--,6.45,1.66,75.1,58,34,1.7,91,57,54,1,0,0
14,0,0,0,1.000,-,6.45,1.66,15,12,7,1.7,18,11,11,0,0,0
,,,,,,,,,,,,,,,,,
2014,CLE,,,,,,,,,,,,,,,,
2015,CLE,,,,,,,,,,,,,,,,
2016,CLE,,,,,,,,,,,,,,,,
2019,MIN,,,,,,,,,,,,,,,,
2019,DET,,,,,,,,,,,,,,,,
Career,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
100,30,100/30,.310,.333,.517,.851,3,0,1,15,6,0,0,0,0,,
528,149,528/149,.276,.340,.425,.766,10,2,2,57,18,0,2,0,0,,
317,88,317/88,.333,.386,.679,1.065,9,2,5,55,21,0,0,0,1,,
74,15,74/15,.333,.467,.833,1.300,0,0,2,10,5,0,0,0,0,,
244,65,244/65,.259,.369,.463,.832,5,0,2,25,9,0,0,1,1,,
1263,347,1263/347,.294,.362,.523,.885,27,4,12,162,59,0,2,1,2,,
,,,,,,,,,,,,,,,,,
2014,CLE,,,,,,,,,,,,,,,,
2015,CLE,,,,,,,,,,,,,,,,
2016,CLE,,,,,,,,,,,,,,,,
2019,MIN,,,,,,,,,,,,,,,,
2019,DET,,,,,,,,,,,,,,,,
Career,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
0.0,14.3,5.1,0,0,0,0.0,14,11,1.3,2,0,0,0,0,0,0.0,
0.0,15.8,6.2,0,0,0,0.0,54,59,0.9,21,5,1,0,1,0,0.0,
0.0,17.3,8.3,0,0,0,0.0,29,35,0.8,9,4,0,0,1,0,0.0,
0.0,27.8,16.9,0,0,0,0.0,3,4,0.8,0,0,0,0,0,0,0.0,
0.0,17.4,5.8,0,0,0,0.0,19,27,0.7,4,2,0,0,1,0,0.0,
0.0,16.8,6.9,0,0,0,0.0,119,136,0.9,36,11,1,0,3,0,0.0,
