0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
,,,,,,,,,,,,,,,,,
2020,LAA,,,,,,,,,,,,,,,,
2021,LAA,,,,,,,,,,,,,,,,
2022,LAA,,,,,,,,,,,,,,,,
2023,LAA,,,,,,,,,,,,,,,,
2024,LAA,,,,,,,,,,,,,,,,
Career,,,,,,,,,,,,,,,,,
Season Averages,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
38,124,9,20,4,0,3,7,7,1,55,0,1,.161,.212,.266,.478,-1.5
35,130,17,32,5,2,4,26,8,1,32,2,1,.246,.295,.408,.703,0.3
88,268,22,60,12,2,8,27,11,4,107,4,2,.224,.264,.373,.637,-0.5
17,58,7,12,3,1,3,6,4,0,25,1,0,.207,.258,.448,.706,0.3
16,32,7,9,0,1,2,5,1,1,8,5,2,.281,.314,.531,.846,0.2
194,612,62,133,24,6,20,71,31,7,227,13,6,.217,.262,.374,.636,--
39,122,12,27,5,1,4,14,6,1,45,3,1,.217,.262,.374,.636,-
,,,,,,,,,,,,,,,,,
2020,LAA,,,,,,,,,,,,,,,,
2021,LAA,,,,,,,,,,,,,,,,
2022,LAA,,,,,,,,,,,,,,,,
2023,LAA,,,,,,,,,,,,,,,,
2024,LAA,,,,,,,,,,,,,,,,
Career,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
132,547,4.14,7,33,0,1,3,0,0,0,1,0.00,,,,,
140,569,4.06,11,53,0,1,3,1,0,2,1,0.67,,,,,
285,1176,4.13,22,100,0,4,6,0,1,4,2,0.67,,,,,
62,261,4.21,7,26,0,0,1,0,0,1,0,1.00,,,,,
35,139,3.97,3,17,0,1,1,0,1,5,2,0.71,,,,,
654,2692,4.12,50,229,0,7,14,1,2,13,6,0.68,,,,,
,,,,,,,,,,,,,,,,,
2020,LAA,,,,,,,,,,,,,,,,
2021,LAA,,,,,,,,,,,,,,,,
2022,LAA,,,,,,,,,,,,,,,,
2023,LAA,,,,,,,,,,,,,,,,
2024,LAA,,,,,,,,,,,,,,,,
Career,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
-1.5,-1.2,4.4,1.1,.105,.153,41.3,.053,0.13,30,39,0.8,,,,,,
0.3,0.2,15.0,3.9,.162,.231,32.5,.057,0.25,47,52,0.9,,,,,,
-0.5,-0.4,24.3,3.0,.149,.198,33.5,.039,0.10,66,96,0.7,,,,,,
0.3,0.0,6.7,3.9,.241,.328,19.3,.065,0.16,16,17,0.9,,,,,,
0.2,0.2,5.3,5.3,.250,.375,16.0,.029,0.13,9,16,0.6,,,,,,
--,--,55.8,3.0,.157,.219,30.6,.047,0.14,168,220,0.8,,,,,,
,,,,,,,,,,,,,,,,,
Texas,12,11,.522,-,W1,,,,,,,,,,,,
Seattle,11,11,.500,0.5,W1,,,,,,,,,,,,
Oakland,9,14,.391,3,W1,,,,,,,,,,,,
Los Angeles,9,14,.391,3,L5,,,,,,,,,,,,
Houston,7,16,.304,5,L2,,,,,,,,,,,,
