0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
,,,,,,,,,,,,,,,,,
2019,MIN,,,,,,,,,,,,,,,,
2020,MIN,,,,,,,,,,,,,,,,
2021,MIN,,,,,,,,,,,,,,,,
2022,MIN,,,,,,,,,,,,,,,,
2023,MIN,,,,,,,,,,,,,,,,
2024,MIN,,,,,,,,,,,,,,,,
Career,,,,,,,,,,,,,,,,,
Season Averages,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
2,0,0,0,.000,0.1,0.00,1.20,1.2,1,1,1.0,1,0,0,0,0,0
16,0,2,1,.667,0.4,2.63,1.21,24.0,27,8,3.4,21,8,7,0,0,1
59,0,3,6,.333,0.3,3.92,0.97,59.2,61,13,4.7,45,29,26,1,11,4
2,0,0,0,.000,0.1,0.00,1.71,2.1,2,2,1.0,2,0,0,0,0,0
11,0,0,1,.000,-0.3,6.23,1.38,17.1,16,10,1.6,14,13,12,0,2,1
6,0,1,0,1.000,0.6,0.00,0.72,8.1,9,3,3.0,3,1,0,0,1,0
96,0,6,8,.429,--,3.57,1.09,113.1,116,37,3.1,86,51,45,1,14,6
16,0,1,1,.429,-,3.57,1.09,18.8,19,6,3.1,14,8,8,0,2,1
,,,,,,,,,,,,,,,,,
2019,MIN,,,,,,,,,,,,,,,,
2020,MIN,,,,,,,,,,,,,,,,
2021,MIN,,,,,,,,,,,,,,,,
2022,MIN,,,,,,,,,,,,,,,,
2023,MIN,,,,,,,,,,,,,,,,
2024,MIN,,,,,,,,,,,,,,,,
Career,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
29,7,29/7,.167,.286,.167,.452,0,0,0,1,2,0,0,0,0,,
403,94,403/94,.244,.309,.372,.681,2,0,3,32,0,0,0,0,0,,
869,229,869/229,.214,.263,.381,.644,5,0,10,80,28,2,1,3,1,,
40,10,40/10,.250,.400,.250,.650,0,0,0,2,0,0,0,0,0,,
319,75,319/75,.222,.333,.508,.841,3,0,5,32,12,1,0,1,0,,
114,29,114/29,.120,.214,.120,.334,0,0,0,3,1,0,0,0,1,,
1774,444,1774/444,.216,.285,.377,.662,10,0,18,150,43,3,1,4,2,,
,,,,,,,,,,,,,,,,,
2019,MIN,,,,,,,,,,,,,,,,
2020,MIN,,,,,,,,,,,,,,,,
2021,MIN,,,,,,,,,,,,,,,,
2022,MIN,,,,,,,,,,,,,,,,
2023,MIN,,,,,,,,,,,,,,,,
2024,MIN,,,,,,,,,,,,,,,,
Career,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
0.0,17.4,5.4,0,0,0,0.0,0,5,0.0,3,2,0,0,0,0,0.0,
0.0,16.8,10.1,0,0,0,0.0,17,21,0.8,0,2,1,0,1,2,0.0,
0.0,14.6,9.2,0,0,0,0.0,66,87,0.8,21,6,1,1,4,0,0.0,
0.0,17.1,7.7,0,0,0,0.0,3,3,1.0,1,0,0,0,0,0,0.0,
0.0,18.4,8.3,0,0,0,0.0,18,30,0.6,1,0,0,0,3,0,0.0,
0.0,13.7,9.7,0,0,0,0.0,4,12,0.3,1,0,0,0,3,2,0.0,
0.0,15.7,9.2,0,0,0,0.0,108,158,0.7,27,10,2,1,11,4,0.0,
