0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
,,,,,,,,,,,,,,,,,
2011,HOU,,,,,,,,,,,,,,,,
2012,HOU,,,,,,,,,,,,,,,,
2013,HOU,,,,,,,,,,,,,,,,
2014,HOU,,,,,,,,,,,,,,,,
2015,HOU,,,,,,,,,,,,,,,,
2016,HOU,,,,,,,,,,,,,,,,
2017,HOU,,,,,,,,,,,,,,,,
2018,HOU,,,,,,,,,,,,,,,,
2019,HOU,,,,,,,,,,,,,,,,
2020,HOU,,,,,,,,,,,,,,,,
2021,HOU,,,,,,,,,,,,,,,,
2022,HOU,,,,,,,,,,,,,,,,
2023,HOU,,,,,,,,,,,,,,,,
2024,HOU,,,,,,,,,,,,,,,,
Career,,,,,,,,,,,,,,,,,
Season Averages,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
57,221,26,61,10,1,2,12,5,2,29,7,3,.276,.297,.357,.654,0.6
147,576,80,167,34,4,7,37,40,6,74,33,11,.290,.340,.399,.740,1.3
152,626,64,177,31,2,5,52,32,2,85,35,13,.283,.316,.363,.678,1.1
158,660,85,225,47,3,7,59,36,5,53,56,9,.341,.377,.453,.830,6.0
154,638,86,200,40,4,15,66,33,9,67,38,13,.313,.353,.459,.812,4.5
161,640,108,216,42,5,24,96,60,7,70,30,10,.338,.396,.531,.928,7.7
153,590,112,204,39,4,24,81,58,9,84,32,6,.346,.410,.547,.957,8.3
137,534,84,169,29,2,13,61,55,6,79,17,4,.316,.386,.451,.837,5.2
124,500,89,149,27,3,31,74,41,3,82,6,5,.298,.353,.550,.903,3.7
48,192,32,42,9,0,5,18,17,1,39,2,3,.219,.286,.344,.629,-0.4
146,602,117,167,32,1,31,83,66,4,91,5,3,.277,.350,.488,.838,4.4
141,527,103,158,39,0,28,57,66,10,87,18,1,.300,.387,.533,.921,5.1
90,360,76,112,21,2,17,51,44,5,71,14,2,.311,.393,.522,.915,2.8
23,94,16,33,8,0,5,7,10,1,16,3,1,.351,.419,.596,1.015,1.3
1691,6760,1078,2080,408,31,214,754,563,70,927,296,84,.308,.365,.472,.837,--
121,483,77,149,29,2,15,54,40,5,66,21,6,.308,.365,.472,.837,-
,,,,,,,,,,,,,,,,,
2015,HOU,,,,,,,,,,,,,,,,
2017,HOU,,,,,,,,,,,,,,,,
2018,HOU,,,,,,,,,,,,,,,,
2019,HOU,,,,,,,,,,,,,,,,
2020,HOU,,,,,,,,,,,,,,,,
2021,HOU,,,,,,,,,,,,,,,,
2022,HOU,,,,,,,,,,,,,,,,
2023,HOU,,,,,,,,,,,,,,,,
Career,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
6,26,2,4,0,0,0,2,1,0,3,1,1,.154,.185,.154,.339,
18,71,14,22,2,0,7,14,9,0,14,2,0,.310,.388,.634,1.021,
8,34,8,9,2,0,1,4,3,0,6,0,0,.265,.324,.412,.736,
18,76,14,25,6,0,5,9,5,0,7,2,1,.329,.366,.605,.971,
13,48,11,18,2,0,5,11,11,1,8,0,2,.375,.500,.729,1.229,
16,67,21,14,3,0,5,9,8,1,17,2,0,.209,.299,.478,.776,
13,58,8,11,3,0,0,0,4,0,14,1,1,.190,.242,.241,.483,
11,49,11,14,3,0,4,6,2,0,4,1,0,.286,.314,.592,.906,
103,429,89,117,21,0,27,55,43,2,73,9,5,.273,.340,.510,.851,
,,,,,,,,,,,,,,,,,
2011,HOU,,,,,,,,,,,,,,,,
2012,HOU,,,,,,,,,,,,,,,,
2013,HOU,,,,,,,,,,,,,,,,
2014,HOU,,,,,,,,,,,,,,,,
2015,HOU,,,,,,,,,,,,,,,,
2016,HOU,,,,,,,,,,,,,,,,
2017,HOU,,,,,,,,,,,,,,,,
2018,HOU,,,,,,,,,,,,,,,,
2019,HOU,,,,,,,,,,,,,,,,
2020,HOU,,,,,,,,,,,,,,,,
2021,HOU,,,,,,,,,,,,,,,,
2022,HOU,,,,,,,,,,,,,,,,
2023,HOU,,,,,,,,,,,,,,,,
2024,HOU,,,,,,,,,,,,,,,,
Career,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
234,728,3.11,13,79,0,2,5,5,1,7,3,0.70,,,,,
630,2131,3.38,45,230,0,6,8,4,4,33,11,0.75,,,,,
672,2206,3.28,38,227,5,2,24,4,8,35,13,0.73,,,,,
