0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
,,,,,,,,,,,,,,,,,
2017,TB,,,,,,,,,,,,,,,,
2018,TB,,,,,,,,,,,,,,,,
2019,TB,,,,,,,,,,,,,,,,
2020,TB,,,,,,,,,,,,,,,,
2021,PHI,,,,,,,,,,,,,,,,
2022,PHI,,,,,,,,,,,,,,,,
2023,PHI,,,,,,,,,,,,,,,,
2024,PHI,,,,,,,,,,,,,,,,
Career,,,,,,,,,,,,,,,,,
Season Averages,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
35,0,0,3,.000,0.3,3.64,1.11,29.2,29,9,3.2,24,12,12,0,7,0
70,0,1,6,.143,1.6,2.39,1.11,64.0,80,29,2.8,42,21,17,8,31,4
35,1,1,6,.143,-0.3,4.80,1.87,30.0,39,27,1.4,29,18,16,7,8,2
9,0,0,0,.000,-0.2,6.00,1.67,9.0,13,6,2.2,9,7,6,0,2,0
64,0,7,1,.875,0.3,4.20,1.60,55.2,68,47,1.4,42,30,26,5,16,3
59,0,4,2,.667,1.0,3.18,1.22,51.0,81,24,3.4,38,21,18,2,22,2
42,0,0,2,.000,1.1,1.74,1.16,41.1,64,18,3.6,30,15,8,10,11,2
10,0,0,1,.000,-0.1,5.19,1.15,8.2,9,6,1.5,4,5,5,4,1,0
324,1,13,21,.382,--,3.36,1.33,289.1,383,166,2.3,218,129,108,36,98,13
40,0,2,3,.382,-,3.36,1.33,36.1,48,21,2.3,27,16,14,4,12,2
,,,,,,,,,,,,,,,,,
2020,TB,,,,,,,,,,,,,,,,
2022,PHI,,,,,,,,,,,,,,,,
2023,PHI,,,,,,,,,,,,,,,,
Career,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
2,0,0,0,.000,0.0,0.00,2.40,1.2,4,3,1.3,1,0,0,0,0,0
12,0,1,0,1.000,0.0,5.56,1.24,11.1,14,5,2.8,9,7,7,1,3,1
8,0,0,0,.000,0.0,1.13,1.25,8.0,6,3,2.0,7,1,1,0,5,0
22,0,1,0,1.000,0.0,3.43,1.33,21.0,24,11,2.2,17,8,8,1,8,1
,,,,,,,,,,,,,,,,,
2017,TB,,,,,,,,,,,,,,,,
2018,TB,,,,,,,,,,,,,,,,
2019,TB,,,,,,,,,,,,,,,,
2020,TB,,,,,,,,,,,,,,,,
2021,PHI,,,,,,,,,,,,,,,,
2022,PHI,,,,,,,,,,,,,,,,
2023,PHI,,,,,,,,,,,,,,,,
2024,PHI,,,,,,,,,,,,,,,,
Career,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
463,123,463/123,.216,.273,.297,.570,4,1,1,33,9,0,2,1,1,,
1038,263,1038/263,.183,.276,.249,.525,10,1,1,57,22,1,2,2,4,,
586,146,586/146,.254,.392,.360,.751,4,1,2,41,15,0,3,2,3,,
194,45,194/45,.250,.378,.472,.850,2,0,2,17,7,2,0,1,0,,
1045,251,1045/251,.213,.382,.325,.707,7,0,5,64,23,7,0,0,5,,
881,214,881/214,.203,.296,.289,.585,8,1,2,54,19,1,1,1,4,,
742,172,742/172,.196,.281,.307,.588,8,0,3,47,9,0,1,0,1,,
157,35,157/35,.138,.286,.172,.458,1,0,0,5,2,0,0,0,0,,
5106,1249,5106/1249,.206,.319,.301,.620,44,4,16,318,106,11,9,7,18,,
,,,,,,,,,,,,,,,,,
2017,TB,,,,,,,,,,,,,,,,
2018,TB,,,,,,,,,,,,,,,,
2019,TB,,,,,,,,,,,,,,,,
2020,TB,,,,,,,,,,,,,,,,
2021,PHI,,,,,,,,,,,,,,,,
2022,PHI,,,,,,,,,,,,,,,,
2023,PHI,,,,,,,,,,,,,,,,
2024,PHI,,,,,,,,,,,,,,,,
Career,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
0.0,15.6,8.8,0,0,0,0.0,47,38,1.2,18,4,2,0,2,0,0.0,
0.0,16.2,11.3,0,0,0,0.0,87,66,1.3,50,12,2,0,2,0,0.0,
24.0,19.5,11.7,0,0,0,42.0,40,40,1.0,8,1,8,0,1,0,1.0,
0.0,21.6,13.0,0,0,0,0.0,10,14,0.7,2,2,3,0,1,0,0.0,
0.0,18.8,11.0,0,0,0,0.0,72,57,1.3,32,6,9,1,4,2,0.0,
0.0,17.3,14.3,0,0,0,0.0,62,46,1.3,25,7,5,0,6,1,0.0,
0.0,18.0,13.9,0,0,0,0.0,50,40,1.3,0,0,3,0,3,1,0.0,
0.0,18.1,9.3,0,0,0,0.0,9,11,0.8,4,0,0,0,2,0,0.0,
487.0,17.6,11.9,0,0,0,0.0,377,312,1.2,139,32,32,1,21,4,1.0,
,,,,,,,,,,,,,,,,,
Atlanta,15,6,.714,-,W1,,,,,,,,,,,,
Philadelphia,15,8,.652,1,W7,,,,,,,,,,,,
NY Mets,12,10,.545,3.5,L2,,,,,,,,,,,,
Washington,10,11,.476,5,W2,,,,,,,,,,,,
Miami,6,18,.250,10.5,L1,,,,,,,,,,,,
