0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
,,,,,,,,,,,,,,,,,
2020,BAL,,,,,,,,,,,,,,,,
2021,BAL,,,,,,,,,,,,,,,,
2022,BAL,,,,,,,,,,,,,,,,
2023,BAL,,,,,,,,,,,,,,,,
2024,BAL,,,,,,,,,,,,,,,,
Career,,,,,,,,,,,,,,,,,
Season Averages,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
8,6,1,2,.333,0.2,4.56,1.44,25.2,35,10,3.5,27,17,13,0,0,0
24,17,2,10,.167,-0.4,6.63,1.58,95.0,82,40,2.1,110,70,70,0,0,0
45,1,3,3,.500,0.8,3.20,1.09,81.2,77,20,3.9,69,35,29,2,3,0
24,1,2,2,.500,-0.8,6.85,1.77,23.2,27,7,3.9,35,22,18,0,3,0
10,0,0,0,.000,0.0,4.66,1.14,9.2,13,2,6.5,9,5,5,0,3,0
111,25,8,17,.320,--,5.16,1.40,235.2,234,79,3.0,250,149,135,2,9,0
22,5,2,3,.320,-,5.16,1.40,47,47,16,3.0,50,30,27,0,2,0
,,,,,,,,,,,,,,,,,
2020,BAL,,,,,,,,,,,,,,,,
2021,BAL,,,,,,,,,,,,,,,,
2022,BAL,,,,,,,,,,,,,,,,
2023,BAL,,,,,,,,,,,,,,,,
2024,BAL,,,,,,,,,,,,,,,,
Career,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
500,116,500/116,.262,.328,.427,.755,8,0,3,44,0,1,0,2,0,,
1768,427,1768/427,.290,.357,.491,.848,21,2,17,186,61,2,1,5,1,,
1235,329,1235/329,.227,.275,.375,.650,15,0,10,114,36,1,1,2,0,,
452,112,452/112,.337,.375,.490,.865,6,2,2,51,17,0,0,1,2,,
157,40,157/40,.237,.275,.342,.617,4,0,0,13,5,0,0,0,0,,
4112,1024,4112/1024,.269,.326,.440,.766,54,4,32,408,119,4,2,10,3,,
,,,,,,,,,,,,,,,,,
2020,BAL,,,,,,,,,,,,,,,,
2021,BAL,,,,,,,,,,,,,,,,
2022,BAL,,,,,,,,,,,,,,,,
2023,BAL,,,,,,,,,,,,,,,,
2024,BAL,,,,,,,,,,,,,,,,
Career,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
0.0,19.5,12.3,0,0,0,0.0,14,29,0.5,0,0,0,1,0,0,26.0,
85.8,18.6,7.8,2,0,0,42.0,113,190,0.6,4,2,5,1,0,2,65.0,
42.0,15.1,8.5,0,0,0,48.0,115,115,1.0,27,10,1,0,0,2,4.0,
25.0,19.1,10.3,0,0,0,0.0,28,50,0.6,11,5,2,0,0,2,8.0,
0.0,16.2,12.1,0,0,0,0.0,11,14,0.8,3,2,0,0,0,0,0.0,
61.0,17.4,8.9,2,0,0,0.0,281,398,0.7,45,19,8,2,0,6,103.0,
,,,,,,,,,,,,,,,,,
Baltimore,15,7,.682,-,W3,,,,,,,,,,,,
NY Yankees,15,8,.652,0.5,L1,,,,,,,,,,,,
Toronto,13,10,.565,2.5,W1,,,,,,,,,,,,
Boston,13,10,.565,2.5,W3,,,,,,,,,,,,
Tampa Bay,12,12,.500,4,L2,,,,,,,,,,,,
