0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
,,,,,,,,,,,,,,,,,
2019,SD,,,,,,,,,,,,,,,,
2019,CLE,,,,,,,,,,,,,,,,
2020,CLE,,,,,,,,,,,,,,,,
2021,CLE,,,,,,,,,,,,,,,,
2022,CLE,,,,,,,,,,,,,,,,
2022,BAL,,,,,,,,,,,,,,,,
2024,ARI,,,,,,,,,,,,,,,,
Career,,,,,,,,,,,,,,,,,
Season Averages,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
8,4,2,3,.400,-0.5,6.75,1.82,25.1,14,13,1.1,33,20,19,0,0,0
1,0,0,0,.000,0.1,0.00,1.29,2.1,3,0,0.0,3,0,0,0,0,0
3,0,0,0,.000,0.1,3.38,1.78,10.2,7,7,1.0,12,4,4,0,0,0
14,11,2,7,.222,-0.7,6.26,1.49,50.1,37,17,2.2,58,39,35,0,0,0
4,0,1,0,1.000,-0.1,4.50,2.00,6.0,6,3,2.0,9,3,3,0,0,0
3,0,0,0,.000,-0.1,10.80,3.00,1.2,1,2,0.5,3,2,2,0,0,0
1,0,0,1,.000,0.2,1.93,0.86,4.2,3,1,3.0,3,1,1,0,0,0
34,15,5,11,.313,--,5.70,1.62,101.0,71,43,1.7,121,69,64,0,0,0
5,2,1,2,.313,-,5.70,1.62,14.4,10,6,1.7,17,10,9,0,0,0
,,,,,,,,,,,,,,,,,
2019,SD,,,,,,,,,,,,,,,,
2019,CLE,,,,,,,,,,,,,,,,
2020,CLE,,,,,,,,,,,,,,,,
2021,CLE,,,,,,,,,,,,,,,,
2022,CLE,,,,,,,,,,,,,,,,
2022,BAL,,,,,,,,,,,,,,,,
2024,ARI,,,,,,,,,,,,,,,,
Career,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
410,118,410/118,.330,.414,.560,.974,9,1,4,56,20,2,2,1,0,,
40,9,40/9,.333,.333,.444,.778,1,0,0,4,0,0,0,0,0,,
186,49,186/49,.293,.408,.439,.847,3,0,1,18,3,1,0,0,0,,
874,222,874/222,.291,.356,.518,.873,9,0,12,103,31,4,0,2,0,,
125,30,125/30,.346,.433,.500,.933,2,1,0,13,5,1,0,0,0,,
39,10,39/10,.375,.500,.625,1.125,0,1,0,5,2,0,0,0,0,,
58,18,58/18,.188,.222,.250,.472,1,0,0,4,1,0,0,1,0,,
1732,456,1732/456,.303,.379,.509,.888,25,3,17,203,62,8,2,4,0,,
,,,,,,,,,,,,,,,,,
2019,SD,,,,,,,,,,,,,,,,
2019,CLE,,,,,,,,,,,,,,,,
2020,CLE,,,,,,,,,,,,,,,,
2021,CLE,,,,,,,,,,,,,,,,
2022,CLE,,,,,,,,,,,,,,,,
2022,BAL,,,,,,,,,,,,,,,,
2024,ARI,,,,,,,,,,,,,,,,
Career,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
80.3,16.2,5.0,2,0,0,40.5,48,41,1.2,0,0,0,0,0,0,21.0,
0.0,17.1,11.6,0,0,0,40.5,1,5,0.2,0,0,0,0,0,1,0.0,
0.0,17.4,5.9,0,0,0,0.0,16,18,0.9,1,0,1,0,1,0,0.0,
70.4,17.4,6.6,2,0,0,41.9,74,90,0.8,0,0,4,0,2,1,35.0,
0.0,20.8,9.0,0,0,0,0.0,6,14,0.4,3,2,0,0,0,0,0.0,
0.0,23.4,5.4,0,0,0,0.0,6,1,6.0,1,0,0,0,0,0,0.0,
0.0,12.4,5.8,0,0,0,0.0,9,5,1.8,0,0,0,0,0,0,0.0,
73.0,17.1,6.3,4,0,0,0.0,160,174,0.9,5,2,5,0,3,2,56.0,
,,,,,,,,,,,,,,,,,
Los Angeles,13,11,.542,-,W1,,,,,,,,,,,,
San Diego,13,12,.520,0.5,W2,,,,,,,,,,,,
Arizona,11,13,.458,2,L1,,,,,,,,,,,,
San Francisco,11,13,.458,2,W1,,,,,,,,,,,,
Colorado,5,18,.217,7.5,L2,,,,,,,,,,,,
