PlayerName,ESPNID
cj-abrams,42402
bryan-abreu,41208
jose-abreu,33095
ronald-acuna-jr,36185
willy-adames,33675
austin-adams,31660
jo-adell,40854
nick-ahmed,32355
keegan-akin,36724
ozzie-albies,33783
jorge-alcala,41031
tyler-alexander,40360
logan-allen,35024
yency-almonte,36064
pete-alonso,37498
jose-altuve,31662
jose-alvarado,36063
yordan-alvarez,36018
adbert-alzolay,39802
justin-anderson,37611
nick-anderson,38102
chase-anderson,32690
tim-anderson,33184
tyler-anderson,32151
matt-andriese,32549
tejay-antone,42355
orlando-arcia,32530
nolan-arenado,31261
shawn-armstrong,33499
randy-arozarena,36488
luis-arraez,39572
harrison-bader,35062
scott-barlow,32156
austin-barnes,32856
matt-barnes,32147
tucker-barnhart,31173
joey-bart,41168
chris-bassitt,33148
jake-bauers,35013
david-bednar,38303
tyler-beede,33798
jalen-beeks,36723
josh-bell,32517
cody-bellinger,33912
andrew-benintendi,34986
jose-berrios,32811
jon-berti,32273
christian-bethancourt,31758
mookie-betts,33039
bo-bichette,38904
shane-bieber,40912
brandon-bielak,41260
cavan-biggio,37639
paul-blackburn,32776
charlie-blackmon,31084
jj-bleday,42410
xander-bogaerts,31606
alec-bohm,41169
ryan-borucki,36192
matt-bowman,33685
ryan-brasier,30189
john-brebbia,39085
alex-bregman,34886
seth-brown,35676
vidal-brujan,40462
kris-bryant,33172
aaron-bummer,36131
nick-burdi,33728
jake-burger,39882
corbin-burnes,39878
byron-buxton,32655
javier-baez,32127
edward-cabrera,40944
genesis-cabrera,41061
luis-campusano,40521
jeimer-candelario,32531
mark-canha,31670
griffin-canning,41065
victor-caratini,33229
matt-carpenter,31015
carlos-carrasco,28968
triston-casas,41180
nick-castellanos,31187
luis-castillo,35124
miguel-castro,33820
willi-castro,34230
jake-cave,33417
dylan-cease,34943
andrew-chafin,32810
aroldis-chapman,30442
matt-chapman,33857
jesse-chavez,29220
jazz-chisholm-jr,41433
adam-cimber,35780
jose-cisnero,31673
aaron-civale,40934
emmanuel-clase,41743
michael-conforto,33711
william-contreras,39895
willson-contreras,32532
garrett-cooper,33398
patrick-corbin,31313
carlos-correa,32653
nestor-cortes,36480
brandon-crawford,30469
garrett-crochet,4297835
jake-cronenworth,36364
oneil-cruz,39712
bobby-dalbec,39382
yu-darvish,32055
enyel-de-los-santos,35026
paul-dejong,35185
chris-devenski,32511
rafael-devers,33859
jake-diekman,32178
seranthony-dominguez,37793
brandon-drury,32269
