0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
,,,,,,,,,,,,,,,,,
2014,ARI,,,,,,,,,,,,,,,,
2015,ARI,,,,,,,,,,,,,,,,
2016,ARI,,,,,,,,,,,,,,,,
2017,ARI,,,,,,,,,,,,,,,,
2018,ARI,,,,,,,,,,,,,,,,
2019,ARI,,,,,,,,,,,,,,,,
2020,ARI,,,,,,,,,,,,,,,,
2021,ARI,,,,,,,,,,,,,,,,
2022,ARI,,,,,,,,,,,,,,,,
2023,ARI,,,,,,,,,,,,,,,,
2024,SF,,,,,,,,,,,,,,,,
Career,,,,,,,,,,,,,,,,,
Season Averages,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
25,70,9,14,2,0,1,4,3,0,10,0,1,.200,.233,.271,.504,0.0
134,421,49,95,17,6,9,34,29,1,81,4,5,.226,.275,.359,.634,2.5
90,284,26,62,9,1,4,20,15,4,58,5,2,.218,.265,.299,.564,0.2
53,167,24,42,8,1,6,21,10,1,39,3,4,.251,.298,.419,.717,0.2
153,516,61,121,33,5,16,70,40,2,109,5,4,.234,.290,.411,.700,3.2
159,556,79,141,33,6,19,82,52,4,113,8,2,.254,.316,.437,.753,0.0
57,199,29,53,10,1,5,29,18,0,46,4,0,.266,.327,.402,.729,1.2
129,434,46,96,30,3,5,38,34,2,104,7,2,.221,.280,.339,.619,0.7
17,52,7,12,2,0,3,7,2,0,15,0,1,.231,.259,.442,.702,-0.1
71,198,14,42,10,1,2,17,12,0,52,5,1,.212,.257,.303,.560,-0.1
23,71,4,21,3,1,0,8,3,1,13,0,0,.296,.333,.366,.700,0.6
911,2968,348,699,157,25,70,330,218,15,640,41,22,.236,.289,.376,.665,--
83,270,32,64,14,2,6,30,20,1,58,4,2,.236,.289,.376,.665,-
,,,,,,,,,,,,,,,,,
2014,ARI,,,,,,,,,,,,,,,,
2015,ARI,,,,,,,,,,,,,,,,
2016,ARI,,,,,,,,,,,,,,,,
2017,ARI,,,,,,,,,,,,,,,,
2018,ARI,,,,,,,,,,,,,,,,
2019,ARI,,,,,,,,,,,,,,,,
2020,ARI,,,,,,,,,,,,,,,,
2021,ARI,,,,,,,,,,,,,,,,
2022,ARI,,,,,,,,,,,,,,,,
2023,ARI,,,,,,,,,,,,,,,,
2024,SF,,,,,,,,,,,,,,,,
Career,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
75,256,3.41,3,19,0,0,2,2,0,0,1,0.00,,,,,
459,1645,3.58,32,151,1,1,4,5,3,4,5,0.44,,,,,
308,1045,3.39,14,85,3,4,9,2,3,5,2,0.71,,,,,
178,625,3.51,15,70,3,1,6,0,0,3,4,0.43,,,,,
564,2124,3.77,54,212,2,2,15,1,5,5,4,0.56,,,,,
625,2362,3.78,58,243,2,4,15,1,12,8,2,0.80,,,,,
217,832,3.83,16,80,0,0,3,0,0,4,0,1.00,,,,,
473,1777,3.76,38,147,3,2,9,2,1,7,2,0.78,,,,,
54,211,3.91,5,23,0,0,2,0,0,0,1,0.00,,,,,
210,776,3.70,13,60,0,0,0,0,0,5,1,0.83,,,,,
76,263,3.46,4,26,0,1,2,1,0,0,0,0.00,,,,,
3239,11916,3.68,252,1116,14,15,67,14,24,41,22,0.65,,,,,
,,,,,,,,,,,,,,,,,
2014,ARI,,,,,,,,,,,,,,,,
2015,ARI,,,,,,,,,,,,,,,,
2016,ARI,,,,,,,,,,,,,,,,
2017,ARI,,,,,,,,,,,,,,,,
2018,ARI,,,,,,,,,,,,,,,,
2019,ARI,,,,,,,,,,,,,,,,
2020,ARI,,,,,,,,,,,,,,,,
2021,ARI,,,,,,,,,,,,,,,,
2022,ARI,,,,,,,,,,,,,,,,
2023,ARI,,,,,,,,,,,,,,,,
2024,SF,,,,,,,,,,,,,,,,
Career,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
0.0,-0.2,3.1,1.4,.071,.100,70.0,.040,0.30,27,35,0.8,,,,,,
2.5,0.3,40.9,3.2,.133,.200,46.8,.063,0.36,170,178,1.0,,,,,,
0.2,-1.2,20.0,2.3,.081,.144,71.0,.049,0.26,115,116,1.0,,,,,,
0.2,-0.2,18.1,3.6,.168,.222,27.8,.056,0.26,61,67,0.9,,,,,,
3.2,1.1,58.3,3.7,.176,.256,32.3,.071,0.37,172,241,0.7,,,,,,
0.0,0.0,77.0,4.7,.183,.288,29.3,.083,0.46,221,235,0.9,,,,,,
1.2,0.9,26.9,4.9,.136,.246,39.8,.083,0.39,79,74,1.1,,,,,,
0.7,0.3,40.0,3.1,.118,.207,86.8,.072,0.33,164,169,1.0,,,,,,
-0.1,0.3,4.9,3.1,.212,.231,17.3,.037,0.13,21,16,1.3,,,,,,
-0.1,-0.2,15.8,2.7,.091,.172,99.0,.057,0.23,63,83,0.8,,,,,,
0.6,0.3,8.2,4.2,.070,.113,0.0,.039,0.23,34,25,1.4,,,,,,
--,--,312.9,3.5,.140,.220,42.4,.067,0.34,906,1004,0.9,,,,,,
,,,,,,,,,,,,,,,,,
Los Angeles,13,11,.542,-,W1,,,,,,,,,,,,
San Diego,13,12,.520,0.5,W2,,,,,,,,,,,,
Arizona,11,13,.458,2,L1,,,,,,,,,,,,
San Francisco,11,13,.458,2,W1,,,,,,,,,,,,
Colorado,5,18,.217,7.5,L2,,,,,,,,,,,,
