0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
,,,,,,,,,,,,,,,,,
2017,ATL,,,,,,,,,,,,,,,,
2018,ATL,,,,,,,,,,,,,,,,
2019,ATL,,,,,,,,,,,,,,,,
2020,ATL,,,,,,,,,,,,,,,,
2021,ATL,,,,,,,,,,,,,,,,
2022,ATL,,,,,,,,,,,,,,,,
2023,ATL,,,,,,,,,,,,,,,,
2024,ATL,,,,,,,,,,,,,,,,
Career,,,,,,,,,,,,,,,,,
Season Averages,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
57,217,34,62,9,5,6,28,21,3,36,8,1,.286,.354,.456,.810,1.4
158,639,105,167,40,5,24,72,36,5,116,14,3,.261,.305,.452,.757,3.8
160,640,102,189,43,8,24,86,54,4,112,15,4,.295,.352,.500,.852,4.8
29,118,21,32,5,0,6,19,5,1,30,3,1,.271,.306,.466,.773,0.6
156,629,103,163,40,7,30,106,47,3,128,20,4,.259,.310,.488,.799,3.5
64,247,36,61,16,0,8,35,16,2,47,3,5,.247,.294,.409,.703,0.9
148,596,96,167,30,5,33,109,46,8,107,13,1,.280,.336,.513,.849,4.7
15,63,14,20,5,0,2,14,5,2,9,2,0,.317,.386,.492,.878,0.6
787,3149,511,861,188,30,133,469,230,28,585,78,19,.273,.326,.479,.805,--
98,394,64,108,24,4,17,59,29,4,73,10,2,.273,.326,.479,.805,-
,,,,,,,,,,,,,,,,,
2018,ATL,,,,,,,,,,,,,,,,
2019,ATL,,,,,,,,,,,,,,,,
2020,ATL,,,,,,,,,,,,,,,,
2021,ATL,,,,,,,,,,,,,,,,
2023,ATL,,,,,,,,,,,,,,,,
Career,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
4,15,1,3,0,0,0,0,0,0,1,0,0,.200,.200,.200,.400,
5,20,3,5,0,0,1,3,2,0,3,0,0,.250,.304,.400,.704,
12,47,8,13,2,0,2,4,4,0,9,2,0,.277,.327,.447,.774,
16,63,12,16,3,0,0,2,6,0,14,3,0,.254,.319,.302,.620,
4,15,0,4,0,0,0,1,2,0,3,0,1,.267,.353,.267,.620,
41,160,24,41,5,0,3,10,14,0,30,5,1,.256,.313,.344,.656,
,,,,,,,,,,,,,,,,,
2017,ATL,,,,,,,,,,,,,,,,
2018,ATL,,,,,,,,,,,,,,,,
2019,ATL,,,,,,,,,,,,,,,,
2020,ATL,,,,,,,,,,,,,,,,
2021,ATL,,,,,,,,,,,,,,,,
2022,ATL,,,,,,,,,,,,,,,,
2023,ATL,,,,,,,,,,,,,,,,
2024,ATL,,,,,,,,,,,,,,,,
Career,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
244,912,3.74,20,99,0,3,3,1,2,8,1,0.89,,,,,
684,2386,3.49,69,289,0,5,10,1,3,14,3,0.82,,,,,
702,2494,3.55,75,320,6,4,2,0,4,15,4,0.79,,,,,
124,444,3.58,11,55,0,1,0,0,0,3,1,0.75,,,,,
686,2615,3.81,77,307,2,3,4,0,7,20,4,0.83,,,,,
269,1027,3.82,24,101,0,2,0,0,4,3,5,0.38,,,,,
660,2563,3.88,68,306,2,8,9,0,8,13,1,0.93,,,,,
70,263,3.76,7,31,0,2,0,0,0,2,0,1.00,,,,,
3439,12704,3.69,351,1508,10,28,28,2,28,78,19,0.80,,,,,
,,,,,,,,,,,,,,,,,
2017,ATL,,,,,,,,,,,,,,,,
2018,ATL,,,,,,,,,,,,,,,,
2019,ATL,,,,,,,,,,,,,,,,
2020,ATL,,,,,,,,,,,,,,,,
2021,ATL,,,,,,,,,,,,,,,,
2022,ATL,,,,,,,,,,,,,,,,
2023,ATL,,,,,,,,,,,,,,,,
2024,ATL,,,,,,,,,,,,,,,,
Career,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
1.4,1.3,36.6,6.1,.171,.300,36.2,.086,0.58,76,108,0.7,,,,,,
3.8,3.1,88.3,4.9,.191,.264,26.6,.053,0.31,208,319,0.7,,,,,,
4.8,4.3,114.8,6.7,.205,.306,26.7,.077,0.48,202,330,0.6,,,,,,
0.6,0.7,17.2,5.3,.195,.254,19.7,.040,0.17,36,52,0.7,,,,,,
3.5,3.4,99.5,5.6,.229,.329,21.0,.069,0.37,160,348,0.5,,,,,,
0.9,1.0,30.0,4.1,.162,.219,30.9,.059,0.34,79,125,0.6,,,,,,
4.7,4.7,104.1,6.3,.233,.331,18.1,.070,0.43,183,314,0.6,,,,,,
0.6,0.8,12.5,7.8,.175,.286,31.5,.071,0.56,27,27,1.0,,,,,,
--,--,502.8,5.7,.205,.297,23.7,.067,0.39,811,1275,0.6,,,,,,
