0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
,,,,,,,,,,,,,,,,,
2019,NYM,,,,,,,,,,,,,,,,
2020,NYM,,,,,,,,,,,,,,,,
2021,NYM,,,,,,,,,,,,,,,,
2022,NYM,,,,,,,,,,,,,,,,
2023,NYM,,,,,,,,,,,,,,,,
2024,NYM,,,,,,,,,,,,,,,,
Career,,,,,,,,,,,,,,,,,
Season Averages,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
161,597,103,155,30,2,53,120,72,21,183,1,0,.260,.358,.583,.941,5.0
57,208,31,48,6,0,16,35,24,6,61,1,0,.231,.326,.490,.817,0.0
152,561,81,147,27,3,37,94,60,12,127,3,0,.262,.344,.519,.863,4.3
160,597,95,162,27,0,40,131,67,12,128,5,1,.271,.352,.518,.869,4.4
154,568,92,123,21,2,46,118,65,21,151,4,1,.217,.318,.504,.821,3.2
22,87,17,22,2,0,7,12,9,1,19,0,0,.253,.330,.517,.847,0.5
706,2618,419,657,113,7,199,510,297,73,669,14,2,.251,.341,.528,.869,--
118,436,70,110,19,1,33,85,50,12,112,2,0,.251,.341,.528,.869,-
,,,,,,,,,,,,,,,,,
2022,NYM,,,,,,,,,,,,,,,,
Career,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
3,10,2,3,0,0,1,1,2,0,4,0,0,.300,.417,.600,1.017,
3,10,2,3,0,0,1,1,2,0,4,0,0,.300,.417,.600,1.017,
,,,,,,,,,,,,,,,,,
2019,NYM,,,,,,,,,,,,,,,,
2020,NYM,,,,,,,,,,,,,,,,
2021,NYM,,,,,,,,,,,,,,,,
2022,NYM,,,,,,,,,,,,,,,,
2023,NYM,,,,,,,,,,,,,,,,
2024,NYM,,,,,,,,,,,,,,,,
Career,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
693,2762,3.99,85,348,6,21,13,0,3,1,0,1.00,,,,,
239,929,3.89,22,102,4,6,4,0,1,1,0,1.00,,,,,
637,2320,3.64,67,291,6,12,20,0,4,3,0,1.00,,,,,
685,2507,3.66,67,309,16,12,17,0,9,5,1,0.83,,,,,
658,2567,3.90,69,286,6,21,17,0,4,4,1,0.80,,,,,
97,389,4.01,9,45,0,1,2,0,0,0,0,0.00,,,,,
3009,11474,3.81,319,1381,38,73,73,0,21,14,2,0.88,,,,,
,,,,,,,,,,,,,,,,,
2019,NYM,,,,,,,,,,,,,,,,
2020,NYM,,,,,,,,,,,,,,,,
2021,NYM,,,,,,,,,,,,,,,,
2022,NYM,,,,,,,,,,,,,,,,
2023,NYM,,,,,,,,,,,,,,,,
2024,NYM,,,,,,,,,,,,,,,,
Career,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
5.0,5.8,121.3,7.2,.323,.446,11.3,.104,0.39,170,247,0.7,,,,,,
0.0,0.4,33.6,5.5,.260,.380,13.0,.100,0.39,59,89,0.7,,,,,,
4.3,3.7,96.0,5.9,.257,.369,15.2,.094,0.47,171,267,0.6,,,,,,
4.4,4.6,106.9,6.2,.246,.365,14.9,.098,0.52,174,304,0.6,,,,,,
3.2,2.6,90.1,5.2,.287,.407,12.3,.099,0.43,154,271,0.6,,,,,,
0.5,0.7,14.5,5.8,.264,.368,12.4,.093,0.47,26,42,0.6,,,,,,
--,--,462.3,6.1,.277,.395,13.2,.099,0.44,583,953,0.6,,,,,,
,,,,,,,,,,,,,,,,,
Atlanta,15,6,.714,-,W1,,,,,,,,,,,,
Philadelphia,15,8,.652,1,W7,,,,,,,,,,,,
NY Mets,12,10,.545,3.5,L2,,,,,,,,,,,,
Washington,10,11,.476,5,W2,,,,,,,,,,,,
Miami,6,18,.250,10.5,L1,,,,,,,,,,,,
