0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
,,,,,,,,,,,,,,,,,
2018,ATL,,,,,,,,,,,,,,,,
2019,ATL,,,,,,,,,,,,,,,,
2020,ATL,,,,,,,,,,,,,,,,
2021,ATL,,,,,,,,,,,,,,,,
2022,ATL,,,,,,,,,,,,,,,,
2023,ATL,,,,,,,,,,,,,,,,
2024,ATL,,,,,,,,,,,,,,,,
Career,,,,,,,,,,,,,,,,,
Season Averages,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
111,433,78,127,26,4,26,64,45,6,123,16,5,.293,.366,.552,.917,4.1
156,626,127,175,22,2,41,101,76,9,188,37,9,.280,.365,.518,.883,5.5
46,160,46,40,11,0,14,29,38,4,60,8,1,.250,.406,.581,.987,2.1
82,297,72,84,19,1,24,52,49,9,85,17,6,.283,.394,.596,.990,3.6
119,467,71,124,24,0,15,50,53,10,126,29,11,.266,.351,.413,.764,2.8
159,643,149,217,35,4,41,106,80,9,84,73,14,.337,.416,.596,1.012,8.1
21,82,21,24,4,0,1,6,13,3,23,10,1,.293,.408,.378,.786,0.7
694,2708,564,791,141,11,162,408,354,50,689,190,47,.292,.382,.532,.914,--
99,387,81,113,20,2,23,58,51,7,98,27,7,.292,.382,.532,.914,-
,,,,,,,,,,,,,,,,,
2018,ATL,,,,,,,,,,,,,,,,
2019,ATL,,,,,,,,,,,,,,,,
2020,ATL,,,,,,,,,,,,,,,,
2022,ATL,,,,,,,,,,,,,,,,
2023,ATL,,,,,,,,,,,,,,,,
Career,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
4,16,1,3,1,0,1,4,1,0,5,0,1,.188,.235,.438,.673,
5,18,1,8,3,1,1,2,4,1,5,0,1,.444,.565,.889,1.454,
12,46,10,10,4,0,1,3,7,1,17,3,0,.217,.333,.370,.703,
4,15,2,5,1,0,0,0,1,1,5,0,0,.333,.412,.400,.812,
4,14,3,2,1,0,0,0,2,1,2,2,0,.143,.294,.214,.508,
29,109,17,28,10,1,3,9,15,4,34,5,2,.257,.367,.450,.817,
,,,,,,,,,,,,,,,,,
2018,ATL,,,,,,,,,,,,,,,,
2019,ATL,,,,,,,,,,,,,,,,
2020,ATL,,,,,,,,,,,,,,,,
2021,ATL,,,,,,,,,,,,,,,,
2022,ATL,,,,,,,,,,,,,,,,
2023,ATL,,,,,,,,,,,,,,,,
2024,ATL,,,,,,,,,,,,,,,,
Career,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
487,1985,4.08,56,239,2,6,4,0,3,16,5,0.76,,,,,
715,3048,4.26,65,324,4,9,8,0,1,37,9,0.80,,,,,
202,876,4.34,25,93,2,4,3,0,0,8,1,0.89,,,,,
360,1449,4.03,44,177,2,9,0,0,5,17,6,0.74,,,,,
533,2162,4.06,39,193,4,10,8,0,3,29,11,0.73,,,,,
735,2782,3.79,80,383,3,9,15,0,3,73,14,0.84,,,,,
98,399,4.07,5,31,0,3,0,0,0,10,1,0.91,,,,,
3130,12701,4.06,314,1440,17,50,38,0,15,190,47,0.80,,,,,
,,,,,,,,,,,,,,,,,
2018,ATL,,,,,,,,,,,,,,,,
2019,ATL,,,,,,,,,,,,,,,,
2020,ATL,,,,,,,,,,,,,,,,
2021,ATL,,,,,,,,,,,,,,,,
2022,ATL,,,,,,,,,,,,,,,,
2023,ATL,,,,,,,,,,,,,,,,
2024,ATL,,,,,,,,,,,,,,,,
Career,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
4.1,3.8,87.1,7.4,.259,.388,16.7,.092,0.37,136,177,0.8,,,,,,
5.5,4.8,120.9,7.0,.238,.404,15.3,.106,0.40,169,270,0.6,,,,,,
2.1,1.7,39.0,8.5,.331,.613,11.4,.188,0.63,36,64,0.6,,,,,,
3.6,3.4,72.0,8.7,.313,.515,12.4,.136,0.58,69,148,0.5,,,,,,
2.8,2.6,70.8,5.2,.148,.300,31.1,.099,0.42,164,180,0.9,,,,,,
8.1,8.5,158.3,9.3,.258,.474,15.7,.109,0.95,274,288,1.0,,,,,,
0.7,1.0,15.9,7.3,.085,.354,82.0,.133,0.57,32,27,1.2,,,,,,
--,--,563.6,7.5,.240,.423,16.7,.113,0.51,880,1154,0.8,,,,,,
,,,,,,,,,,,,,,,,,
Atlanta,15,6,.714,-,W1,,,,,,,,,,,,
Philadelphia,15,8,.652,1,W7,,,,,,,,,,,,
NY Mets,12,10,.545,3.5,L2,,,,,,,,,,,,
Washington,10,11,.476,5,W2,,,,,,,,,,,,
Miami,6,18,.250,10.5,L1,,,,,,,,,,,,
