0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
,,,,,,,,,,,,,,,,,
2019,DET,,,,,,,,,,,,,,,,
2020,DET,,,,,,,,,,,,,,,,
2021,DET,,,,,,,,,,,,,,,,
2022,DET,,,,,,,,,,,,,,,,
2023,DET,,,,,,,,,,,,,,,,
2024,TB,,,,,,,,,,,,,,,,
Career,,,,,,,,,,,,,,,,,
Season Averages,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
13,8,1,4,.200,1.0,4.86,1.40,53.2,47,7,6.7,68,30,29,0,0,0
14,2,2,3,.400,0.6,3.96,1.32,36.1,34,9,3.8,39,16,16,0,0,0
41,15,2,4,.333,2.0,3.81,1.26,106.1,87,28,3.1,106,47,45,0,3,0
27,17,4,11,.267,-0.3,4.81,1.32,101.0,61,25,2.4,108,58,54,0,1,0
25,1,2,1,.667,0.2,4.50,1.11,44.0,44,5,8.8,44,25,22,0,2,0
4,2,1,0,1.000,0.1,4.79,1.35,20.2,16,6,2.7,22,11,11,0,0,0
124,45,12,23,.343,--,4.40,1.29,362.0,289,80,3.6,387,187,177,0,6,0
21,8,2,4,.343,-,4.40,1.29,60.3,48,13,3.6,64,31,30,0,1,0
,,,,,,,,,,,,,,,,,
2019,DET,,,,,,,,,,,,,,,,
2020,DET,,,,,,,,,,,,,,,,
2021,DET,,,,,,,,,,,,,,,,
2022,DET,,,,,,,,,,,,,,,,
2023,DET,,,,,,,,,,,,,,,,
2024,TB,,,,,,,,,,,,,,,,
Career,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
918,235,918/235,.302,.328,.507,.834,13,3,9,114,28,2,0,1,0,,
599,152,599/152,.283,.342,.507,.849,5,1,8,70,17,4,0,1,0,,
1640,451,1640/451,.255,.306,.429,.735,20,2,16,178,43,4,0,4,0,,
1591,427,1591/427,.275,.315,.473,.789,20,2,18,186,61,1,2,6,1,,
679,181,679/181,.256,.283,.453,.737,10,0,8,78,25,2,0,1,0,,
340,90,340/90,.268,.326,.512,.838,5,0,5,42,11,1,1,0,0,,
5767,1536,5767/1536,.272,.314,.469,.783,73,8,64,668,185,14,3,13,1,,
,,,,,,,,,,,,,,,,,
2019,DET,,,,,,,,,,,,,,,,
2020,DET,,,,,,,,,,,,,,,,
2021,DET,,,,,,,,,,,,,,,,
2022,DET,,,,,,,,,,,,,,,,
2023,DET,,,,,,,,,,,,,,,,
2024,TB,,,,,,,,,,,,,,,,
Career,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
89.1,17.1,7.9,2,0,0,46.6,67,112,0.6,0,0,1,0,0,0,28.0,
58.5,16.5,8.4,0,0,0,40.0,48,57,0.8,5,1,0,0,2,4,6.0,
68.5,15.4,7.4,3,0,0,51.9,128,204,0.6,8,1,2,0,2,0,83.0,
76.5,15.8,5.4,4,0,0,44.7,127,213,0.6,13,6,0,0,7,3,49.0,
45.0,15.4,9.0,0,0,0,0.0,43,86,0.5,14,3,0,0,1,0,0.0,
86.0,16.5,7.0,0,0,0,50.0,19,48,0.4,0,0,0,0,1,0,11.0,
75.0,15.9,7.2,9,0,0,0.0,432,720,0.6,40,11,3,0,13,7,177.0,
,,,,,,,,,,,,,,,,,
Baltimore,15,7,.682,-,W3,,,,,,,,,,,,
NY Yankees,15,8,.652,0.5,L1,,,,,,,,,,,,
Toronto,13,10,.565,2.5,W1,,,,,,,,,,,,
Boston,13,10,.565,2.5,W3,,,,,,,,,,,,
Tampa Bay,12,12,.500,4,L2,,,,,,,,,,,,
