0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
,,,,,,,,,,,,,,,,,
2018,TB,,,,,,,,,,,,,,,,
2019,TB,,,,,,,,,,,,,,,,
2020,TB,,,,,,,,,,,,,,,,
2021,TB,,,,,,,,,,,,,,,,
2021,MIL,,,,,,,,,,,,,,,,
2022,MIL,,,,,,,,,,,,,,,,
2023,MIL,,,,,,,,,,,,,,,,
2024,MIL,,,,,,,,,,,,,,,,
Career,,,,,,,,,,,,,,,,,
Season Averages,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
85,288,43,80,7,0,10,34,31,1,95,6,5,.278,.348,.406,.754,2.0
152,531,69,135,25,1,20,52,46,3,153,4,2,.254,.317,.418,.735,4.2
54,185,29,48,15,1,8,23,20,0,74,2,1,.259,.332,.481,.813,1.6
41,132,16,26,6,1,5,15,10,0,51,1,2,.197,.254,.371,.625,0.7
99,365,61,104,26,0,20,58,47,0,105,4,2,.285,.366,.521,.886,3.5
139,563,83,134,31,0,31,98,49,1,166,8,3,.238,.298,.458,.756,4.4
149,553,73,120,29,2,24,80,71,6,165,5,3,.217,.310,.407,.717,3.0
21,83,13,25,6,0,3,11,11,0,18,2,1,.301,.383,.482,.865,1.2
740,2700,387,672,145,5,121,371,285,11,827,32,19,.249,.322,.441,.762,--
92,338,48,84,18,1,15,46,36,1,103,4,2,.249,.322,.441,.762,-
,,,,,,,,,,,,,,,,,
2019,TB,,,,,,,,,,,,,,,,
2020,TB,,,,,,,,,,,,,,,,
2021,MIL,,,,,,,,,,,,,,,,
2023,MIL,,,,,,,,,,,,,,,,
Career,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
6,17,3,5,1,0,2,2,3,0,5,0,1,.294,.400,.706,1.106,
20,59,3,8,4,0,0,4,13,1,25,1,1,.136,.301,.203,.505,
4,17,0,5,1,0,0,0,0,0,9,0,0,.294,.294,.353,.647,
2,7,0,4,1,0,0,1,1,0,2,0,0,.571,.625,.714,1.339,
32,100,6,22,7,0,2,7,17,1,41,1,2,.220,.339,.350,.689,
,,,,,,,,,,,,,,,,,
2018,TB,,,,,,,,,,,,,,,,
2019,TB,,,,,,,,,,,,,,,,
2020,TB,,,,,,,,,,,,,,,,
2021,TB,,,,,,,,,,,,,,,,
2021,MIL,,,,,,,,,,,,,,,,
2022,MIL,,,,,,,,,,,,,,,,
2023,MIL,,,,,,,,,,,,,,,,
2024,MIL,,,,,,,,,,,,,,,,
Career,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
323,1329,4.11,17,117,3,1,6,1,2,6,5,0.55,,,,,
584,2338,4.00,46,222,1,3,9,3,1,4,2,0.67,,,,,
205,826,4.03,24,89,0,0,4,0,0,2,1,0.67,,,,,
142,563,3.96,12,49,0,0,1,0,0,1,2,0.33,,,,,
413,1658,4.01,46,190,1,0,8,0,1,4,2,0.67,,,,,
617,2466,4.00,62,258,3,1,11,0,4,8,3,0.73,,,,,
638,2596,4.07,55,225,1,6,12,0,6,5,3,0.63,,,,,
94,372,3.96,9,40,0,0,0,0,0,2,1,0.67,,,,,
3016,12148,4.03,271,1190,9,11,51,4,14,32,19,0.63,,,,,
,,,,,,,,,,,,,,,,,
2018,TB,,,,,,,,,,,,,,,,
2019,TB,,,,,,,,,,,,,,,,
2020,TB,,,,,,,,,,,,,,,,
2021,TB,,,,,,,,,,,,,,,,
2021,MIL,,,,,,,,,,,,,,,,
2022,MIL,,,,,,,,,,,,,,,,
2023,MIL,,,,,,,,,,,,,,,,
2024,MIL,,,,,,,,,,,,,,,,
Career,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
2.0,1.8,39.9,4.9,.128,.240,28.8,.096,0.33,102,94,1.1,,,,,,
4.2,2.9,69.6,4.6,.164,.254,26.6,.079,0.30,181,201,0.9,,,,,,
1.6,1.5,28.6,5.4,.222,.335,23.1,.098,0.27,50,61,0.8,,,,,,
0.7,0.4,11.6,2.9,.174,.242,26.4,.070,0.20,25,56,0.4,,,,,,
3.5,3.7,67.3,6.7,.236,.370,18.3,.114,0.45,102,159,0.6,,,,,,
4.4,3.4,76.2,4.6,.220,.316,18.2,.079,0.30,137,264,0.5,,,,,,
3.0,2.2,70.6,4.2,.190,.322,23.0,.111,0.43,143,251,0.6,,,,,,
1.2,1.0,15.7,7.2,.181,.325,27.7,.117,0.61,23,42,0.5,,,,,,
--,--,379.3,4.8,.192,.302,22.3,.094,0.34,763,1128,0.7,,,,,,
,,,,,,,,,,,,,,,,,
Milwaukee,14,7,.667,-,L1,,,,,,,,,,,,
Chicago Cubs,13,9,.591,1.5,L1,,,,,,,,,,,,
Cincinnati,12,10,.545,2.5,L1,,,,,,,,,,,,
Pittsburgh,12,11,.522,3,W1,,,,,,,,,,,,
St. Louis,10,13,.435,5,W1,,,,,,,,,,,,
