0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
,,,,,,,,,,,,,,,,,
2018,COL,,,,,,,,,,,,,,,,
2019,COL,,,,,,,,,,,,,,,,
2020,COL,,,,,,,,,,,,,,,,
2021,COL,,,,,,,,,,,,,,,,
2022,LAD,,,,,,,,,,,,,,,,
2023,LAD,,,,,,,,,,,,,,,,
2024,CHC,,,,,,,,,,,,,,,,
Career,,,,,,,,,,,,,,,,,
Season Averages,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
14,0,0,0,.000,0.4,1.84,1.30,14.2,14,4,3.5,15,5,3,0,3,0
28,0,0,1,.000,0.2,5.56,1.56,34.0,29,14,2.1,39,22,21,0,1,2
24,0,3,0,1.000,0.7,2.93,1.12,27.2,23,6,3.8,25,13,9,1,4,2
48,0,1,3,.250,-1.1,7.55,1.59,47.2,47,29,1.6,47,42,40,0,4,3
33,0,0,0,.000,1.4,1.02,0.79,35.1,33,10,3.3,18,4,4,1,9,1
49,0,3,2,.600,-0.5,5.06,1.40,48.0,49,24,2.0,43,30,27,0,10,2
11,0,1,0,1.000,-0.1,4.15,1.38,8.2,12,6,2.0,6,5,4,0,5,1
207,0,8,6,.571,--,4.50,1.32,216.0,207,93,2.2,193,121,108,2,36,11
30,0,1,1,.571,-,4.50,1.32,30.9,30,13,2.2,28,17,15,0,5,2
,,,,,,,,,,,,,,,,,
2022,LAD,,,,,,,,,,,,,,,,
Career,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
3,0,0,1,.000,0.0,7.71,0.86,2.1,6,0,0.0,2,2,2,0,0,1
3,0,0,1,.000,0.0,7.71,0.86,2.1,6,0,0.0,2,2,2,0,0,1
,,,,,,,,,,,,,,,,,
2018,COL,,,,,,,,,,,,,,,,
2019,COL,,,,,,,,,,,,,,,,
2020,COL,,,,,,,,,,,,,,,,
2021,COL,,,,,,,,,,,,,,,,
2022,LAD,,,,,,,,,,,,,,,,
2023,LAD,,,,,,,,,,,,,,,,
2024,CHC,,,,,,,,,,,,,,,,
Career,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
251,60,251/60,.273,.317,.418,.735,5,0,1,23,11,0,0,1,0,,
608,157,608/157,.279,.346,.514,.860,12,0,7,72,22,1,1,1,0,,
446,113,446/113,.243,.301,.369,.670,5,1,2,38,15,3,0,1,0,,
871,217,871/217,.260,.369,.475,.844,10,1,9,86,41,4,0,3,1,,
466,135,466/135,.150,.237,.233,.470,4,0,2,28,6,4,0,1,1,,
800,208,800/208,.239,.341,.372,.714,6,0,6,67,26,4,0,0,2,,
179,41,179/41,.188,.341,.281,.623,0,0,1,9,3,2,0,1,0,,
3621,931,3621/931,.238,.327,.398,.725,42,2,28,323,124,18,1,8,4,,
,,,,,,,,,,,,,,,,,
2018,COL,,,,,,,,,,,,,,,,
2019,COL,,,,,,,,,,,,,,,,
2020,COL,,,,,,,,,,,,,,,,
2021,COL,,,,,,,,,,,,,,,,
2022,LAD,,,,,,,,,,,,,,,,
2023,LAD,,,,,,,,,,,,,,,,
2024,CHC,,,,,,,,,,,,,,,,
Career,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
0.0,17.1,8.6,0,0,0,0.0,21,21,1.0,10,8,1,0,1,1,0.0,
0.0,17.9,7.7,0,0,0,0.0,38,75,0.5,15,3,1,0,3,1,0.0,
0.0,16.1,7.5,0,0,0,0.0,46,35,1.3,14,5,0,0,3,1,0.0,
0.0,18.3,8.9,0,0,0,0.0,59,78,0.8,26,6,3,0,5,0,0.0,
0.0,13.2,8.4,0,0,0,0.0,44,44,1.0,7,2,0,0,2,0,0.0,
0.0,16.7,9.2,0,0,0,0.0,56,75,0.7,22,4,3,0,3,1,0.0,
0.0,20.7,12.5,0,0,0,0.0,11,10,1.1,2,1,1,0,1,0,0.0,
0.0,16.8,8.6,0,0,0,0.0,275,338,0.8,96,29,9,0,18,4,0.0,
,,,,,,,,,,,,,,,,,
Milwaukee,14,7,.667,-,L1,,,,,,,,,,,,
Chicago Cubs,13,9,.591,1.5,L1,,,,,,,,,,,,
Cincinnati,12,10,.545,2.5,L1,,,,,,,,,,,,
Pittsburgh,12,11,.522,3,W1,,,,,,,,,,,,
St. Louis,10,13,.435,5,W1,,,,,,,,,,,,
