0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
,,,,,,,,,,,,,,,,,
2019,HOU,,,,,,,,,,,,,,,,
2020,HOU,,,,,,,,,,,,,,,,
2021,HOU,,,,,,,,,,,,,,,,
2022,HOU,,,,,,,,,,,,,,,,
2023,HOU,,,,,,,,,,,,,,,,
2024,HOU,,,,,,,,,,,,,,,,
Career,,,,,,,,,,,,,,,,,
Season Averages,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
87,313,58,98,26,0,27,78,52,2,94,0,0,.313,.412,.655,1.067,3.7
2,8,2,2,0,0,1,4,0,1,1,0,0,.250,.333,.625,.958,0.0
144,537,92,149,35,1,33,104,50,8,145,1,0,.277,.346,.531,.877,3.2
135,470,95,144,29,2,37,97,78,6,106,1,1,.306,.406,.613,1.019,6.8
114,410,77,120,24,1,31,97,69,13,92,0,0,.293,.407,.583,.990,4.5
23,90,16,26,3,0,5,13,10,2,12,0,0,.289,.373,.489,.861,0.7
505,1828,340,539,117,4,134,393,259,32,450,2,1,.295,.389,.583,.972,--
84,305,57,90,20,1,22,66,43,5,75,0,0,.295,.389,.583,.972,-
,,,,,,,,,,,,,,,,,
2019,HOU,,,,,,,,,,,,,,,,
2021,HOU,,,,,,,,,,,,,,,,
2022,HOU,,,,,,,,,,,,,,,,
2023,HOU,,,,,,,,,,,,,,,,
Career,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
18,58,5,14,3,0,1,3,7,0,21,0,0,.241,.323,.345,.668,
16,54,13,17,4,2,2,9,13,1,17,0,0,.315,.449,.574,1.023,
13,52,9,10,3,0,3,14,6,3,16,0,0,.192,.311,.423,.735,
11,43,12,20,2,1,6,15,4,1,14,0,0,.465,.510,.977,1.487,
58,207,39,61,12,3,12,41,30,5,68,0,0,.295,.393,.556,.949,
,,,,,,,,,,,,,,,,,
2019,HOU,,,,,,,,,,,,,,,,
2020,HOU,,,,,,,,,,,,,,,,
2021,HOU,,,,,,,,,,,,,,,,
2022,HOU,,,,,,,,,,,,,,,,
2023,HOU,,,,,,,,,,,,,,,,
2024,HOU,,,,,,,,,,,,,,,,
Career,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
369,1494,4.05,53,205,4,2,9,0,2,0,0,0.00,,,,,
9,35,3.89,1,5,0,1,1,0,0,0,0,0.00,,,,,
598,2396,4.01,69,285,3,8,16,0,3,1,0,1.00,,,,,
561,2195,3.91,68,288,9,6,12,0,7,1,1,0.50,,,,,
496,1908,3.85,56,239,5,13,7,0,4,0,0,0.00,,,,,
102,368,3.61,8,44,1,2,2,0,0,0,0,0.00,,,,,
2135,8396,3.93,255,1066,22,32,47,0,16,2,1,0.67,,,,,
,,,,,,,,,,,,,,,,,
2019,HOU,,,,,,,,,,,,,,,,
2020,HOU,,,,,,,,,,,,,,,,
2021,HOU,,,,,,,,,,,,,,,,
2022,HOU,,,,,,,,,,,,,,,,
2023,HOU,,,,,,,,,,,,,,,,
2024,HOU,,,,,,,,,,,,,,,,
Career,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
3.7,3.6,78.1,9.3,.342,.508,11.6,.141,0.55,83,138,0.6,,,,,,
0.0,0.0,1.3,5.0,.375,.375,8.0,.000,0.00,4,3,1.3,,,,,,
3.2,3.2,93.9,6.2,.253,.348,16.3,.084,0.34,150,245,0.6,,,,,,
6.8,6.3,111.7,8.7,.306,.472,12.7,.139,0.74,148,223,0.7,,,,,,
4.5,4.7,96.0,8.6,.290,.459,13.2,.139,0.75,116,206,0.6,,,,,,
0.7,0.8,16.1,6.6,.200,.311,18.0,.098,0.83,28,50,0.6,,,,,,
--,--,396.9,7.9,.288,.431,13.6,.121,0.58,529,865,0.6,,,,,,
,,,,,,,,,,,,,,,,,
Texas,12,11,.522,-,W1,,,,,,,,,,,,
Seattle,11,11,.500,0.5,W1,,,,,,,,,,,,
Oakland,9,14,.391,3,W1,,,,,,,,,,,,
Los Angeles,9,14,.391,3,L5,,,,,,,,,,,,
Houston,7,16,.304,5,L2,,,,,,,,,,,,
